second,duration,transcript
1.439,4.641,this video is about a new approach to
3.36,4.96,training language models specifically it
6.08,4.32,allows you to move the probabilities of
8.32,4.479,a language model away from Bad answers
10.4,5.439,and towards good answers direct
12.799,5.921,preference optimization or DPO for short
15.839,5.001,is a type of reinforcement learning it's
18.72,4.96,a more efficient type than has long been
20.84,5.96,used by companies like open Ai and meta
23.68,5.72,in developing Lama 2 and with this DPO
26.8,5.56,technique it makes it much easier to
29.4,5.08,find you models towards a chat format
32.36,5.16,that is aligned in a similar way to
34.48,5.44,those commercial models available for
37.52,4.16,agenda we're going to take a look at how
39.92,4.4,normal training Works standard
41.68,5.24,fine-tuning or supervised fine-tuning as
44.32,4.399,I've done in previous videos then I'll
46.92,4.76,contrast how direct preference
48.719,5.081,optimization works and why it's a bit
51.68,3.719,different in terms of a technique and
53.8,3.399,it's useful in a different and
55.399,4.601,complimentary way to standard
57.199,5.0,fine-tuning then I'll show you two DPO
60.0,3.8,data sets the data sets need to be in a
62.199,3.121,specific format if you're going to use
63.8,3.679,the hugging face trainer that we will
65.32,4.159,use today and then I'll walk step by
67.479,4.161,step through the training notebook I've
69.479,4.881,developed for doing direct preference
71.64,5.119,optimization by the end of this tutorial
74.36,4.48,you should be able to take a model
76.759,3.961,you've developed a language model
78.84,4.84,ideally you do some supervised
80.72,5.16,fine-tuning to get it into a chat format
83.68,4.84,and this will allow you to do the final
85.88,4.76,stage of aligning the model um another
88.52,4.16,way to think of that is moving the model
90.64,3.88,probabilities away from Bad answers and
92.68,4.04,towards good answers that will make
94.52,5.44,sense as we get a bit deeper into this
96.72,5.079,video let's start off with a description
99.96,4.28,very high level of how standard training
101.799,4.64,Works standard language model training
104.24,4.0,involves penalizing the model based on
106.439,4.121,predicted what it predicts for the next
108.24,5.0,token versus the actual next token for
110.56,4.12,example if you feed in a phrase or part
113.24,4.239,of a phrase that says the capital of
114.68,5.96,Ireland is and you ask the model to
117.479,5.121,predict the next token if the model
120.64,4.079,predicts Dublin and then you wouldn't
122.6,4.28,free penalize it because that answer is
124.719,4.481,the next token here in this sentence but
126.88,4.52,if it says something like cork then you
129.2,3.84,would penalize the model and back back
131.4,4.4,propagate
133.04,5.36,through so fundamentally language models
135.8,4.719,are statistical models that look at the
138.4,4.96,frequency of information that is in the
140.519,4.601,training data set if I train a language
143.36,3.879,model with the capital of Ireland is
145.12,4.96,Dublin the capital of Ireland is Dublin
147.239,6.241,the capital of Ireland is cork well if
150.08,5.48,will see Dublin more frequently and so
153.48,4.88,that is more likely to be returned when
155.56,5.24,the model predicts the next token if I
158.36,4.959,want to bias the model towards saying
160.8,4.32,Dublin with a very high probability I
163.319,3.28,can just keep feeding in the capital of
165.12,3.44,Ireland is Dublin the captain Ireland is
166.599,4.0,Dublin and eventually the relative
168.56,4.08,frequency it is seen for Dublin will be
170.599,4.36,much greater than Cork and so it is
172.64,5.72,going to respond with the word Dublin as
174.959,5.321,the answer and that if you generalize it
178.36,4.159,is how language models work work they're
180.28,4.64,statistical the more data you feed them
182.519,5.28,a certain format the more it will bias
184.92,5.12,bias the model towards that
187.799,5.241,answer let's just look at a simple
190.04,5.759,example here where we have a data set
193.04,5.64,with doublin as the next token 10 times
195.799,4.841,and cork as the next token one time if
198.68,4.32,we train on this data set the language
200.64,4.8,model is very often going to predict
203.0,5.0,Dublin as the next token because it has
205.44,4.32,seen it so many more times in a data set
208.0,3.72,now if we wanted to increase the
209.76,4.16,probability even higher we would just
211.72,3.599,have to add more and more and more data
213.92,3.399,that says the capital violent is
215.319,5.521,doubling so that we increase the
217.319,6.761,probability of Dublin being the
220.84,5.039,answer now by contrast let's take a look
224.08,4.719,at direct preference
225.879,5.401,optimization here instead of adding more
228.799,4.52,data to the model and penalizing it
231.28,3.679,based on the next token prediction we're
233.319,3.92,going to do something a little bit more
234.959,4.48,nuanced at a high level we're going to
237.239,5.121,drag the probability distribution away
239.439,6.52,from one answer like Cork and towards
242.36,5.879,another answer Dublin so as an example
245.959,4.521,we have a prompt the capital of Arland
248.239,4.681,is and then we're waiting on the next
250.48,4.92,token and we're going to set up two
252.92,4.879,responses we're going to set up a chosen
255.4,4.6,response which is Dublin and we're going
257.799,4.881,to set up a rejected response which is
260.0,4.639,cork so remember in standard training
262.68,3.92,the only data we have is on the actual
264.639,3.161,token and we just compare actual to what
266.6,3.28,the model predicts which could be
267.8,4.16,anything it could be Russ common up in
269.88,4.36,New York it could be any value the only
271.96,4.079,input data we have is the actual next
274.24,4.64,token but here in direct preference
276.039,7.16,optimization we have a pair of options
278.88,6.84,we have a Chosen and we have a rejected
283.199,4.641,option and the way that we penalize the
285.72,5.0,model now is not by comparing the actual
287.84,5.199,to the predicted but rather we penalize
290.72,5.199,the model so that the probability of
