second,duration,transcript
0.48,4.96,what's up guys back today with another
3.04,4.4,longer video which is to build a job
5.44,4.4,board app that could actually be a real
7.44,4.64,startup that people use there's a lot of
9.84,4.56,different places to find
12.08,5.119,entry level or junior developer jobs on
14.4,5.039,the internet for example github jobs
17.199,5.761,stack overflow jobs
19.439,4.961,you have angel list you have indeed but
22.96,2.8,filtering through those especially
24.4,3.68,because you kind of have to spam
25.76,4.48,applications for your first job can take
28.08,4.4,a long time so the good thing about all
30.24,4.319,these job boards
32.48,3.84,is they have public apis for the most
34.559,5.361,part you always want to start with an
36.32,5.04,mvp that is the minimum viable product
39.92,3.68,today that means we're going to start
41.36,4.32,with a single data feed that is a single
43.6,4.16,job board api
45.68,3.92,feeding into our app and then finally
47.76,4.479,we're gonna have a super minimal simple
49.6,5.2,front end we're gonna do this in react
52.239,6.401,and material ui on the front end
54.8,5.919,we're gonna use an express server
58.64,4.719,redis for our data storage because we're
60.719,4.961,not writing or persisting any data that
63.359,4.481,is not part of the job feed
65.68,5.6,and then finally a
67.84,5.84,node cron job to fetch these jobs and
71.28,3.68,refresh them at a certain interval which
73.68,3.52,are going to be filtered through an
74.96,4.96,algorithm so let's draw this all out to
77.2,3.919,get a better idea of our plan here's our
79.92,3.519,front end
81.119,3.921,what we basically want here is a
83.439,3.201,list of jobs
85.04,2.64,this is going to be pulling data from
86.64,2.88,our
87.68,3.439,api
89.52,3.68,and that will be express and then this
91.119,3.841,will pull from
93.2,3.44,our
94.96,5.96,store
96.64,4.28,which is actually going to be
102.079,2.481,redis
104.64,4.96,and redis will be populated by
108.159,2.561,our
109.6,3.04,cron
110.72,3.31,called a worker
112.64,2.799,which is pulling from
114.03,3.81,[Music]
115.439,4.481,one or more apis it's going to be
117.84,4.879,eventually multiple this is going to be
119.92,4.0,job uh board apis so like in let's say
122.719,2.4,indeed
123.92,2.4,we have
125.119,4.961,github
126.32,5.76,we have stack jobs
130.08,3.76,and this is going to be filtered through
132.08,3.76,our algorithm
133.84,3.44,we're filtering down the jobs
135.84,3.28,getting rid of the senior jobs getting
137.28,3.92,rid of the
139.12,3.119,manager jobs and
141.2,2.32,eventually when we make it more
142.239,3.681,complicated we could even look through
143.52,5.04,the description for years of experience
145.92,3.84,and create uh search indexes and
148.56,2.8,different things like that but again the
149.76,4.72,minimum is just going to be pulling the
151.36,4.879,jobs in and filtering them down
154.48,3.839,okay so this is our plan let's start
156.239,5.36,with the front end i know a lot of you
158.319,6.481,guys like react
161.599,5.201,and it's gonna actually be super simple
164.8,4.159,let's just do a create react app to get
166.8,4.24,started
168.959,5.201,uh i already have a folder our directory
171.04,4.4,here called junior dev so let's uh do a
174.16,5.359,create
175.44,4.079,react app and then call it client
180.08,4.48,you guys know that i love
182.8,3.76,material ui
184.56,4.08,so let's install that as well once we
186.56,6.92,get into our client
188.64,4.84,and let's do yarn add
