second,duration,transcript
0.08,2.96,in a previous episode of the vacuum
1.439,2.641,engineering show i talked about hash
3.04,2.64,tables
4.08,4.64,and how
5.68,4.24,uh powerful and very commonly used they
8.72,2.879,are
9.92,5.28,given a key
11.599,6.801,we can find its corresponding value
15.2,4.72,in no time in zero seek time we're not
18.4,4.16,searching we're not scanning we're not
19.92,5.279,doing anything it's a single axis
22.56,6.639,in memory retrieving that value the
25.199,6.0,power behind hash tables is the use of
29.199,4.081,the arrays which is a very common data
31.199,4.481,structure obviously very
33.28,4.799,very common data structure right knowing
35.68,3.68,the array position the
38.079,3.921,the index
39.36,5.359,you can get the value of the array
42.0,5.039,immediately because you know how how
44.719,3.601,does memory work if you know the address
47.039,2.561,of the ram
48.32,3.919,where your
49.6,4.72,cell exists where your values exist
52.239,4.16,you can get the value immediately right
54.32,5.36,the cpu can fetch the value immediately
56.399,5.201,for you right so once you find the index
59.68,4.0,you find the address you can value so
61.6,3.68,what the hash table guys did it says
63.68,4.24,okay we're gonna
65.28,5.68,take your name your string your color
67.92,4.879,your car your va anything that has been
70.96,4.0,this key we're going to hash it using a
72.799,4.32,one-way function and then convert that
74.96,4.88,into an index using a modulo function
77.119,4.561,based on the array size so we eventually
79.84,4.72,from the name we convert and continue an
81.68,4.4,index and that will give us the address
84.56,3.599,and the memory and we can get the value
86.08,4.8,so that's the trick the hash table guys
88.159,4.64,use you know so the only cost you add is
90.88,4.559,like what the hashing function which is
92.799,4.801,not really that bad but that's the power
95.439,5.601,of the hash table but the problem is the
97.6,5.6,moment the size of the array changes the
101.04,4.079,hash table size changes
103.2,5.52,this all forms apart
105.119,7.761,because what what the if blue the key
108.72,6.64,blue used to fit in index number 11
112.88,4.72,if you increased or decreased the array
115.36,5.439,size and i you know where i'm going with
117.6,5.839,this then the blue will fit into index
120.799,4.801,99 now and as a result
123.439,4.0,right you either won't find the value or
125.6,2.879,you're gonna start writing the values
127.439,1.921,duplicate
128.479,2.641,and
129.36,4.16,everything will basically
131.12,5.119,be bad so you now have to really move
133.52,5.2,things around your resize and it's a
136.239,4.961,really big problem so why i'm mentioning
138.72,4.64,that the problem that we are seeing
141.2,3.36,today with distributive system is as
143.36,4.48,follows
144.56,6.24,if my database are increasing in size
147.84,6.24,and it no longer can fit in a single
150.8,7.2,instance i i bumped up the vertical
154.08,5.12,scaling to its maximum it's now 48 core
158.0,4.84,cpu
159.2,7.759,three gigahertz whatever you know it's
162.84,8.039,512 gigabyte or even one terabyte
166.959,6.881,ram but still i have billions of rows
170.879,5.041,i cannot i added all the indexes i try
173.84,5.28,to partition it horizontally in the same
175.92,6.239,instance by range so but still the even
179.12,6.56,the partitions are so large so i that
182.159,6.241,machine cannot handle the queries um
185.68,5.919,throwing at my beautiful database so
188.4,4.88,what do we do we distribute it we shard
191.599,3.92,the database that's
193.28,4.72,i really don't like to go there unless i
195.519,4.8,kind of exhaust all my options and
198.0,5.44,believe me people don't even look at the
200.319,5.441,options anymore people are very quick to
203.44,4.159,follow modern things you know without
205.76,3.68,actually going to the basics and
207.599,3.521,trying to tune your database and getting
209.44,2.96,a better performance but regardless
211.12,3.839,let's assume you're a youtube scale
212.4,4.96,let's give you a google scale and you
214.959,4.321,run out ideas that single instance can't
217.36,4.879,handle anymore you need to distribute
219.28,6.16,the billions of rows table
222.239,4.161,or key dictionary or collection into
225.44,3.2,multiple
226.4,3.759,servers right so instead of having
228.64,3.36,billions let's have i know a few
230.159,2.961,millions on this server and few millions
232.0,3.04,on this server a few millions on the
233.12,4.56,server female in the server
235.04,4.559,immediately a problem occur the problem
237.68,3.199,is like how do i know
239.599,4.161,right
240.879,6.08,if i have a key i want to look it up
243.76,5.92,we introduced an intermediately an
246.959,4.64,intermediary problem right that didn't
249.68,4.96,exist before
251.599,4.88,well first if i have a key i go to my
254.64,4.24,database server and i ask it and i
256.479,4.48,immediately give it to me i only go to
258.88,4.48,one hop now
260.959,3.921,if you're distributed and you only have
263.36,4.0,the key
264.88,5.52,you have to answer the first question
267.36,6.399,which server should i connect
270.4,5.519,to to retrieve the key which server
273.759,4.481,hosts my key
275.919,5.121,and that is the problem here that is the
278.24,5.36,original and only problem that we have
281.04,5.599,in distributed system which
283.6,5.28,server should i connect to to fetch that
286.639,2.241,key
289.44,6.4,so the trick was always
292.56,5.12,let's figure out the server from the key
295.84,4.4,and that is the concept of hashing
297.68,4.4,hashing tables appear here so in this
300.24,4.239,episode of the vacancy show i'd like to
302.08,4.88,talk about that a little bit distributed
304.479,4.321,hashing and then
306.96,5.44,what problems did we have and how
308.8,5.119,consistent hashing solves this problem
312.4,3.68,and obviously
313.919,4.56,nothing is perfect in this world so i'd
316.08,4.559,also like like to talk about the
318.479,4.16,problems consisting hashing actually
320.639,3.361,have today welcome to the backend
322.639,4.081,engineering show with your host hussein
324.0,5.039,nelson and the concept of distributed
326.72,5.759,system is a must when you get to a
329.039,4.72,certain scale yeah i always try as much
332.479,2.081,as possible
333.759,1.761,to
334.56,4.32,you know
335.52,5.84,push people against being distributed if
338.88,4.8,they can do things to have their single
341.36,4.8,instance you know be more performant
343.68,3.44,when it comes to query because you see a
346.16,2.319,lot of
347.12,2.88,a lot of people
348.479,4.801,our engineers
350.0,4.639,are hurry up to scale right and spend
353.28,3.759,more money
354.639,4.641,to start to work with the distributor
357.039,3.121,without actually while their query is
359.28,4.479,actually
360.16,4.4,using 500 of their cpu and then doing
363.759,3.841,like
364.56,4.079,a million logical reads you know where
367.6,3.84,they can
368.639,4.56,tweak it a little bit and
371.44,5.28,tweak it and tune the database a little
373.199,5.521,bit understand their queries so they can
376.72,5.199,have or even you know
378.72,4.88,lower that cost you know as a result but
381.919,4.321,we don't think this way anymore we
383.6,4.24,always take the shortcut unfortunately
386.24,5.84,but regardless so
387.84,6.479,usually advanced and adept dpas try to
392.08,4.959,optimize a single coin as a result if
394.319,6.0,you if you can get a query to consume
397.039,6.16,less cpu even if it's a small query
400.319,5.44,scaling that query right will eventually
403.199,4.72,give you better scaling on your instance
405.759,3.761,but that's not our topic that's another
407.919,4.641,day but let's say you reached the state
409.52,5.6,where you exhausted all your options you
412.56,5.199,know when it comes to a single instance
415.12,4.799,right then you moved he says hey i have
417.759,3.84,to move to and uh distribute the system
419.919,2.881,it's just too large
421.599,3.6,you gotta move
422.8,4.08,so people what they did says okay i have
425.199,4.241,a key
426.88,5.599,and now i don't know which i have
429.44,5.039,10 servers right i don't know where this
432.479,4.081,key lives in distant server environment
434.479,4.241,so i'll say all right so we're going to
436.56,4.16,do let's say i have four server a
438.72,5.36,cluster with four servers and i want to
440.72,8.24,distribute my values across these four
444.08,6.48,servers so server s0 s1 s2 and s3 right
448.96,4.0,what we're gonna do is like giving the
450.56,5.039,key i need to know the server
452.96,5.12,name the server ip and that's something
455.599,5.921,that we are introducing as a problem
458.08,5.36,like we introduced a friction that
461.52,4.0,didn't exist before first
463.44,4.96,previously so i just one server we know
465.52,4.799,the server right but now we have to
468.4,4.16,figure out from the key we have to
470.319,4.72,figure out the iprs of the server to
472.56,3.919,connect to in order where our key
475.039,4.641,actually exists
476.479,5.28,that answer can be answered using a very
479.68,3.919,simple hashing function so we're going
481.759,4.641,to hash the value let's say i'm have
483.599,4.88,value number four uh gonna hash it get
486.4,4.479,some value and then that value we're
488.479,4.881,gonna do modulo number four and that
490.879,5.521,gives you server zero so
493.36,4.8,store server zero right here right
496.4,3.68,in this case right so four modulo four
498.16,4.08,is zero and then okay how about key
500.08,4.72,number five right
502.24,4.799,or even whatever that key used to be
504.8,4.399,maybe let's say it's a it's a blue or
507.039,4.321,red right red you're gonna hash it get
509.199,4.32,that value number five which is a number
511.36,3.28,and then five modulo four will give you
513.519,4.0,s1
514.64,3.92,and s1 will go right here right so
517.519,3.841,five
