second,duration,transcript
0.32,3.8,hello guys welcome back to my Channel
2.04,3.88,today we are going to talk about Mistral
4.12,4.28,so as you know Mistral is a new language
5.92,4.799,model that came out a few months ago
8.4,4.64,from mistal AI which is a one of the
10.719,5.081,hottest startup right now in Europe for
13.04,5.239,language models it also became a unicorn
15.8,4.08,recently and we will exploring both the
18.279,3.281,models they released one is the 7
19.88,3.559,billion and one is the 8 by7 billion
21.56,3.959,model so let's review the topics of
23.439,3.561,today the first thing I will introduce
25.519,3.68,you is the architectural differences
27.0,4.56,between the vanilla Transformer and the
29.199,4.161,architecture of mistal later we will see
31.56,3.839,what is the sliding window attention and
33.36,4.0,how it is related to the concept of
35.399,4.801,receptive field a concept that usually
37.36,4.719,we find in convolutional neural networks
40.2,3.359,I will briefly review the KV cache
42.079,3.96,because I want to introduce the concept
43.559,4.561,of rolling buffer cache and also how it
46.039,5.121,is done with prefilling and
48.12,5.919,chunking uh we will see what is sparse
51.16,5.919,mixture of experts model sharding with a
54.039,6.441,little with a very brief introduction
57.079,5.16,with the pipeline parallelism and
60.48,4.16,last but not least we will also go
62.239,4.081,through the code of mistal because there
64.64,3.44,is a lot of Innovations in the code
66.32,3.4,especially when they use the X forers
68.08,3.76,Library with the block attention so I
69.72,4.24,want to guide you into understanding the
71.84,4.959,code because it can be really hard for
73.96,5.04,beginners to understand and find thems
76.799,3.721,around there are some topics that are
79.0,3.32,related to mistal but will not be
80.52,3.16,covered in this current video because I
82.32,3.68,already covered them in my previous
83.68,3.799,video about llama and in particular I
86.0,2.96,will not be talking about the RMS
87.479,3.121,normalization the rotary positional
88.96,4.24,encoding and the group query attention
90.6,4.28,because I already um teach them in depth
93.2,3.52,in my previous video on llama so if you
94.88,4.559,want to know about them please watch my
96.72,5.359,previous video on llama another the only
99.439,4.121,prerequisite that I hope you have before
102.079,3.881,watching this video because the topics
103.56,3.599,we are going to touch are quite Advanced
105.96,3.0,is that you are familiar with the
107.159,3.28,Transformer model so if you're not
108.96,3.119,familiar with the Transformer model and
110.439,3.161,the attention mechanism in particular
112.079,3.64,and in particular the self attention
113.6,4.159,mechanism please go watch my video on
115.719,4.36,the transformer in which I teach all
117.759,4.521,this concept very thoroughly very in
120.079,3.761,detail these are really a prerequisite
122.28,4.759,for watching this video because the top
123.84,5.96,the topics here are quite Advanced okay
127.039,4.0,let's proceed further so let's watch the
129.8,2.799,differences between the vanilla
131.039,4.601,Transformer and mistal at the
132.599,6.081,architecture level as you can see from
135.64,5.08,the um image here which I built by
138.68,4.16,myself using the code because they
140.72,5.239,didn't release any architecture picture
142.84,5.399,in the paper U the architecture of
145.959,5.161,mistal first of all let's talk about
148.239,5.521,some terminology when you have a model
151.12,4.36,like this made up of many encoder layers
153.76,4.44,plus linear and the soft Max we are
155.48,5.399,talking about a decoder only model
158.2,4.84,because this part this model here looks
160.879,5.041,like the decoder of the vanilla
163.04,4.4,Transformer you can see here except for
165.92,3.76,the cross attention because as you can
167.44,4.4,see here there is no cross attention
169.68,4.52,when we have a model without the linear
171.84,4.8,and the softmax we call it an incoder
174.2,5.319,only model for example bir is an encoder
176.64,5.64,only model because Birth has some heads
179.519,4.08,at at the end which is one or more
182.28,3.08,linear layers depending on the
183.599,3.601,application but it self birth doesn't
185.36,4.08,need a head because it can be used for
187.2,4.0,multiple Downstream tasks so it's called
189.44,3.64,an encoder only model because it
191.2,3.28,resembles the encoder side of the
193.08,3.12,Transformer because as you can see in
194.48,4.839,the encoder side there is no linear and
196.2,6.28,soft Max so mistal is a decoder only
199.319,6.28,model and it's very similar if not equal
