second,duration,transcript
0.79,2.4,"The following content is
provided under a Creative"
3.19,1.54,Commons license.
4.73,2.3,"Your support will help
MIT OpenCourseWare"
7.03,4.36,"continue to offer high quality
educational resources for free."
11.39,2.6,"To make a donation or
view additional materials"
13.99,3.89,"from hundreds of MIT courses,
visit MIT OpenCourseWare"
17.88,0.96,at ocw.mit.edu.
30.42,1.25,PROFESSOR: All right everyone.
31.67,2.28,Let's get started.
33.95,3.99,"So today's lecture and
Wednesday's lecture,"
37.94,2.01,"we're going to talk
about this thing called"
39.95,1.48,object oriented programming.
41.43,1.79,"And if you haven't
programmed before,"
43.22,3.33,"I think this is a fairly
tough concept to grasp."
46.55,3.18,"But hopefully with
many, many examples"
49.73,5.79,"and just by looking at the
code available from lectures,"
55.52,2.69,"you'll hopefully get
the hang of it quickly."
58.21,4.56,"So let's talk a little
bit about objects."
62.77,3.18,"And we've seen objects
in Python so far."
65.95,3.21,"Objects are basically
data in Python."
69.16,3.11,"So every object that we've
seen has a certain type."
72.27,1.915,"OK, that we know."
74.185,1.965,"Behind the scenes,
though, every object"
76.15,2.38,has these two additional things.
78.53,1.75,One is some data representation.
80.28,5.77,"So how Python represents the
object just behind the scenes"
86.05,1.53,"and what are different
ways that you"
87.58,3.42,can interact with the object.
91.0,4.37,"So for example, every one of
these is a different object."
95.37,3.6,"For example, this
is the number 1,234."
98.97,3.15,"It's a specific object
that is of type integer."
102.12,3.82,"The number 5 is a different
object that's of type integer"
105.94,0.98,and so on.
106.92,0.96,We've seen floats.
107.88,1.11,We've seen strings.
108.99,1.74,We've seen lists.
110.73,3.85,"Lists and dictionaries are
more complicated objects."
114.58,0.7,Object types.
115.28,1.31,Sorry.
116.59,2.67,"But every object has a
type, some sort of way"
119.26,3.909,"that it's represented
in Python and some ways"
123.169,1.291,that we can interact with them.
127.02,0.5,OK.
127.52,2.67,"So the idea behind object
oriented programming"
130.19,2.91,"is, first of all, everything
in Python is an object."
133.1,2.56,"We've said that before
and in this lecture"
135.66,2.03,"I think we'll really
get at what that means."
137.69,3.63,"So we've seen strings,
integers, dictionaries, lists."
141.32,1.38,Those are all objects.
142.7,1.8,"When we did functions,
we saw that we"
144.5,3.12,"could pass as a parameter
another function."
147.62,2.12,"So functions were also
objects in Python."
149.74,3.779,"So literally everything
in Python is an object."
153.519,2.291,"So what are the kinds of
things we can do with objects?"
155.81,3.42,"Well, once you have a type,
you can create a new object"
159.23,1.314,that is of some type.
160.544,1.416,"And you can create
as many objects"
161.96,2.91,"as you'd like of that
particular type, right?"
164.87,2.07,An integer 5 and integer 7.
166.94,3.21,Those all work in a program.
170.15,2.49,"Once you've created
these new objects,"
172.64,1.65,you can manipulate them.
174.29,2.28,"So for a list, for example,
you can append an item"
176.57,2.85,"to the end of the list,
you can delete an item,"
179.42,4.56,"remove it, concatenate
two lists together."
183.98,3.041,"So that's ways that you
can interact with objects."
187.021,2.249,"And the last thing you can
do is you can destroy them."
189.27,1.73,"So and with lists,
we saw explicitly"
191.0,2.976,"that you can delete
elements from a list,"
193.976,1.374,"or you can just
forget about them"
195.35,4.03,"by reassigning a variable
to another value,"
199.38,2.54,"and then at some
point, Python will"
201.92,2.77,"collect all of these dead
objects and reclaim the memory."
207.81,3.98,"So let's continue
exploring what objects are."
211.79,2.53,"So let's say I have these
two separate objects."
214.32,1.13,One is a blue car.
215.45,1.5,One is a pink car.
216.95,2.79,"So objects are really
data abstractions."
219.74,3.31,"So these two cars can be
created by the same blueprint."
223.05,0.62,OK?
223.67,3.73,"This is a blueprint for a car
and if an object is a data"
227.4,2.24,"abstraction, there's two
things that this abstraction"
229.64,1.3,is going to capture.
230.94,3.26,"The first is some sort
of representation."
234.2,3.11,"What is going to represent the
car, what data represents a car"
237.31,1.23,object?
238.54,1.86,"And the second is
what are ways that we"
240.4,2.68,can interact with the object?
243.08,2.93,"So if we think about
a car blueprint,"
246.01,2.37,"some general
representation for a car"
248.38,2.52,"could be the number of wheels
it has, the number of doors"
250.9,2.55,"it has, maybe its
length, maybe its height,"
253.45,6.129,"so this is all part of what
data represents the car."
259.579,1.57,OK?
261.149,1.681,"The interface for
the car is what"
262.83,1.75,"are ways that you
can interact with it."
264.58,3.535,"So for example, you
could paint a car, right?"
268.115,2.605,So you could change its color.
270.72,3.29,"You could have the
car make a noise"
274.01,2.33,"and different cars might
make different noises."
276.34,1.72,"Or you can drive the car, right?"
278.06,2.55,"So these are all ways that
you can interact with the car."
280.61,2.52,"Whereas the representation
are what makes up the car."
283.13,5.46,"What data abstractions
make up the car."
288.59,5.04,"Let's bring it a little closer
to home by looking at a list."
293.63,3.36,"So we have this data
type of list, right?"
296.99,3.78,We've worked with lists before.
300.77,4.26,"The list with elements 1, 2, 3,
and 4 is a very specific object"
305.03,2.7,that is of type list.
307.73,2.2,"Again, we think about it
in terms of two things."
309.93,3.57,"One is what is the data
representation of the list?"
313.5,2.837,"So behind the scenes how
does Python see lists?"
316.337,2.083,"And the second is, how do
you interact with lists?"
318.42,1.958,"So what are ways that
you can manipulate a list"
320.378,2.882,object once it's created?
323.26,3.1,"So behind the scenes
you have a list, L,"
326.36,2.67,"which is going to be made up
of essentially two things."
329.03,5.25,"One is going to be the
value at specific index."
334.28,0.69,OK?
334.97,2.28,"So at index 0, it has
the value 1, right,"
337.25,2.52,"because it's the first
element in the list."
339.77,3.24,"And the second thing
that represents a list"
343.01,4.98,"is going to be this second
part, which is a pointer."
347.99,1.7,"And internally this
pointer is going"
349.69,2.73,"to tell Python
where is the memory"
352.42,5.19,"location in the computer where
you can access the element"
357.61,1.32,index 1.
358.93,3.39,"So it's just essentially
going to be a chain,"
362.32,2.02,"going from one
index to the other."
364.34,4.165,"And at the next memory location
you have the value at index 1,"
368.505,1.375,"and then you have
another pointer"
369.88,1.74,"that takes you to the
location in memory"
371.62,2.82,where the index 2 is located.
374.44,1.89,"And in index 2 you
have the value and then"
376.33,3.16,"the next pointer,
and so on and so on."
379.49,4.26,"So this is how Python
internally represents a list."
383.75,1.81,OK?
385.56,2.78,"How you manipulate lists,
we've done this a lot, right?"
388.34,6.07,"You can index into a list, you
can add two lists together,"
394.41,2.75,"you can get the length, you can
append to the end of a list,"
397.16,2.7,"you can sort a list, reverse a
list, and so many other things,"
399.86,0.84,right?
400.7,1.416,"So these are all
ways that you can"
402.116,3.114,"interact with the list object
as soon as you've created it."
405.23,3.36,"So notice both of these,
the internal representation"
408.59,1.68,"and how you
manipulate lists, you"
410.27,3.33,"don't actually
know internally how"
413.6,1.47,"these are represented, right?"
415.07,2.64,"How did whoever
wrote the list class"
