second,duration,transcript
0.48,3.28,"Video is sponsored by Qiskit, 
more details later in the video.  "
5.04,5.92,"From the first idea of a quantum computer in 1980 
to today there has been huge growth in the quantum  "
10.96,4.8,"computing industry, especially in the last 10 
years. With dozens of companies and startups  "
15.76,5.12,"spending hundreds of millions of dollars in a 
race to build the world’s best quantum computers.  "
21.76,3.92,"For most of us it’s quite hard to get our 
heads around the world of quantum computing,  "
25.68,5.36,"and a lot of information about it glosses over 
important details. This video aims to clear all  "
31.04,3.28,"this up and if you watch the whole thing you’ll 
have a very good overview of all the different  "
34.32,5.44,"kinds of quantum computing, how they work, and 
why so many people are investing in the quantum  "
39.76,6.8,"computing industry. This is the map of quantum 
computing. Quantum computers solve problems in  "
46.56,4.64,"a different way to the computers we are familiar 
with, which, from now on I’ll be referring to as  "
51.2,5.44,"classical computers. Quantum computers have 
certain advantages over normal computers for  "
56.64,4.96,"certain problems which comes from their ability 
to be in a huge number of states at the same time  "
61.6,5.2,"whereas classical computers can only be in 
one state at a time. To understand this,  "
66.8,6.08,"and to understand how quantum computers work you 
need to understand three things: superposition,  "
72.88,6.56,"entanglement and interference. The building 
blocks of a classical computer are called bits,  "
79.44,5.52,"and the building blocks of a quantum computer are 
called quantum bits, or qubits for short, and they  "
84.96,6.96,"work in fundamentally different ways. A classical 
bit is kind of like a switch that can either be  "
91.92,5.44,"a 0 or a 1 which you are probably already 
familiar with as binary or binary information.  "
98.16,5.76,"When we measure a bit we just get back the state 
that it’s currently in, but we’ll see this isn’t  "
103.92,6.0,"true of qubits. A qubit is more complicated. For 
a useful visualisation you can think of them as  "
109.92,5.68,"an arrow pointing in 3D space. If they point 
up they are in the 0 state and if they point  "
115.6,5.04,"down they are in the 1 state, just like a 
classical bit, but they also have the option to  "
120.64,4.64,"be in a thing called a superposition state which 
is when the arrow points in any other direction.  "
126.16,7.52,"This superposition state is a combination state of 
0 and 1. Now, when you measure a qubit the output  "
133.68,6.8,"it gives will still end up being either a 0 or a 
1, but which one you get depends on a probability  "
140.48,5.76,"which is set by the direction of the arrow. If the 
arrow is pointing more upwards you are more likely  "
146.24,6.56,"to get back a 0 than a 1, and if it is pointing 
downwards you are more likely to get a 1 than a 0,  "
153.68,4.24,"and if it is exactly on the equator 
you’ll get either state with a 50%  "
157.92,6.24,"probability. So that’s the effect of superposition 
explained, now we’ll move on to entanglement.  "
165.68,3.36,"In a classical computer the bits 
are independent from each other.  "
169.04,4.0,"The state of one bit is not influenced 
by the state of any of the other bits.  "
173.68,3.84,"But in quantum computers the qubits can be 
entangled with each other which means they  "
177.52,6.56,"become part of one large quantum state together. 
For an example let’s look at two qubits which are  "
184.08,6.24,"each in different superposition states, but aren’t 
entangled yet. You can see the probabilities next  "
190.32,3.92,"to them, and these probabilities are 
currently independent of each other.  "
194.96,6.16,"But when we entangle them, we have to throw away 
those independent probabilities and calculate a  "
201.12,8.24,"probability distribution of all of the possible 
states we can get out. Either 00, 01, 10, or 11.  "
210.24,4.72,"The important point here is because the qubits 
are entangled, if you change the direction of  "
214.96,8.24,"the arrow on one qubit, it changes the probability 
distribution for the whole system, so the qubits  "
223.2,7.28,"are no longer independent of each other, they are 
all part of the same large state. And this is true  "
230.48,6.4,"no matter how many qubits you have. You’ll also 
note that for one qubit you have a probability  "
236.88,6.16,"distribution over 2 states. For two qubits you 
have a probability distribution over 4 states.  "
243.04,5.76,"For three qubits you have a distribution over 
8 states, and this keeps on doubling each time  "
248.8,6.56,"you add another qubit. In general, a quantum 
computer of n qubits can be in a combination of  "
256.64,6.48,"2^n states. So I’d say this is the core difference 
between classical computers and quantum computers.  "
263.68,5.68,"Classical computers can be in any state you want, 
but can only be in one state at a time, whereas  "
269.36,5.44,"quantum computers can be in a superposition 
of all of those states at the same time. But  "
274.8,5.52,"you may wonder how being in this superposition 
state can be useful in a computer. Well for that  "
280.32,5.44,"we need the final component: interference. 
To explain the effect of interference we  "
285.76,4.8,"need to go back and look at my picture of 
a qubit technically called a Bloch sphere.  "
291.76,4.4,"A qubit doesn’t actually look like this, 
this is just a really nice way of visualising  "
296.16,5.6,"the state of a qubit. In reality the state of 
a qubit is described by a more abstract entity  "
301.76,5.76,"known as a quantum wavefuncion. Wavefunctions 
are the fundamental mathematical description  "
307.52,4.16,"of everything in quantum mechanics which I’ve 
described in more detail in a previous video.  "
312.48,5.04,"When you have many qubits entangled together all 
of their wavefunctions are added together into an  "
317.52,5.12,"overall wavefunction describing the state 
of the quantum computer. This adding  "
322.64,5.44,"together of wavefunctions is the interference 
because, just like with say ripples of water,  "
328.08,5.2,"when we add waves together they can constructively 
interfere and add together to make a bigger wave,  "
333.28,5.68,"or destructively interfere to cancel each 
other out. The overall wavefunction of the  "
338.96,4.32,"quantum computer is what sets the different 
probabilities of the different states,  "
343.28,4.88,"and by changing the states of different qubits 
we can change the probabilities that different  "
348.16,5.44,"states will come out when we measure the quantum 
computer. Remember that even though the quantum  "
353.6,5.04,"computer can be in a superposition of millions 
of states at the same time, when we measure it,  "
358.64,6.32,"we only get a single state out. So when you are 
using a quantum computer to solve a computation  "
364.96,4.8,"problem you need to use constructive interference 
to increase the probability of the correct answer,  "
369.76,4.96,"and use destructive interference to decrease 
the probabilities of the incorrect answers  "
374.72,6.16,"so that when you measure it the correct answer 
will come out. Now how you do this is the realm  "
380.88,5.12,"of quantum algorithms, and the whole motivation 
behind quantum computing is that, theoretically,  "
386.0,4.4,"there are a bunch of problems that you can solve 
on a quantum computer that are thought to be  "
390.4,5.6,"intractable on classical computers. Let’s take a 
look at them. There are many quantum algorithms,  "
396.0,4.72,"too many to describe in this video, so we’ll 
just focus on the most famous and historically  "
400.72,6.48,"important: Shor’s algorithm. If you have two large 
numbers and you multiply them together there is  "
407.2,5.68,"a very fast, efficient, classical algorithm for 
finding the answer. However, if you start with the  "
412.88,5.52,"answer and ask, what are the original numbers that 
multiply together to make this number? It is a lot  "
418.4,5.12,"more difficult. This is known as factorization, 
and these numbers are called factors,  "
423.52,6.08,"and the reason finding them is so hard is because 
the search space of possible factors is so large.  "
429.6,4.48,"And there is no efficient classical algorithm 
for finding the factors of large numbers.  "
435.28,5.2,"For this reason we use this mathematical property 
for internet encryption: secure websites,  "
440.48,5.84,"emails and bank accounts. If you know these 
factors you can easily decrypt the information,  "
446.32,5.28,"but if you don’t you’d need to find them first 
which is intractable on the world’s most powerful  "
451.6,6.16,"computers. Which is why in 1994, when Peter 
Shor published a fast quantum algorithm that can  "
457.76,5.6,"efficiently find the factors of large integers, 
it caused quite the stir. This is the moment  "
463.36,4.48,"that a lot of people started to take the idea 
of quantum computing seriously because it was  "
467.84,6.32,"the first application to a real world problem with 
potentially huge real world security implications.  "
475.36,5.2,"But when I say a ‘fast’ quantum algorithm, 
how fast, and how much faster than a classical  "
480.56,4.56,"computer would it be? To answer these questions 
we need to take a little detour into the world  "
485.12,5.04,"of quantum complexity theory. Quantum 
complexity theory is a subfield of the  "
490.16,5.84,"world of computational complexity theory which 
deals with the categorisation of algorithms,  "
496.0,6.0,"sorting them into bins according to how well they 
run on computers. The categorisation is based on  "
502.0,6.48,"how much harder it is to solve the problem as the 
problem gets larger. Here any problem inside the P  "
