second,duration,transcript
0.0,2.1,- Right now some nation states
2.1,4.02,"and individual actors are
intercepting and storing lots"
6.12,3.42,"of encrypted data like
passwords, bank details,"
9.54,1.816,and social security numbers.
11.356,2.024,But they can't open these files.
13.38,2.13,So why are they doing it?
15.51,1.38,"Well, because they believe that within"
16.89,1.59,"the next 10 to 20 years,"
18.48,1.89,"they will have access
to a quantum computer"
20.37,2.643,that can break the encryption in minutes.
23.85,1.38,This procedure is known
25.23,4.68,"as Store Now, Decrypt Later or SNDL."
29.91,2.7,"And it works because there
is information around today"
32.61,2.25,that will still be valuable in a decade.
34.86,2.73,"Things like industrial and
pharmaceutical research"
37.59,2.371,"and top secret government intelligence,"
39.961,2.759,and everyone is aware of this threat.
42.72,1.68,The National Security Administration
44.4,2.377,"says that a sufficiently
large quantum computer,"
46.777,2.633,if built would be capable of undermining
49.41,3.12,all widely deployed public key algorithms.
52.53,2.25,"- You know in a five to 10 year timeframe,"
54.78,3.334,"quantum computing will break
encryption as we know it today."
58.114,2.486,"- Even though sufficiently
powerful quantum computers"
60.6,1.62,"are still years away,"
62.22,3.72,"they're already a threat because
of Store Now Decrypt Later,"
65.94,2.85,"which is why the US Congress
just passed legislation"
68.79,2.367,mandating all agencies start transitioning
71.157,2.673,right now to new methods of cryptography
73.83,2.583,that can't be broken by quantum computers.
77.73,1.68,"You know, our current encryption schemes"
79.41,1.337,have been remarkably successful
80.747,3.059,working effectively for over 40 years.
83.806,3.254,"Up until the 1970s, if
you wanted to exchange"
87.06,1.86,"private information with someone,"
88.92,2.4,you would first have to meet up in person
91.32,2.01,and share a secret key.
93.33,4.62,"This same key would be used to
encrypt and decrypt messages."
97.95,3.17,"So it's known as a
symmetric key algorithm."
101.12,2.65,"As long as no one else gets
their hands on the key,"
103.77,2.49,your messages are safe.
106.26,2.19,But now what if you wanna send information
108.45,1.32,"to someone you've never met,"
109.77,3.24,"and it's too hard to arrange
an in-person meeting."
113.01,3.18,"You can't share a key
over an unsecured channel"
116.19,1.98,"like a phone line or the mail,"
118.17,2.67,because it could be intercepted.
120.84,3.66,"And this is what in 1977,
led three scientists,"
124.5,2.07,"Riverst, Shamir, and Adelman"
126.57,2.61,"to come up with an
encryption breakthrough."
129.18,3.06,"Today it's known by their initials RSA,"
132.24,2.55,and it works something like this.
134.79,3.0,"Every person has two
really big prime numbers,"
137.79,2.73,all their own which they keep secret.
140.52,1.86,They multiply these numbers together
142.38,1.86,"to get an even bigger number,"
144.24,3.18,"which they make public
for everyone to see."
147.42,2.638,"Now, if I wanna send
someone a private message,"
150.058,4.442,"I use their big public
number to garble my message."
154.5,3.0,"And I garble it in such a
way that it is impossible"
157.5,3.69,"to ungarble without knowing
the two prime factors"
161.19,1.53,that made that number.
162.72,2.16,"This is an asymmetric key system,"
164.88,2.58,since different keys are used to encrypt
167.46,1.98,and decrypt the message.
169.44,3.57,"So it's easy for my intended
recipient to decode,"
173.01,2.248,"but impossible for everyone else,"
175.258,4.562,"unless they can factor
that large public number."
179.82,2.73,"Now, someone could try to factor
it, using a supercomputer,"
182.55,1.71,in the best known factoring algorithm
184.26,3.3,"the General Number Field
Sieve, but modern cryptography"
187.56,4.11,"uses prime numbers that
are around 313 digits long."
191.67,2.31,"Factoring a product of
two primes this big,"
193.98,1.29,"even with a supercomputer,"
195.27,2.653,"would take around 16 million years,"
197.923,3.617,but not on a quantum computer.
201.54,2.19,"See, in normal computers, a bit can only"
203.73,3.751,"be in one state at a time,
either a zero or a one."
207.481,2.339,"So if you had two bits, they could be"
209.82,3.633,"in one of four possible
states, 00, 01, 10 or 11."
216.24,2.49,"Let's say each of these
states represents a number,"
218.73,2.43,"0, 1, 2, or 3."
221.16,2.85,"If we want to do a calculation,
for example, raising seven"
224.01,1.65,"to the power of one of these numbers,"
225.66,2.82,"we can only do it for one state at a time,"
228.48,1.74,in this case seven squared
230.22,2.97,and so we get the answer 49.
233.19,2.04,Quantum computers consist of qubits
235.23,3.037,"which also have two states, zero or one."
238.267,2.753,"But unlike a classical bit, a qubit,"
241.02,3.09,"doesn't have to be in
just one state at a time."
244.11,3.0,"It can be in an arbitrary
combination of those states,"
247.11,3.81,"a superposition if you
will, of zero and one."
250.92,3.42,"So if you have two qubits,
they can exist simultaneously"
254.34,5.0,"in a superposition of 0, 1, 2, and 3."
260.55,1.95,"Now, when we repeat the same calculation,"
262.5,1.74,it will actually perform the calculation
264.24,3.45,for all of those numbers at the same time.
267.69,0.833,And what we're left
268.523,2.977,"with is a super position
of the different answers."
271.5,3.93,"1, 7, 49 and 343."
275.43,1.65,"If we add another qubit,"
277.08,2.7,we double the number of possible states.
279.78,3.076,"So with three qubits, we
can represent eight states,"
282.856,3.614,"and thus perform eight
calculations all at once."
286.47,2.37,"Increase that number to just 20 qubits,"
288.84,1.44,and you can already represent
290.28,2.074,"over a million different states,"
292.354,2.546,meaning you can simultaneously compute
294.9,2.61,over a million different answers.
297.51,3.15,"With 300 qubits, you can
represent more states"
300.66,3.471,"than there are particles
in the observable universe."
304.131,3.841,"This sounds incredibly powerful and it is,"
307.972,3.038,but there is one very big catch.
311.01,2.55,"All of the answers to the
computation are embedded"
313.56,2.16,"in a superposition of states,"
315.72,3.3,"but you can't simply read
out this superposition."
319.02,2.76,"When you make a measurement,
you only get a single value"
321.78,2.58,"from the superposition
basically at random,"
324.36,2.88,and all the other information is lost.
327.24,3.24,"So in order to harness the
power of a quantum computer,"
330.48,2.761,"you need a smart way to convert
a superposition of states"
333.241,4.409,"into one that contains only
the information you want."
337.65,2.46,"This is an incredibly difficult task,"
340.11,1.77,"which is why for most applications,"
341.88,2.01,quantum computers are useless.
343.89,2.37,"So far, we've only
identified a few problems,"
346.26,3.03,"where we can actually do this,
but as luck would have it,"
