second,duration,transcript
0.475,2.0,"Hello friends, welcome to Gate Smashers."
2.5,3.5,"In this video we are going to discuss
 introduction to dynamic programming."
6.0,5.0,Dynamic programming we use to solve optimization problems.
11.0,4.0,Optimization problem means where I have to find optimal answer.
15.0,6.0,"Optimal means either I have to find 
maximum answer or minimum answer."
21.025,4.95,"Maximum means let's say if we are finding
 profit then I will find maximum profit."
26.0,4.875,Let's say if I am finding cost then I will find minimum cost.
30.9,3.075,So this is actually optimization problem.
34.0,5.0,Now optimization problem must be coming in your mind that we have solved this with greedy method.
39.0,5.808,"Dynamic programming is also doing the same work 
but there is a lot of difference in both the approaches."
44.833,4.167,"If we talk about greedy method, what we 
did there is let's say this is my source."
49.0,8.0,"Source is connected to destination and 
this is intermediate nodes in between."
57.0,6.0,"I have directed graph, let's say this is my directed 
graph and this is my source and destination."
63.0,4.0,"Now these are intermediate nodes, let's say I
 have to reach destination from source."
67.025,4.975,"Now here obviously what I will use, I want to find minimum cost."
72.0,5.0,"What is the optimal answer? You reach 
destination from source with minimum cost."
77.0,6.0,"What does greedy method do? Let's 
say this is distance, this is 10, 22."
83.0,7.0,"Now what will greedy method do? By default
 it will choose this arrow or this edge only."
90.0,6.0,"Reason for that is at the stage you 
are standing, at that stage, the minimum one,"
96.0,5.0,"means if we talk from cost point of view, \
who is giving the best answer? S to A."
101.0,3.0,So what will it do? It will close both these paths.
104.0,3.0,"Means it will not even look at this, which one? Greedy method."
107.0,4.0,Because what we are doing is which one is the best out of these three? This one.
111.0,4.0,"So we are going above this. Now is it necessary 
that it will always give right answer? No."
115.0,7.0,"Let's say the cost of the next path A to B is 100
 and this cost is let's say 10, 20,"
122.0,7.0,"take anything, 5, 3. Obviously here my cost is 2, I chose this first."
129.0,7.0,"Now next cost A to B is 100. So obviously 
what will be my wrong answer here?"
136.0,6.0,"Reason for that is at the stage you are standing, 
you have found the minimum solution here."
142.0,6.0,"This is the approach of greedy approach. 
But what does dynamic programming do?"
148.0,5.0,"Dynamic programming does not take 
such decisions. It will follow all the path,"
153.0,6.0,"it will follow all the sequence of decisions 
first, it will traverse all those sequence of decisions"
159.0,6.0,"then it will reach a final solution. So here 
you can say that dynamic programming"
165.0,8.0,always give the optimal answer. Yes. Greedy always give the optimal answer may or may not be true.
173.0,5.0,"As I told you in the example here, what is 
the method of greedy here? It is failing."
178.0,6.0,"But dynamic programming will not fail 
here because it will check all the paths"
184.0,5.0,"then it will give the final answer here. 
So the first point is here, greedy"
189.0,6.0,"and dynamic programming actually divides
 the problem into series of overlapping subproblems."
195.0,5.0,Means we are dividing a big problem into small subproblems
200.0,5.0,then we are combining the solutions of my subproblems.
205.0,4.0,Like we do in divide and conquer. What we did in divide and conquer?
209.0,3.0,Like there is an example of merge sort. So what we do in merge sort?
212.0,8.0,"We divide the array which we have into two parts, then we divide it into two parts."
220.0,6.0,"In this way we convert it into subproblems. Then we combine these two,"
226.0,5.0,means we combine all the problems and convert it into a final answer again.
231.0,5.0,"But if we talk about dynamic programming here, 
then the first approach is also the same."
236.0,4.0,Means what is the first feature of these two features? Optimal substructure.
240.0,5.0,What does optimal substructure mean? That your problem is divisible.
245.0,5.0,"Means your problem is divisible in parts in this way, all the problems are being made."
250.0,5.0,You solve all those problems and combine them and convert them into final answer.
