second,duration,transcript
0.32,3.599,for years sql databases were the only
2.639,3.601,path forward
3.919,6.161,but in the age of digital transformation
6.24,6.16,no sql databases can go where sql can't
10.08,3.76,sql allows data and tables to be sifted
12.4,3.199,through by queries
13.84,4.0,a traditional way to store and retrieve
15.599,5.281,data that worked well in the past
17.84,4.8,but after 50 years of experience we know
20.88,2.88,all the baggage that comes with sql that
22.64,4.16,slows development
23.76,3.759,and makes scaling hard the web mobile
26.8,2.719,devices
27.519,3.52,and digital transformation make speed of
29.519,4.72,development and scaling
31.039,4.801,must-haves nosql databases were invented
34.239,4.401,to meet those needs
35.84,5.2,nosql databases come in different models
38.64,3.84,but the document database leads the race
41.04,3.12,due to its strengths in rapid
42.48,5.12,application development
44.16,5.6,collaboration and horizontal scale out
47.6,3.2,mongodb atlas is the leading cloud
49.76,3.84,document database
50.8,3.84,platform that stores distributes and
53.6,3.68,indexes data
54.64,4.239,in flexibly structured json documents
57.28,3.04,that map naturally to application
58.879,3.68,objects
60.32,4.64,flexible schemas handle any type of data
62.559,3.92,and supercharge agile development
64.96,3.28,the document structure enables a
66.479,4.401,powerful scale out model that can handle
68.24,4.72,huge databases and lots of traffic
70.88,3.36,mongodb atlas works in all the major
72.96,3.519,public clouds
74.24,4.239,with extensive automation and a user
76.479,4.32,experience developers love
78.479,4.481,so your teams focus on creating value
80.799,4.32,not on administration
82.96,3.04,mongodb atlas is the central product of
85.119,3.281,the mongodb
86.0,3.04,cloud which also supports mobile
88.4,2.96,development
89.04,4.079,and data lakes with built-in search and
91.36,4.16,data visualization
93.119,3.68,mongodb atlas is strongly recommended by
95.52,2.88,leading analysts
96.799,3.201,used by innovative corporations
98.4,4.48,worldwide and is the most
100.0,4.64,wanted database by developers when you
102.88,3.76,need applications that go farther and
104.64,4.32,faster than sql can manage
106.64,8.32,mongodb is the document database to get
108.96,8.08,you there
114.96,2.08,you
