second,duration,transcript
0.829,4.631,hello dr. Ron Eaglin I want to talk to
3.389,5.521,you about today is programming for the
5.46,5.28,internet so we'll get started okay first
8.91,3.39,slide is looking at what we're going to
10.74,2.91,cover here so we're going to you know
12.3,3.899,what we're going to talk about is oh you
13.65,3.57,know how the internet works and why but
16.199,2.761,it's important to know how the internet
17.22,3.719,works and really the basics of the
18.96,5.909,internet how your change to programming
20.939,6.031,because it really shapes the way that we
24.869,4.021,have to program when we're using the
26.97,4.709,internet so we're looking a little bit
28.89,5.73,at client-side server-side and then some
31.679,5.31,kind of neat things like Ajax and Java
34.62,5.88,and mobile devices and utility computing
36.989,5.281,in the cloud a lot more to Internet
40.5,3.36,programming I'm not going to cover
42.27,3.719,everything but I'm going to give you big
43.86,3.539,over big basic overview of some of the
45.989,4.111,stuff with a little bit of detail so you
47.399,4.8,can understand kind of how it looks when
50.1,3.029,you get down into the works of it so
52.199,2.851,first we got to understand a little
53.129,3.391,about the internet when you're
55.05,3.09,programming for the internet you're
56.52,4.62,really looking at this thing that stands
58.14,4.469,between the client and the server and
61.14,3.989,what we mean you guys kind understand
62.609,5.281,what client and server is okay client is
65.129,4.621,most the time you you go the Internet
67.89,5.31,through a browser through something and
69.75,5.549,you want information now you don't stand
73.2,3.809,around and listen for somebody to ask
75.299,3.421,you for information from the internet
77.009,3.301,that's not what you're doing as a client
78.72,3.21,but there are those things out there
80.31,3.629,that do that they just sit there and
81.93,5.189,wait for requests and those are called
83.939,4.5,servers client through the internet
87.119,3.901,makes a request to the server and a
88.439,5.22,server responds so what we're talking
91.02,4.139,about is concept of a synchronous not
93.659,3.871,synchronous if I'm having a discussion
95.159,5.28,with you it's synchronous we're talking
97.53,6.119,back and forth asynchronous means I send
100.439,6.091,something up there and then I wait ok
103.649,5.161,well what's happening here is you've got
106.53,3.93,this server there that's just listening
108.81,2.79,for requests ok it's got something
110.46,3.869,actually called a listener
111.6,4.92,hey is a request coming in I got a
114.329,6.301,request and then it figures out what to
116.52,6.3,do and it responds to that so it
120.63,4.349,responds to the request and it sends
122.82,4.5,something back but you know what when
124.979,4.381,you have this kind of thing going on it
127.32,3.719,creates challenges for the way that you
129.36,3.08,program because if you're writing a
131.039,3.201,computer program and
132.44,3.63,sitting on top of a computer and you
134.24,3.03,call a function this function is going
136.07,2.25,to come back you don't worry about
137.27,3.06,whether it's going to come back you know
138.32,3.39,if the computer crashes in the middle of
140.33,2.67,the function well maybe you're gonna
141.71,3.96,have a problem there and you have some
143.0,4.38,error handling to deal with it but in
145.67,3.36,the world of the Internet you can send
147.38,3.69,requests up there to some server and
149.03,3.3,nothing happens the server just ignores
151.07,3.9,you and says I'm not going to give
152.33,3.84,anything back so we got ways that we got
154.97,3.0,to deal with that so you have to have
156.17,3.84,some level of fault tolerance and it
157.97,5.22,creates strategies for dealing with
160.01,5.52,these so let's look at some of this so
163.19,4.2,let's first look at the send everything
165.53,3.15,approach and I know some people are
167.39,3.06,going to take exception the fact that I
168.68,3.21,said that Java is a compiled language
170.45,3.75,because you say it's an interpreted
171.89,4.26,language well you know what in some
174.2,3.33,cases it is in some cases it isn't but
176.15,3.66,if you're actually having a pre compiled
177.53,3.66,language I still consider it a compiled
179.81,3.93,language but you have these things
181.19,4.14,called interpreted languages JavaScript
183.74,2.94,being probably the biggest example of an
185.33,3.09,interpreted language and there's other
186.68,4.14,ones but you know that's kind of deal
188.42,5.46,with the biggies here so in JavaScript
190.82,6.18,I send the code to the client okay
193.88,4.68,server says give me this page and the
197.0,3.29,page has a lot of cool things that it
198.56,5.16,wants to do and it has it done in code
200.29,5.05,well you can write JavaScript code that
203.72,3.63,sends it right back over to the client
205.34,3.869,and in this case that the client is a
207.35,3.96,web browser it's going to look at that
209.209,5.311,JavaScript and it's going to say oh I
211.31,5.85,have code I need to execute it's written
214.52,4.74,as text I have to interpret it and do
217.16,3.81,what it says and that's good old
219.26,4.229,JavaScript and learning JavaScript has
220.97,3.87,lots of capabilities and if you want to
223.489,2.97,learn about JavaScript yes we teach
224.84,4.38,classes in JavaScript to teach you to do
226.459,4.261,a lot of things but this is the approach
229.22,3.6,where you send everything over to the
230.72,3.36,client the JavaScript goes to the client
232.82,3.57,if I want to look at your JavaScript I
234.08,5.1,can look at your JavaScript okay it's
236.39,4.349,that's it that's how it works now I have
239.18,4.32,other things that can be either compiled
240.739,4.861,or precompiled things like flash and
243.5,4.29,Java and Silverlight and other things
245.6,3.72,that have now in the case of many things
247.79,3.63,like flash let's talk about flash a
249.32,4.65,little bit you know much browsers just
251.42,3.87,don't automatically handle flash being
253.97,3.09,sent to them they have something that
255.29,4.29,sits inside the browser that says oh
257.06,5.04,it's flash code I know what to do with
259.58,5.97,flash code and it does all the stuff
262.1,5.67,that the flash tells it to do
265.55,4.109,okay it's still setting the stuff over
267.77,3.57,to the browser in most cases in case the
269.659,2.94,bras are still receiving the information
271.34,3.329,and having to do something with it
272.599,6.69,that's the good old send everything
274.669,8.101,approach now what's the downside of this
279.289,4.651,well first thing is you're sending
282.77,3.149,everything over to the browser
283.94,4.86,I mean browser doesn't necessarily need
285.919,5.34,everything so this can really slow stuff
288.8,3.69,down okay you really want to send to the
291.259,3.361,browser because it's coming through an
292.49,5.399,internet connection uh you wanna send
294.62,6.63,just what the browser needs okay well
297.889,6.301,what about some sort of interaction well
301.25,4.65,suppose I have I something I want to do
304.19,4.17,on my browser that requires a tremendous
305.9,5.25,amount of data to be looked at and
308.36,4.95,compiled okay well am I just going to
311.15,3.78,send all the data to the browser and
313.31,3.06,then work from it from there am I going
314.93,5.22,to actually try to send it just the data
316.37,5.699,that I need so what about the data if
320.15,3.359,you try to do with you know especially
322.069,2.85,when you have to wrangle down and do it
323.509,4.5,lots of data you know you want to get
324.919,4.86,that data and it that you need and you
328.009,3.541,really want to have the server deal with
329.779,4.051,a lot of that details of figuring out
331.55,4.83,this needs to go to you this needs to go
333.83,6.869,to the browser so what will we do about
336.38,5.64,this well let's get a way to to
340.699,5.25,communicate back and forth with the
342.02,6.03,server so anytime you request a pet a
345.949,3.451,webpage you send a request up to the
348.05,2.85,server and the server comes back and
349.4,2.79,says hey I got that file I'll send it to
350.9,3.629,you and it sends it to you and there it
352.19,4.02,goes but now you want to ask for more
354.529,4.531,detailed information you're actually an
356.21,4.829,ask for not just a page a file that's
359.06,4.05,sitting on the server but the server's
361.039,3.481,got to do something a little bit more
363.11,3.48,complex to put everything together
364.52,5.429,before it sends it to you and it's got
366.59,6.6,ways to do this I'm going to go with the
369.949,4.83,two Biggie's HTTP GET HTTP POST and
373.19,2.879,you've used both of them if you've ever
374.779,3.211,used the internet you've used them both
376.069,3.96,and really the difference between the
377.99,3.329,two is where's the information that
380.029,2.521,you're sending to the server not the
381.319,3.391,information coming back from the server
382.55,3.839,but the request that you're sending this
384.71,4.739,server where is that information that
386.389,5.221,really specifies what you want an HTTP
389.449,4.14,GET you use the URL of the request an
391.61,2.539,HTTP POST you use the body of the
393.589,3.42,request
394.149,4.671,the big difference being if you know
397.009,3.191,what to look for you can
398.82,4.29,read all the information you're asking
400.2,5.04,for in the HTTP GET in an HTTP POST it's
403.11,5.31,hidden from you so let's look at an HTTP
405.24,5.94,GET this is an actual web URL I can send
408.42,4.44,you this web URL and if you bring this
411.18,3.96,web URL upon your browser you're going
412.86,5.88,to get exactly the same thing that I get
415.14,5.58,if I do it here okay it's not that
418.74,3.75,there's some file that's got this big
420.72,4.08,massively long name with all this
422.49,5.07,gobbledygook in it what you're actually
424.8,7.68,doing is you're saying I'm going to send
427.56,8.55,some information to do google.com slash
432.48,6.12,search ok now if you look at this
436.11,4.59,there's a question mark right there that
438.6,3.93,question mark delineates everything on
440.7,3.96,this side is where I'm sending it and
442.53,4.26,everything on this side is what I'm
444.66,5.52,sending it so that the server can look
446.79,6.0,at all this stuff and it can say oh I
450.18,3.93,know what to do with this and really
452.79,8.64,what's happening here is it's saying you
454.11,9.09,know what site equals IMG HP ok the
461.43,3.96,server is going to go I got a key value
463.2,6.75,pair I've got a key site and I've got
465.39,6.36,some sort of value that's IMG HP so when
469.95,4.5,I'm looking for what I want to send back
471.75,4.23,I'm going to look for that key site and
474.45,3.54,the value and I'm going to figure out
475.98,5.55,what to do with it so you have a where
477.99,5.49,and you have a lot that you're sending
481.53,4.56,over and the what can get really long
483.48,4.98,can't be infinitely long okay because
486.09,5.04,get requests have some things about them
488.46,5.79,that are important like length
491.13,6.45,restrictions okay other thing is if
494.25,6.15,you're sending sensitive data okay to a
497.58,4.59,server probably not a good idea to pop
500.4,3.33,it into the get pop it into a get
502.17,3.84,request and do it that way because guess
503.73,4.38,what anybody can see the URL so sitting
506.01,4.17,up there at the top of the browser up in
508.11,3.84,the URL bar okay but there's some nice
510.18,4.799,things about it like you know it sits in
511.95,5.25,the browser history you can cache it it
514.979,4.081,gets bookmarked you can bookmark get
517.2,3.089,requests I can take that big old loan
519.06,3.57,request I have write that back there
520.289,4.191,that I just shows you I can bookmark it
522.63,5.61,and I can bring it up whenever I want to
524.48,5.17,okay so pretty much the guidelines the
528.24,3.85,other set of guidelines for using get
529.65,4.12,and casada guidelines for using post and
532.09,4.89,we like to follow those but let's talk a
533.77,5.25,little bit about post so he can't see
536.98,4.47,the dad in post what you see in the URL
539.02,4.05,bar just looks like the webpage but it's
541.45,5.19,still asking for stuff what happens is
543.07,5.82,the data from the post is sitting inside
546.64,3.69,of the actual document that you're
548.89,2.61,sending over so there's actually more
550.33,2.91,than your setting than just a URL
551.5,4.65,there's actually more stuff in that
553.24,5.37,packet that you send to the server than
556.15,3.96,just what's in that URL bar okay but
558.61,3.12,that gives you some limitations that go
560.11,4.32,with it too like you can't you can't
561.73,4.92,bookmark a post because there's nothing
564.43,5.22,in that URL when you save a bookmark
566.65,5.01,you're just saving the URL okay
569.65,4.17,well the information that you want to
571.66,3.96,send to the server is it in the URL so
573.82,3.45,therefore guess what you're not going to
575.62,3.45,be able to bookmark it if you do that
577.27,3.15,and yes and you send you know you click
579.07,2.73,on the bookmark it's just going to go
580.42,3.63,there and go I don't have the
581.8,4.38,information you actually need okay but
584.05,4.11,it says one nice thing about it no
