second,duration,transcript
1.28,8.41,data visualization data visualization is
6.54,4.979,an art and a science data visualization
9.69,4.31,specialists present complex information
11.519,4.921,in an easy-to-understand visual format
14.0,4.48,their efforts can help identify trends
16.44,4.32,provide important insights and
18.48,4.289,illustrate impact they can help forecast
20.76,3.84,financial trends or visualize airflow
22.769,4.471,over a car to assist designers and
24.6,4.349,making more fuel efficient vehicles CGT
27.24,3.449,majors of interest and minors that would
28.949,4.171,contribute to the degree include but are
30.689,6.271,not limited to human-computer interface
33.12,7.65,user experience graphic design computer
36.96,5.52,graphics and data science the ability to
40.77,4.32,not only understand data and
42.48,4.29,visualization but also have the capacity
45.09,4.469,to generate visualizations from raw data
46.77,5.01,is applicable to all threats data is
49.559,3.93,everywhere an understanding for the
51.78,4.16,visualization process is becoming a
53.489,4.921,requirement for 21st century jobs a
55.94,4.45,major in data visualization allows
58.41,3.96,students to go beyond being visually
60.39,4.29,literate to developing visualization
62.37,6.06,capacities transforming data into
64.68,5.43,knowledge in a visual form graduates of
68.43,3.75,this major in demand and education
70.11,3.9,research and industry and will take
72.18,3.15,advantage of an anticipated high job
74.01,3.719,growth rate with companies such as
75.33,5.01,Amazon Google or Netflix just to name a
77.729,4.561,few the impact of data visualization is
80.34,3.87,far-reaching could be seen in all levels
82.29,4.259,of scholarship the purpose of data
84.21,4.83,visualization is insight the insight
86.549,4.951,aids in decision-making analysis of data
89.04,4.939,and trends storytelling exploration and
91.5,5.909,discoveries what is the visualization
93.979,4.71,visualization is a process visualization
97.409,3.121,is not just pretty pictures
98.689,3.671,visualization provides a deeper
100.53,3.96,understanding of complex data in a way
102.36,3.99,that does not overwhelm data
104.49,4.32,visualization is a process that allows
106.35,5.76,users to see the expected and discover
108.81,4.559,the unexpected in their data the tools
112.11,3.509,and skills learned in the data
113.369,3.75,visualization major are transferable and
115.619,4.261,applicable to any field that is data
117.119,5.43,driven healthcare journalism biotech
119.88,4.349,finance insurance hospitality government
122.549,3.871,agencies science Institute's
124.229,3.84,manufacturing transportation and
126.42,4.05,companies that analyze large amounts of
128.069,4.371,data to drive their business economy
130.47,4.31,business energy agriculture
132.44,5.28,retail Science Engineering Technology
134.78,6.33,humanities sports the list goes on and
137.72,6.35,on courses include introduction to data
141.11,5.06,visualization scientific visualization
144.07,4.48,interactive data visualization
146.17,4.95,interactive infographics design and
148.55,2.57,development
