second,duration,transcript
0.16,3.44,what's going on everybody welcome back
1.76,3.44,to another video today we are gonna be
3.6,5.199,comparing python versus
5.2,3.599,r we're gonna see which one is better
9.17,3.14,[Music]
13.2,3.999,now before i start this presentation yes
15.36,2.8,i made an entire presentation for this
17.199,2.321,video
18.16,3.6,i have to address the elephant in the
19.52,3.28,room about a month ago i made a somewhat
21.76,2.4,controversial post
22.8,3.52,i don't think it's controversial some
24.16,3.52,people did apparently um and it's right
26.32,3.199,here hopefully on your screen at this
27.68,2.48,time all it says is python is better
29.519,3.2,than r
30.16,3.76,that's my opinion but it stirred up a
32.719,4.321,lot of emotions
33.92,7.28,for a lot of people a lot of people
37.04,6.72,messaged me commented on it and
41.2,3.76,apparently a lot of people took offense
43.76,3.92,to what i said
44.96,3.279,and they wanted me to explain why i felt
47.68,2.8,this way
48.239,3.681,and i did not respond for the pure fact
50.48,3.12,that it was more fun to watch them argue
51.92,2.56,and complain rather than answer their
53.6,2.4,question
54.48,3.599,but also i knew i was going to be making
56.0,3.68,this video anyways and so i just figured
58.079,3.601,they could watch this video whenever i
59.68,4.0,put it out which uh is right now
61.68,3.36,and so if you are only on linkedin and
63.68,2.56,you've never watched my channel before
65.04,2.079,and you are just seeing for this for the
66.24,3.52,first time
67.119,3.121,and you remember that time when i posted
69.76,2.8,it
70.24,3.44,i hope this will be clarifying for you
72.56,3.52,um and so
73.68,4.079,without further ado let's get into the
76.08,4.48,presentation
77.759,4.0,uh and we will start from there all
80.56,2.8,right so some of the things that we're
81.759,2.641,going to be discussing today in our
83.36,3.439,python versus
84.4,3.84,our presentation is we're going to talk
86.799,5.041,about descriptions
88.24,6.0,different libraries the code syntax
91.84,3.68,pros and cons of both and my final
94.24,3.839,answer
95.52,4.639,uh i will say before we get into it i'm
98.079,5.121,not trying to go super in depth
100.159,5.92,uh i i tried to make it as user-friendly
103.2,4.879,as possible if you know you guys are
106.079,4.241,really wanting a more in-depth
108.079,4.08,presentation on just one of these i can
110.32,2.799,absolutely do that i plan on doing that
112.159,2.24,at some point
113.119,3.921,but this is going to be kind of high
114.399,4.4,level and more talking about my thoughts
117.04,4.079,and my feelings regarding this because
118.799,3.841,it is a very emotional thing i believe
121.119,3.201,without further ado let's get into the
122.64,4.32,description of both again
124.32,4.32,keeping it more high level and kind of
126.96,4.48,getting to some specifics
128.64,5.36,and then my conclusion so let's look at
131.44,4.32,the description of both python and r
134.0,3.599,starting with r r is a programming
135.76,2.64,language developed for statistical
137.599,2.881,analysis
138.4,4.08,and the people who mostly used it for a
140.48,4.0,long long time where statisticians and
142.48,4.72,just recently within the past you know
144.48,4.56,five ten years has really been used for
147.2,3.84,data science and data analysis and
149.04,4.72,visualizations and all of those things
151.04,4.559,it was developed in 1993 again like i
153.76,4.16,just said primarily for statisticians
155.599,5.041,data miners and analysts
157.92,4.88,and it's used by a ton of very large
160.64,5.2,companies some of them are uber
162.8,4.88,facebook and google but there are tons
165.84,3.039,of companies and even small companies
167.68,2.88,that use r and so
168.879,3.601,if your company does any type of
170.56,3.36,statistics or statistical analysis
172.48,3.039,there's a good chance that
173.92,3.36,your company has either used r in the
175.519,3.121,past or is currently using r as a
177.28,3.44,programming language
178.64,3.84,now onto python python is a general
180.72,2.08,purpose programming language it's used
182.48,2.479,for
182.8,3.519,almost anything you can imagine it may
184.959,3.841,not be the best thing
