second,duration,transcript
2.21,4.35,[Music]
4.24,4.72,the carnegie mellon vaccination database
6.56,4.8,talks are made possible by autotune
8.96,3.36,learn how to automatically optimize your
11.36,3.56,mysql
12.32,4.24,and postgres configurations at
14.92,3.56,autotune.com
16.56,3.92,and by the stephen moye foundation for
18.48,2.719,keeping it real find out how best to
20.48,3.84,keep it real
21.199,6.481,at stevenmoyefoundation.org
24.32,5.52,hi guys uh welcome to the last
27.68,3.04,vaccination seminar talk for the
29.84,2.8,semester
30.72,3.76,we're super excited to finish off with
32.64,4.88,the professor eugene wu
34.48,6.239,uh he is an associate sorry so serious
37.52,6.24,assistant professor without tenure uh
40.719,3.84,at columbia university um he did a phd
43.76,3.36,uh under
44.559,4.32,um sam madman and mit um so he's gonna
47.12,3.36,talk about his his research on
48.879,3.041,human data interaction and building
50.48,3.36,systems around that space
51.92,3.68,so as always if you have a question for
53.84,3.76,eugene as he's giving the talk
55.6,3.279,uh please don't meet yourself say who
57.6,3.279,you are and where you're coming from and
58.879,3.601,feel free to interrupt him at any time
60.879,3.041,we want him you know want this to be a
62.48,3.679,conversation and not him
63.92,3.44,talking by himself and eugene hopefully
66.159,3.441,you will introduce the
67.36,3.36,uh the museum ps behind you before you
69.6,3.76,talk
70.72,4.48,okay sure yeah so thanks andy for uh
73.36,2.799,inviting me to close out the vaccination
75.2,4.239,season
76.159,6.801,uh and this museum piece um you know
79.439,4.481,is a a a prized um part of my art
82.96,3.76,collection
83.92,4.4,it's um a t-shirt signed by mike
86.72,3.92,stonebreaker who's uh
88.32,4.159,you know one of the the pioneers and
90.64,5.36,illustrious researchers and uh
92.479,6.561,in our field so with that um let me
96.0,5.28,get started i also noticed by the way
99.04,5.359,that andy added to my bio that i
101.28,3.92,wear pants and i wanted to clarify that
104.399,3.441,it
105.2,5.12,depends on the temperature and situation
107.84,4.48,uh whether or not it's needed
110.32,3.759,i also just want to clarify that you
112.32,2.56,know in contrast to the rest of the
114.079,3.201,series
114.88,4.08,i'm not going to talk about a particular
117.28,2.4,database system but instead share the
118.96,2.159,vision that
119.68,3.439,you know my students and collaborators
121.119,4.481,have been working on uh in this area of
123.119,5.92,system for human data interaction
125.6,5.6,um so as we all know programming is
129.039,3.601,powerful because users don't need a
