second,duration,transcript
0.399,4.321,this episode is brought to you by
2.159,2.561,brilliant
4.799,4.401,since the dawn of computing a single
7.04,4.8,construct has served as the focal point
9.2,4.16,of this transformational technology the
11.84,3.839,algorithm
13.36,4.16,by definition an algorithm is simply a
15.679,4.001,finite sequence of instructions
17.52,4.16,structured to solve a problem
19.68,3.759,in modern digital computers these
21.68,4.32,instructions resolve down to the
23.439,5.041,manipulation of information represented
26.0,5.119,by distinct binary states
28.48,4.96,these bits may be abstractly represented
31.119,5.12,by various physical phenomena such as
33.44,5.68,mechanical optical magnetic or electric
36.239,5.441,methods and the process by which the
39.12,4.88,binary information is manipulated is
41.68,4.16,also similarly versatile with
44.0,4.16,semiconductors being the most prolific
45.84,4.719,medium of these machines
48.16,4.239,fundamentally a binary computer moves
50.559,4.961,individual bits of data through a
52.399,5.441,handful of logic gate types these gates
55.52,4.48,have clearly defined binary outputs in
57.84,4.559,response to binary inputs and by
60.0,5.04,combining layers of these gates into
62.399,5.441,massive networks a deterministic
65.04,5.119,processing machine can be created a cpu
67.84,5.04,for example is a complex manifestation
70.159,4.801,of just such a machine
72.88,4.8,the flow and manipulation of digital
74.96,4.56,information is abstract by nature the
77.68,4.32,underlying physical medium only
79.52,5.52,determines the packaging performance
82.0,4.72,cost and practicality of its use but not
85.04,4.16,its inherent behavior
86.72,4.079,in digital computing binary information
89.2,3.44,moves through a processing machine in
90.799,4.081,discrete steps of time
92.64,4.64,the duration of these steps are limited
94.88,4.48,by the speed at which logic states can
97.28,3.76,be physically changed as information
99.36,4.16,propagates throughout the underlying
101.04,5.039,logic gate network inherently making
103.52,4.879,time a computing resource
106.079,4.4,in addition the capacity of a processing
108.399,4.4,machine to temporarily store and
110.479,4.32,manipulate information within itself
112.799,3.92,permits even more elaborate forms of
114.799,4.081,processing to be done
116.719,5.601,this in effect makes memory another
118.88,5.68,fundamental computing resource
122.32,4.32,because any series of instructions
124.56,4.399,tasked to solve a problem are confined
126.64,3.92,to the bounds of computing resources
128.959,4.081,algorithms designed for digital
130.56,5.2,computers can be classified by their use
133.04,5.68,of these resources as they scale this is
135.76,5.199,known as an algorithm's complexity
138.72,4.96,the most time efficient algorithms are
140.959,4.961,categorized as constant time
143.68,4.08,constant time algorithms always take the
145.92,4.64,same amount of time to execute
147.76,4.64,regardless of the size of the input
150.56,4.56,an example of such an algorithm would be
152.4,5.919,one that determines if a number is even
155.12,5.36,or odd to accomplish this only the last
158.319,4.401,digit of a number needs to be examined
160.48,3.92,no matter how large it is
162.72,4.799,because only one number is always
164.4,5.919,examined for any input size the solution
167.519,4.08,is always produced in one fixed duration
170.319,3.361,of time
171.599,5.041,algorithms can also scale in compute
173.68,4.96,time at a constant rate these are known
176.64,4.0,as linear time algorithms and they
178.64,3.519,execute at a rate that is directly
180.64,3.04,correlated to the size of the
182.159,3.761,algorithm's input
183.68,4.559,this characteristic becomes obvious with
185.92,4.16,a basic addition algorithm
188.239,4.241,the sequence starts with the rightmost
190.08,4.72,digit pairs being added from here the
192.48,5.2,algorithm then moves left to the next
194.8,5.04,pair of digits adding any carryover and
197.68,3.279,the process is repeated until no digits
199.84,3.039,are left
200.959,4.0,because the number of steps and
202.879,4.401,inherently the execution time is
204.959,3.681,directly determined by the size of the
207.28,4.8,number inputs
208.64,5.519,the algorithm scales linearly in time
212.08,4.4,constant and linear time algorithms
214.159,4.401,generally scale to practical execution
216.48,3.039,times in common use cases
218.56,3.28,however
219.519,4.481,one category of algorithm in particular
221.84,5.039,suffers from the characteristic of
224.0,4.959,quickly becoming impractical as it grows
226.879,4.161,let's look at an algorithm that must be
228.959,4.56,designed to search for a four-digit
231.04,4.24,numeric code this algorithm calls upon
233.519,3.681,another constant time algorithm that
235.28,5.12,will validate if the numeric code is
237.2,5.679,correct signaling the end of the search
240.4,4.08,with no prior information to go on the
242.879,4.0,search algorithm must cycle through
244.48,4.56,every single four-digit permutation
246.879,4.321,until a valid code is found
249.04,4.96,this is known as the brute force method
251.2,4.72,and for a four-digit code up to 10 000
254.0,3.919,codes must be tested by the validation
255.92,5.279,call with the code being found on
257.919,5.28,average by the 5 000th try
261.199,4.321,while this isn't particularly noteworthy
263.199,4.881,for modern processors a problem soon
265.52,4.8,arises as this brute force algorithm is
268.08,4.48,forced to deal with larger codes
270.32,4.72,with a five digit code one hundred
272.56,4.56,thousand combinations now possible at
275.04,4.4,six it becomes one million
277.12,4.32,with each digit added to the code the
279.44,4.16,number of possible combinations
