second,duration,transcript
0.78,5.1,hello guys so in this video we will
3.3,5.94,discuss about databases
5.88,5.82,and in databases we will discuss about a
9.24,4.68,relational and non or relational
11.7,5.04,databases
13.92,5.52,so in what is the relational databases
16.74,5.64,basically it consists of tables many
19.44,6.9,tables and uh and each table we have
22.38,6.0,rows which are Horizon horizontal and we
26.34,5.04,have vertical change which is called as
28.38,7.14,columns uh we might have seen the CSV
31.38,7.98,format dot PSP format file which we can
35.52,7.14,see in Excel and when we open that we
39.36,7.199,see that there are a tabular format data
42.66,6.84,and each cell has some value in it could
46.559,6.961,be numeric it could be some string
49.5,6.239,format data in each of the cell but in
53.52,5.4,whole horizontal if we see the
55.739,6.541,horizontal uh series of those cells are
58.92,5.4,known as rows and in columns we know
62.28,5.4,that it is the vertical series of the
64.32,6.24,cells so I think it is uh we already
67.68,5.46,know what is PSP format and what is the
70.56,6.3,table but in relational details we have
73.14,6.479,multiple tables so it can have 10 tables
76.86,4.439,or 20 tables like that depending on your
79.619,4.86,requirement
81.299,5.701,then uh before creating any database we
84.479,4.801,need to define the schema which is a
87.0,4.619,logical design of the database
89.28,3.96,so for defining the schema we need to
91.619,4.921,Define what would be the name of the
93.24,6.18,columns in each of the tables we have
96.54,6.96,so say we have 10 tables and each table
99.42,7.32,have maybe 50 200 uh columns we need to
103.5,5.88,Define each column names each of the
106.74,4.98,tables we need to define the data types
109.38,4.919,whether it is numeric uh whether it is
111.72,5.7,date time variable whether it is a
114.299,5.701,string data what kind of data format it
117.42,4.08,is you need to define the data type
120.0,4.92,depending
121.5,6.24,on the database which we are using and
124.92,6.059,so basically this is a logical design uh
127.74,4.92,and we need to plan it before we create
130.979,5.221,the database
132.66,6.299,we can also change it uh but uh it's
136.2,6.3,good to decide it before you create a
138.959,7.86,database so that uh there is nothing
142.5,6.239,wrong happens in future uh now uh let us
146.819,4.56,see what are the examples of relational
148.739,6.801,database now examples of relational
151.379,7.021,database is the myth equal Oracle
155.54,5.08,postgres and sqlite
158.4,4.8,these are some of the examples of the
160.62,4.979,databases which we have so if you create
163.2,5.399,the mySQL database it will have multiple
165.599,5.581,tables each table will have its own name
168.599,5.28,and inside each table you will have
171.18,5.1,multiple rows and multiple columns
173.879,3.601,so each of the columns will have its own
176.28,4.5,name again
177.48,6.0,uh so a table you can consider it as
180.78,4.94,some kind of tabular format dot CSV
183.48,6.0,format kind of data
185.72,5.739,now my SQL if you can talk about MySQL
189.48,5.16,it is an open source
191.459,5.28,first first of all it is free it has
194.64,4.76,some positive negatives each of the data
196.739,6.961,base has its own positive and negatives
199.4,6.94,and might equal uh you can you can have
203.7,7.74,null values you can have missing values
206.34,8.58,where you have got any kind of uh thing
211.44,6.659,uh but noise people does not support uh
214.92,5.819,data partitioning and accessible
218.099,4.621,we we know about the data partitioning
220.739,4.621,uh when we are partitioning the data in
222.72,4.799,the database we do it using some kind of
225.36,4.32,ID
227.519,5.041,and what does it do it it helps in
229.68,4.139,making the query faster in the database
232.56,3.0,tables
233.819,4.741,okay
235.56,6.899,okay now if you are coming to Oracle uh
238.56,7.44,it is not an open source and not a free
242.459,5.28,software uh it does not support null
246.0,5.7,values
247.739,5.521,and data partitioning and XML support is
251.7,3.72,available in it
253.26,5.24,so this is a positive point in Oracle
255.42,7.8,basically Oracle will be used for large
258.5,7.78,uh data sets when we have a large data
263.22,5.22,Enterprise kind of data we have then we
266.28,4.8,need Oracle
268.44,5.88,now let us uh
271.08,5.1,move to non-relational database
274.32,5.22,the basic difference between a
276.18,6.54,relational and non-relational database
279.54,5.82,is the that in it is not a traveler
282.72,6.0,format relational was a developer format
285.36,6.6,data right now coming to non-relational
288.72,6.0,it is not a tablet format
291.96,5.64,and we do not have a well-defined schema
294.72,6.3,whereas when the relational database uh
297.6,6.12,we did have a well-defined schema
301.02,5.58,there we have multiple tables
303.72,5.759,um in the database in one database here
306.6,4.02,we have a table and it is called as the
309.479,5.521,collection
310.62,6.54,a row is here known as document is one
315.0,2.699,observation
317.16,3.62,um
317.699,6.421,and column is kind of called as field
320.78,5.08,which columns we are talking of
324.12,4.079,right
325.86,5.279,basically non-relational databases will
328.199,4.801,be used for some kind of text Data audio
331.139,3.78,video
333.0,4.62,mostly some of the data which is coming
334.919,5.161,from social media kind of data
337.62,5.22,which is in the format of text audio
340.08,5.179,video kind of data right
342.84,2.419,so
345.72,6.539,we do use a relational and
348.24,6.78,non-relational in combinations and uh if
352.259,5.22,you have a very specific uh use case
355.02,6.36,where you have only text you might have
357.479,7.321,only might be using only one uh one type
361.38,7.02,of non-relational database and but when
364.8,6.98,we talk about come Enterprise level data
368.4,6.54,there you might have different kinds of
371.78,4.72,databases working together in the whole
374.94,4.38,system design
376.5,5.58,I will talk about all those uh in the
379.32,5.52,future videos the how to uh
382.08,6.959,how to design a complete system for uh
384.84,8.1,or maybe uh e-commerce or
389.039,6.421,traveling website or anything like that
392.94,4.74,so in that for that purpose you must be
395.46,4.019,knowing which database is important and
397.68,4.92,how these are being connected different
399.479,8.541,services are talking to each other and
402.6,5.42,which database is kept in which service
408.6,6.12,okay now let us see some of the
412.5,5.1,examples uh
414.72,6.18,so here we will talk about uh types of
417.6,5.52,non-relational databases so basically
420.9,5.519,broadly if you categorize non-relational
423.12,6.56,databases there are many more but these
426.419,7.861,are the most broadly classified
429.68,8.079,key value document based and graph paste
434.28,6.359,white column based when you talk of key
437.759,6.141,value based here you have a key is from
440.639,6.301,ID link to the value we want to store
443.9,5.019,value will be something which is with
446.94,3.479,the information which we need for a
448.919,4.4,corresponding ID
450.419,2.9,foreign
455.419,5.68,there are other also
458.46,6.9,it is also used when you want to Cache
461.099,6.6,the data to make the make the
