second,duration,transcript
0.06,3.48,tonight A Stark warning that artificial
2.22,3.78,intelligence could lead to the
3.54,4.2,extinction of humanity have you ever
6.0,4.44,wondered what could happen if we combine
7.74,5.64,Ai and quantum computers it's both
10.44,4.859,exciting and scary quantum computers are
13.38,3.899,incredibly powerful and can solve
15.299,4.581,complex problems much faster than
17.279,5.34,regular computers but there's a catch
19.88,4.899,renowned physicist Michio Kaku has
22.619,4.08,discovered something terrifying and it
24.779,5.881,could lead to the extinction of humanity
26.699,6.421,so the two of them the chat Bots that
30.66,4.2,are revolution in software and then
33.12,3.84,quantum computers which are Revolution
34.86,4.68,and Hardware when they get together
36.96,5.279,watch out join us as we explore the
39.54,5.1,world of quantum computers and AI their
42.239,4.561,revolutionary potential and the shocking
44.64,4.2,warning from Michio Kaku
46.8,4.2,quantum computers are exceptional
48.84,3.84,computers that revolutionize Computing
51.0,3.96,by operating on the principles of
52.68,4.559,quantum mechanics unlike classical
54.96,4.68,computers that use bits to store and
57.239,4.741,process information quantum computers
59.64,5.339,utilize Quantum bits which are commonly
61.98,6.48,called qubits while classical bits can
64.979,5.161,only be in two states zero or one qubits
68.46,4.08,possess the incredible ability of
70.14,3.839,superposition this means that a qubit
72.54,4.259,can exist in multiple States
73.979,4.861,simultaneously representing both zero
76.799,4.201,and one at the same time
78.84,4.38,this is not just a little advancement in
81.0,4.02,the basis of computation we are talking
83.22,3.84,about a large leap that provides
85.02,4.32,possibilities for solving highly complex
87.06,3.48,problems that our modern computers are
89.34,3.779,limited to
90.54,5.34,the power of quantum computers lies in
93.119,4.561,their capacity for parallel computation
95.88,4.199,by exploring different states and
97.68,4.68,possibilities simultaneously they can
100.079,4.621,potentially solve specific problems much
102.36,4.98,faster than classical computers
104.7,4.44,undoubtedly there is a widespread debate
107.34,2.94,about the use of this revolutionary
109.14,2.88,system
110.28,3.54,at first you could liken it to the
112.02,4.08,regular developments we are making on
113.82,4.74,classical computers increasing the
116.1,4.339,processing power of a single chip
118.56,4.62,but the argument here is quite different
120.439,4.601,the Improvement comes from the basic
123.18,4.32,unit of computing
125.04,4.74,Quantum bits outperform classical bits
127.5,4.2,and this leads to the wide gap between
129.78,4.02,the processing power of quantum
131.7,3.539,computers and conventional computer
133.8,3.9,systems
135.239,3.781,now let's walk through the history of
137.7,3.36,this invention
139.02,5.04,quantum computers have a rich history
141.06,5.399,dating back to the early 1980s when
144.06,4.319,physicist Richard Feynman introduced the
146.459,3.301,Revolutionary concept of quantum
148.379,3.421,computation
149.76,3.54,Feynman envisioned a new kind of
151.8,3.72,computer that could leverage the
153.3,4.68,principles of quantum mechanics to
155.52,5.04,tackle complex problems beyond the
157.98,5.52,capabilities of classical machines
160.56,4.56,however it wasn't until the 1990s that
163.5,3.36,significant breakthroughs in this field
165.12,5.22,began to emerge
166.86,6.54,back in 1994 a mathematician named Peter
170.34,4.979,Shore working at Bell Labs unveiled an
173.4,3.72,algorithm that sent shock waves through
175.319,4.021,the scientific community
177.12,4.32,this algorithm was a game changer for
179.34,4.14,quantum computers because it had an
181.44,4.62,incredible ability to efficiently Factor
183.48,4.74,large numbers now you might be wondering
186.06,4.98,why factoring numbers is such a big deal
188.22,4.92,well it turns out that factoring plays a
191.04,4.5,crucial role in many encryption methods
193.14,4.14,used to protect sensitive information in
195.54,3.96,our digital world today
197.28,4.319,Shore's algorithm opened up a whole new
199.5,4.44,realm of possibilities and sparked both
201.599,4.801,excitement and concerns among scientists
203.94,4.2,it showed how powerful quantum computers
206.4,4.44,could be in Breaking the encryption
208.14,6.36,systems we rely on so throughout the
210.84,5.46,1990s and early 2000s researchers rolled
214.5,3.54,up their sleeves and started exploring
216.3,3.54,different ways to build practical
218.04,3.72,quantum computers
219.84,4.44,one of the most promising approaches
221.76,5.339,involved tinkering with individual atoms
224.28,4.98,or ions to act as qubits which are the
227.099,3.661,building blocks of quantum computers and
229.26,3.72,are the fundamental units of information
230.76,5.52,in Quantum computing
232.98,5.819,in 2001 a group of scientists at IBM
236.28,4.62,achieved a major breakthrough they
238.799,4.381,successfully demonstrated the concept of
240.9,4.559,quantum Computing by using nuclear
243.18,5.339,magnetic resonance to control qubits
245.459,5.7,think of it as an Eureka moment in the
248.519,4.981,world of science this achievement showed
251.159,4.381,that Quantum computation was not just a
253.5,4.56,wild idea but something that could
255.54,4.74,actually work it lit a fire under
258.06,3.6,researchers pushing them to progress
260.28,3.96,even more
261.66,4.319,as time went on scientists made
264.24,4.14,incredible strides in developing
265.979,4.921,stronger and more reliable qubit systems
268.38,4.62,they explored different types of qubits
270.9,4.5,like superconducting circuits and
273.0,4.259,trapped ions each with its own set of
275.4,3.72,advantages and challenges
277.259,3.841,they were trying out different Tools in
279.12,4.74,a Quantum toolbox to see which worked
281.1,4.62,best all these advancements paved the
283.86,4.559,way for the construction of increasingly
285.72,5.28,powerful quantum computers the number of
288.419,4.621,qubits kept growing allowing for more
291.0,4.5,complex calculations and simulations
293.04,5.879,it's like going from a basic calculator
295.5,6.66,to a supercomputer later in 2013
298.919,4.981,something great happened Google and NASA
302.16,4.86,joined forces to create a quantum
303.9,5.04,computer called the d-wave 2. picture it
307.02,4.02,as a high-tech Powerhouse that was going
308.94,4.38,to be housed at NASA's Ames Research
311.04,4.32,Center but guess what a government
313.32,4.26,shutdown came along and threw a wrench
315.36,4.14,in the works it disrupted the project
317.58,4.74,and stopped the quantum computer from
319.5,5.46,reaching its full potential why
322.32,4.26,well it had to do with worries about the
324.96,3.56,potential risks that could come from
326.58,4.14,using such an advanced Computing system
328.52,4.239,even though the computer was up and
330.72,4.259,running the shutdown put a halt to
332.759,4.681,further progress and plans until NASA
334.979,4.981,could get back on track fast forward to
337.44,5.58,2019 and Google was in the headlines
339.96,5.34,again blowing Minds left and right they
343.02,4.86,achieved what's called Quantum Supremacy
345.3,5.339,with their super duper Quantum processor
347.88,5.46,called Sycamore what does that mean
350.639,3.961,well they tackled a complex math problem
353.34,3.54,that would have taken classical
354.6,5.159,computers thousands of years to solve
356.88,5.22,and more interestingly Google's team
359.759,4.261,cracked it in the blink of an eye
362.1,3.9,this accomplishment showed just how
364.02,4.739,incredibly powerful quantum computers
366.0,4.68,can be for specific tasks it got
368.759,4.081,everyone excited and pumped up about the
370.68,4.68,potential of this technology which led
372.84,6.48,to even more investment in the field
375.36,7.559,then in 2020 IBM dropped a bombshell
379.32,5.4,they introduced the ibmq system 1 the
382.919,4.5,very first fully integrated quantum
384.72,4.259,computer designed for commercial use it
387.419,3.78,was like the ultimate dream come true
388.979,4.321,for making quantum computers accessible
391.199,4.141,and practical in the real world
393.3,4.679,just imagine having a quantum computer
395.34,5.52,right at your fingertips ready to tackle
397.979,4.801,all sorts of mind-bending problems
400.86,3.48,all these advancements in Quantum
402.78,3.419,Computing caught the attention of
404.34,4.38,governments and industries worldwide
406.199,4.801,they couldn't resist the Allure of this
408.72,4.319,transformative technology so they
411.0,4.5,started pouring in big bucks to support
413.039,5.041,quantum research initiatives they even
415.5,4.319,set up fancy schmancy Quantum research
418.08,5.1,centers and Labs that brought together
419.819,4.861,smart folks from Academia industry and
423.18,3.6,government agencies
424.68,3.959,although the discovery and full adoption
426.78,4.259,of quantum computers are still in their
428.639,4.761,infancy there are theories that claim
431.039,5.16,that quantum computers or perhaps
433.4,4.96,systems that operate using the logic of
436.199,4.5,quantum Computing might have been in
438.36,4.679,existence in our universe already
440.699,4.681,we are talking about black holes
443.039,3.841,according to Modern scientists the
445.38,3.659,existence of extraterrestrial
446.88,3.12,intelligent life is believed to be
449.039,3.541,probable
450.0,4.74,one intriguing possibility is that they
452.58,4.2,might be utilizing black holes as
454.74,4.62,quantum computers which could explain
456.78,4.919,why we haven't detected their presence
459.36,4.559,this scenario is related to the Fermi
461.699,4.741,Paradox which has puzzled astronomers
463.919,4.081,and cosmologists for years
466.44,3.78,despite the high likelihood of Life
468.0,4.199,existing elsewhere in the universe we
470.22,2.879,are yet to find widespread evidence of
472.199,3.06,it
473.099,5.04,the heart tippler conjecture offers an
