second,duration,transcript
0.0,3.12,so when you think of coding jobs you
1.62,3.36,probably think of really high salaries
3.12,3.48,and awesome work culture but when I got
4.98,3.48,my software engineering job and I
6.6,4.41,realized that not only did I hate the
8.46,4.559,company and the salary was cool
11.01,4.47,[Music]
13.019,4.381,I decided it was time to quit but the
15.48,3.66,problem is that I lived in London one of
17.4,4.02,the most expensive cities in the world
19.14,4.2,so I couldn't really just leave my job
21.42,4.019,without having a new one I know this
23.34,4.14,period was four weeks so I basically had
25.439,3.42,to find a job in that time but the
27.48,3.6,problem is that because I never actually
28.859,4.141,properly marched the data structures and
31.08,4.2,algorithms I realized that there was no
33.0,4.38,way that I could pass the notoriously
35.28,4.2,difficult coding interviews at the big
37.38,4.26,tech companies like Google or meta so
39.48,3.96,somehow I had to figure out a way to
41.64,4.259,master data structures and algorithms
43.44,5.459,and learn to apply them in coding
45.899,4.801,interviews in just four weeks and here's
48.899,4.201,how I did that but the crazy thing is
50.7,5.4,that around week three I discovered this
53.1,4.979,system that basically anyone could apply
56.1,3.66,to basically do the same thing but
58.079,4.581,before I tell you what that was we need
59.76,2.9,to go back to the beginning
63.14,4.42,so I'm not gonna lie I was a bit grumpy
65.82,3.54,about having to learn data structures
67.56,4.14,and algorithms why do we have to learn
69.36,4.38,these random theoretical Concepts just
71.7,3.66,to please some smartass interviews when
73.74,3.84,let's be honest data structures and
75.36,5.28,algorithms have nothing to do with the
77.58,4.679,actual job and I know this because I was
80.64,2.76,a software engineer already at this
82.259,2.941,point
83.4,3.859,so I knew that before I could move
85.2,4.5,forward I had to properly understand
87.259,4.241,what I was even learning because
89.7,3.54,otherwise I would just end up quitting
91.5,3.72,so here's what I discovered after
93.24,3.839,watching tons of useless tutorials that
95.22,3.899,simply skipped to do what with no
97.079,4.201,explanation about the why and the big
99.119,3.721,picture I decided to go back to the
101.28,4.68,beginning and I realized that the reason
102.84,6.18,to learn DSA was hidden in plain sight
105.96,5.64,the entire time and to understand how we
109.02,4.68,need to talk about Legos so let's say we
111.6,4.14,have this Lego house in here in order to
113.7,4.44,build this Lego house you need three
115.74,4.379,things you need to write pieces you need
118.14,4.799,to connect those pieces in the right way
120.119,4.921,and in the right order now I want you to
122.939,4.021,think of this Lego house as sort of like
125.04,3.48,a program and in programming we also
126.96,3.54,have three things we need we have some
128.52,4.38,data that we need to organize in the
130.5,4.56,right way and modify in the right order
132.9,4.14,to get the program that we want just
135.06,3.84,look at this amazing Fireworks program I
137.04,4.08,made in Python we need the right input
138.9,4.26,colors organized in an array and then
141.12,5.04,the right steps aka the right lines of
143.16,4.38,code to make this bad boy into reality I
146.16,4.5,can't believe I just spent two hours
147.54,5.52,making this just for the video
150.66,4.799,so in any program all we really have is
153.06,5.039,the right data organized in the right
155.459,4.741,kind of way AKA a data structure and
158.099,5.521,then applied to to the right lines of
160.2,4.8,code AKA and algorithm to produce a
163.62,4.08,program so in programming literally
165.0,4.68,everything we do is simply data
167.7,4.679,structures and algorithms so when I
169.68,4.74,realized this I was like huh it actually
172.379,3.181,makes sense why we should be learning
174.42,3.06,these things so what I learned about
