second,duration,transcript
0.08,3.68,hey guys welcome to the channel if
1.839,3.44,you're new here my name is anar and i'm
3.76,3.2,a self-taught software developer
5.279,3.28,so in this video i'm going to talk about
6.96,3.44,moving from quality assurance to
8.559,3.361,software development first i want to go
10.4,2.159,into some reasons why you might want to
11.92,2.08,do this
12.559,3.441,and then i'll talk about how you could
14.0,3.279,do this and how i actually did it myself
16.0,2.72,so let's start with the why
17.279,3.201,why do you want to become a software
18.72,3.68,developer there tends to be a perceived
20.48,3.52,prestige with software development some
22.4,3.199,also think that moving from software
24.0,2.72,testing to software development will
25.599,3.44,increase their salaries
26.72,4.16,now these reasons are fairly superficial
29.039,3.2,and if you're considering a move from
30.88,2.24,quality assurance to software
32.239,2.241,development
33.12,3.119,first you need to make sure that you're
34.48,3.28,doing it for the right reason the only
36.239,2.48,reasons you should consider moving into
37.76,2.799,software development
38.719,3.121,is if you either enjoy coding or you
40.559,2.641,enjoy solving problems
41.84,3.039,because that's what your everyday is
43.2,3.359,going to look like if you don't enjoy
44.879,2.16,programming or you don't enjoy solving
46.559,1.68,problems
47.039,2.721,you're not going to be happy and
48.239,3.041,therefore you're not going to excel and
49.76,2.639,become a good software developer
51.28,3.279,and even if you go back to those
52.399,3.761,superficial reasons such as salary
54.559,3.601,you're not actually going to make more
56.16,3.6,money than a good quality assurance
58.16,2.239,professional if you're a bad software
59.76,2.16,developer
60.399,3.601,so let's talk about the how how do you
61.92,3.12,go from qa or software tester to
64.0,2.799,software developer
65.04,4.079,step one is kind of obvious you have to
66.799,3.921,learn to code learn programming basics
69.119,3.441,and programming fundamentals
70.72,3.84,don't do some sort of course on udemy
72.56,2.8,that covers a web framework like react
74.56,3.199,or spring
75.36,4.16,or nodejs pick a simple programming
77.759,2.881,language like python or javascript
79.52,2.8,and learn it to the point where you
80.64,3.6,could write basic scripts with it maybe
82.32,3.439,a program that sums two numbers or gives
84.24,3.12,you a random number every hour something
85.759,3.761,along those lines you want to make sure
87.36,4.399,you understand classes methods functions
89.52,3.52,variables loops those underlying things
91.759,2.0,that are common in most programming
93.04,2.16,languages
93.759,3.281,once you have a basic grasp of a
95.2,2.559,programming language apply it to test
97.04,2.719,automation
97.759,3.921,this is something i did myself i came in
99.759,3.281,as a qa tester to a company that had
101.68,2.88,zero test automation
103.04,2.8,and i essentially started the test
104.56,2.16,automation framework and started
105.84,2.4,building upon it
106.72,2.88,don't be afraid to ask for help i had
108.24,1.839,some developers help me out in the
109.6,2.08,beginning
110.079,3.281,it was a lot to learn and if you have
111.68,2.32,decent co-workers chances are they'll be
113.36,2.399,happy to lend
114.0,3.759,a hand if there already is some sort of
115.759,3.921,test automation setup fantastic
117.759,3.521,take an active role in it contribute to
119.68,2.64,it kind of seek opportunities to
121.28,3.04,actually work on it
122.32,3.52,as you contribute to it more and more as
124.32,2.799,you write more and more test scripts
125.84,2.479,you're going to notice that you get
127.119,2.721,better at programming
128.319,3.041,some things that used to throw you for a
129.84,2.479,loop that used to be confusing they just
131.36,2.72,come naturally
132.319,3.441,now your early quote is going to be bad
134.08,2.72,and that's okay everybody has really bad
135.76,2.479,code in the beginning
136.8,3.68,once you actually get comfortable
138.239,2.801,writing test scripts revisit your old
140.48,2.08,code
141.04,2.96,the really early code where you just
142.56,1.92,started and see what you could make
144.0,2.64,better
144.48,3.839,consistently revisiting your old code is
146.64,3.44,going to build good habits and generally
148.319,3.681,make you a better programmer take that
150.08,3.2,test automation project seriously
152.0,2.959,there's really two ways you could go
153.28,3.92,about it you could just say hey
154.959,4.0,i'm in qa programming is not my primary
157.2,3.039,job i'm going to take this script from
158.959,2.961,somewhere i found online
160.239,3.841,copy and paste it maybe change some
161.92,3.599,things and if it works that'll be it
164.08,3.12,if i need to do something similar i'll
165.519,3.44,just copy and paste it again while
167.2,2.96,that'll work that's not the attitude you
168.959,2.401,should have if you're planning to move
170.16,2.88,into software development
171.36,4.0,the second way is to take the project
173.04,4.16,seriously to try to apply principles of
175.36,2.32,programming and principles of good code
177.2,2.56,design
177.68,3.04,one of those principles is dry don't
179.76,2.479,repeat yourself
180.72,3.28,which essentially means don't copy and
182.239,3.681,paste any code if you see some code
184.0,3.2,that could be reusable take that code
185.92,3.039,and put it into a function
187.2,3.28,use proper names read up on naming
188.959,2.241,conventions for variables and for
