second,duration,transcript
0.0,3.12,[Music]
1.079,3.421,this video is intended for those who do
3.12,4.199,not know what functional programming is
4.5,4.139,with an assumption in order to be aware
7.319,3.481,of the fact that you don't know what
8.639,3.661,functional programming is I suppose you
10.8,3.24,must be familiar with some other
12.3,3.539,programming Paradigm that is you should
14.04,3.659,be familiar with some language similar
15.839,3.36,to one of these
17.699,2.941,great now
19.199,3.541,one thing that you'll have probably
20.64,3.479,realized by now is that despite having a
22.74,3.119,few things in common
24.119,3.42,these languages also have lots of
25.859,3.781,differences I'm not talking about
27.539,4.801,differences in syntax syntax doesn't
29.64,5.099,matter I'm talking about semantics the
32.34,5.46,meaning and behavior of your programs
34.739,5.701,let's take C you may know that c doesn't
37.8,5.279,have classes or objects unlike C plus
40.44,4.68,plus Java and python
43.079,4.261,we say that c is an imperative language
45.12,5.279,since its instructions are shaped like
47.34,5.699,commands unless it is procedural since
50.399,5.311,it is based on procedure calls usually
53.039,6.18,improperly referred to as function calls
55.71,5.489,[Music]
59.219,4.14,you will disagree about the improperly
61.199,4.32,but I'm also sure that you all know that
63.359,4.681,procedure means different things in
65.519,4.561,different contexts sometimes it's used
68.04,4.86,to denote a piece of code that does not
70.08,5.46,return a value as opposed to a
72.9,5.34,function which does
75.54,4.619,in this video by procedure I mean any
78.24,5.1,sequence of instructions which may well
80.159,5.28,contain a return while a function in the
83.34,4.319,functional programming sense is a much
85.439,3.371,more abstract idea which we will explore
87.659,4.7,later in the video
88.81,3.549,[Music]
92.64,3.479,on the other hand are called
94.159,4.061,object-oriented languages
96.119,4.801,but the instructions inside their
98.22,4.92,methods are still commands so these
100.92,4.32,languages are still based on the same
103.14,3.96,imperative paradigm
105.24,3.54,one of the things that make functional
107.1,4.08,languages most different from the ones
108.78,5.159,you're probably used to is the fact that
111.18,5.64,the instructions are not commands but
113.939,4.5,expressions and a program is not a
116.82,5.339,concatenation of declarations and
118.439,6.241,commands but a composition of functions
122.159,4.801,we'll call this property one
124.68,3.66,there's also another big difference the
126.96,3.28,biggest one probably
128.34,4.619,and I'll introduce it later in the video
130.24,5.12,[Music]
132.959,4.441,when we refer to functions we mean it in
135.36,5.76,the mathematical sense of maps between
137.4,5.339,sets such that the output depends solely
141.12,4.259,on the input
142.739,5.881,a procedure can be a function for
145.379,5.461,example this python procedure is a
148.62,4.38,function that takes an integer and
150.84,3.96,returns an integer
153.0,4.98,in mathematical notation we would write
154.8,4.98,this function as F from integers to
157.98,6.839,integers
159.78,7.8,such that X maps to x squared
164.819,6.901,this symbol here means Maps 2 and
167.58,7.5,writing F such that X maps to x squared
171.72,6.659,is equivalent to writing F such that f
175.08,5.76,of x equals x squared
178.379,5.041,I prefer to use the map 2 notation here
180.84,5.42,since it allows for a better transition
183.42,2.84,later in the video
186.3,3.299,let's look at another example that
187.86,3.48,should bring us a little bit closer to
189.599,3.901,the functional paradigm
191.34,4.319,if we wanted to define a python function
193.5,3.54,that Returns the sum of the squares of
195.659,3.121,two numbers
197.04,3.9,we could either write the following
198.78,3.9,procedure
200.94,5.6,or if we wanted to separate the
202.68,3.86,operations write something like this
207.18,4.199,now remember what we said about the
208.86,4.68,functional Paradigm property one
211.379,4.561,rather than using a concatenation of
213.54,4.02,declarations and commands we want to use
215.94,5.28,function composition
217.56,6.0,so we can rewrite the function like this
221.22,4.5,this is closer to satisfying the first
223.56,4.319,property
225.72,4.68,there is still a problem though
227.879,3.541,that return thing over there is a
230.4,3.18,command
231.42,5.399,and one command is enough to make this
233.58,6.299,computation a concatenation of commands
236.819,5.101,thus violating property one
239.879,3.42,we can solve this by introducing a
241.92,2.64,second property of functional
243.299,4.8,programming languages
244.56,5.879,the presence of anonymous functions
248.099,3.901,Anonymous function is a function without
250.439,3.72,a name
252.0,4.32,we will represent Anonymous functions at
254.159,2.711,least for now by means how the maps to
256.32,2.699,notation
256.87,3.95,[Music]
259.019,2.821,instead of writing our function like
260.82,2.76,this
261.84,4.139,we will stop using python for a while
263.58,6.0,and represent our function in a weird
265.979,6.241,mathematical to the language like this
269.58,4.32,notice that we use the same equal symbol
272.22,4.62,that we might have used to assign the
273.9,5.579,value 3 to an integer variable X
276.84,4.5,this is a hint that a most important
279.479,3.78,property of all
281.34,3.66,Anonymous functions can be assigned to
283.259,4.561,variables the very same way that a
285.0,4.86,number can be assigned to a variable
287.82,4.62,numbers can be the inputs and outputs of
289.86,5.7,functions so I guess the next obvious
292.44,7.74,step would be using Anonymous functions
295.56,7.32,as the input of other functions like so
300.18,5.22,and also as the result of other
302.88,5.52,functions
305.4,7.32,in this case the function Foo is a
308.4,7.079,function that returns a function so this
312.72,6.12,Returns the function that multiplies the
315.479,6.781,input by 2. hence the following
318.84,4.799,computes the value 2 times 5.
322.26,4.02,[Music]
323.639,3.9,should we call this property three I
326.28,3.66,guess
327.539,4.081,this is I think the most important
329.94,3.9,property of functional programming
331.62,4.2,languages
333.84,3.48,these may or may not surprise you but
335.82,3.54,several languages you may already know
337.32,3.719,like Python and JavaScript
339.36,3.96,already have the possibility of writing
341.039,3.961,programs that satisfy these three
343.32,3.599,properties
345.0,3.18,for example you can write synonyms
346.919,4.861,functions and pass them to other
348.18,5.76,functions in Python by using this syntax
351.78,3.84,and in JavaScript by using these other
353.94,3.3,syntax
355.62,3.96,this is because these languages are
357.24,5.28,multi-paradigm languages
359.58,4.74,but what about purely function languages
362.52,4.5,Python and JavaScript allow us to use
364.32,5.52,functional tools while still having the
367.02,5.58,possibility to concatenate commands
369.84,6.5,how do you like iteration without table
372.6,3.74,Z to concatenate commands
376.5,4.38,in purely functional languages we don't
378.479,3.78,have iteration but it's not really
380.88,3.78,necessary
382.259,5.22,functional languages use recursion as
384.66,5.159,their equivalent of iteration
387.479,3.901,as you may know every while loop can be
389.819,3.72,transformed into a tail recursive
391.38,4.74,function by moving the variables you're
393.539,3.861,checking from the god to the base case
396.12,2.579,of the recursive function
397.4,3.1,[Music]
398.699,3.601,if you're familiar with recursion and
400.5,3.96,you're using it already in your Paradigm
402.3,5.82,of choice the transition to any
404.46,5.28,functional language will be quite smooth
408.12,5.579,another thing you may be asking yourself
