second,duration,transcript
0.03,5.4,welcome that I relate few pieces of code
3.389,3.72,and show you how to analyze them how to
5.43,4.41,find out the time complexity for them
7.109,4.681,this is a simple loop I am not reading a
9.84,3.9,complete algorithm I have this written a
11.79,3.9,piece of code in which one statement is
13.74,4.02,there but we are already familiar with
15.69,5.07,this one we know that this will execute
17.76,7.05,for n plus 1 9 and this way is good for
20.76,6.179,and we don't want this time because
24.81,4.59,anyway when we are at the order of be
26.939,4.291,writing a degree so this will not affect
29.4,3.659,the degree at all so it will be same
31.23,3.93,only so just you need to move the
33.059,7.951,statement how many times it is executed
35.16,13.98,so that's it so this is order of n you
41.01,11.4,can avoid this one skip this one next if
49.14,7.8,suppose this loop starting from N and
52.41,8.37,the condition is greater than 1 or 0 and
56.94,8.46,this was getting subtracted so this loop
60.78,7.53,is decrementing then also this statement
65.4,6.87,will execute for n times and it sort of
68.31,7.169,in whether you go from one to ten ten
72.27,6.209,steps or come from ten to one then also
75.479,5.581,ten steps so you go from one to ten or
78.479,7.131,ten to one signal process so that's how
81.06,7.699,n to 0 at us so it's also all wrong and
85.61,6.73,if this is starting from one and
88.759,8.891,condition is less than N and I is being
92.34,8.069,incremented by 2 so this statement will
97.65,8.429,not repeat for ten times but half of the
100.409,11.161,end times and by two if it is n by 2
106.079,8.371,also if I say function s and by 2 what
111.57,5.009,is the degree of polynomial and only
114.45,6.57,search part of n again
116.579,8.761,so in this case also it sort of end even
121.02,6.9,if it is incrementing by 20 then this is
125.34,5.88,20 degree of a polynomial is and
127.92,6.21,so resolves forever friend so end by
131.22,5.37,anything this whatever the number of
134.13,4.11,times it is implementing the time will
136.59,4.02,be same
138.24,6.15,nice we are already familiar with this
140.61,6.09,one these are two loops nested loop one
144.39,6.03,inside another and this we know this
146.7,6.18,relates q4 n times so this is also n
150.42,5.01,times and resolves right times actually
152.88,4.59,is n plus 1 but what about this one
155.43,5.4,again this is repeat for n plus 1 times
157.47,8.12,and so they before any time and this is
160.83,9.18,all rough and squared
165.59,6.55,the next is again nested for loop this
170.01,6.03,looks similar to the previous one but
172.14,7.38,not see I did travel 0 I less than n but
176.04,6.66,G takes value G less than I so here is a
179.52,5.61,defense so let us analyze this by
182.7,5.73,tracing this one and find out how much
185.13,8.06,time it is checking so for this I will
188.43,10.95,take I value and J value and paste them
193.19,8.92,let us start initially I is 0 when I 0 J
199.38,5.16,starts from 0 and 0 less than 0
202.11,5.189,no it will not execute for any number of
204.54,5.28,times so here I have to find out how
207.299,5.881,many times the statement is executed so
209.82,7.199,number of times so it will not execute
213.18,8.67,at all so 0 times then this loop ends
217.019,7.171,again I am plus plus I becomes 1 I is
221.85,6.0,less than n in suppose it's enters
224.19,10.59,inside then again this group 0 0 is less
227.85,9.359,than 9 yes then J plus plus J is 1 1 is
234.78,4.47,not less than I so for 1 it will not
237.209,8.101,execute so how many times it has
239.25,10.53,executed one time and then goes up again
245.31,7.5,I plus plus I becomes 2 then J will
249.78,7.86,execute for 0 1 and when it becomes 2 it
252.81,10.47,will stop so this will be 4 2 times and
257.64,8.43,when I is the 3 J will take 0 1 2 & 3 so
