second,duration,transcript
4.08,4.24,simply learn welcomes you to
6.24,4.8,machine learning versus deep learning
8.32,5.199,versus artificial intelligence some of
11.04,4.16,the most exciting technologies evolving
13.519,3.201,in today's world
15.2,3.919,my name is richard kirschner and i'll be
16.72,4.719,hosting this talk or simply learn
19.119,4.4,before we start covering the basics of
21.439,3.92,these three topics and how they connect
23.519,3.52,and how they are different let's just
25.359,4.16,look at a few examples so we get an
27.039,3.841,understanding of what's going on
29.519,3.841,here's an example of artificial
30.88,3.679,intelligence in today's world amazon
33.36,3.44,echo
34.559,4.32,amazon echo is a wonderful tool we can
36.8,4.24,go in there and you can say hey alexa
38.879,4.641,what's the temperature in chicago
41.04,4.72,and the amazon echo then translates that
43.52,4.0,into zeros and ones and something the
45.76,4.16,computer understands
47.52,4.16,then it comes in and processes that
49.92,3.279,information to identify what you're
51.68,3.6,asking and what you need and where to
53.199,4.081,get that information and then it comes
55.28,3.919,back and says the current temperature in
57.28,3.919,chicago is six degrees fahrenheit or
59.199,3.52,whatever it is at the moment
61.199,3.28,so this is a wonderful example of
62.719,3.921,artificial intelligence that we're using
64.479,4.161,right now today where that's at as far
66.64,4.0,as a commercial deployment
68.64,4.0,machine learning a machine learning
70.64,4.64,example out there is google you're on
72.64,4.72,your google search engine it comes up
75.28,4.479,you spend a lot of time on the first
77.36,3.2,link you come into and you read the page
79.759,2.241,and
80.56,3.599,google looks at that and says okay he
82.0,3.439,spent five minutes on this let's give it
84.159,3.201,a thumbs up
85.439,3.441,and then you go to the second page and
87.36,2.72,the third page you just kind of skip
88.88,3.52,over them and glance at them for a
90.08,3.679,couple seconds and google says i wasn't
92.4,2.88,interested in those pages let's give
93.759,2.801,them a thumbs down
95.28,3.28,so this is a good example of machine
96.56,3.84,learning as it starts guessing what you
98.56,3.199,like and what you don't like so it gives
100.4,3.92,you more information along what you're
101.759,4.481,going to read and actually use
104.32,3.2,and then we have an example of deep
106.24,3.199,learning
107.52,3.36,in this example we have a black and
109.439,4.081,white image
110.88,3.68,it comes into in this case a neural
113.52,3.04,network
114.56,3.599,some people like to call it a magic box
116.56,3.199,because you really it's hard to follow
118.159,3.441,all that's going on in there there's all
119.759,3.201,these different weights and connections
121.6,3.119,and nodes
122.96,4.4,and then it comes out
124.719,4.16,and colors the beach ball the people the
127.36,3.36,background
128.879,3.44,what's going on in here is the black and
130.72,4.4,white image goes into this neural
132.319,4.721,network and before it's ever gone in
135.12,4.16,the neural network has looked at all
137.04,4.16,these different pictures on the web or
139.28,3.84,wherever it pulls the data from
141.2,3.759,and it's already itemized them and kind
143.12,3.68,of separated them that
144.959,3.601,we have some that look like beach balls
146.8,3.84,we have some that look like people and
148.56,3.759,it programs that so that when the black
150.64,3.2,and white image comes in it goes okay
152.319,3.28,that piece right there
153.84,3.2,resembles this and all these other
155.599,4.161,photos
157.04,4.479,and the network is able to identify that
159.76,3.92,and then color the beach ball with the
161.519,3.44,colors that you see on there so it gives
163.68,2.8,it this is really wonderful because they
164.959,2.56,did a wonderful job coloring this
166.48,2.8,picture
167.519,3.761,and that's the full setup is where the
169.28,4.959,deep learning example comes in and they
171.28,5.84,usually center around neural networks
