second,duration,transcript
1.439,4.001,welcome to frank's diana explains
3.52,4.239,and to the algorithms course at the
5.44,5.52,university of cambridge
7.759,4.88,today's topic is dynamic programming
10.96,3.599,today's topic and the topic of the next
12.639,4.161,few videos actually dynamic programming
14.559,5.841,is a powerful technique that applies to
16.8,6.239,a large class of problems where a naive
20.4,4.959,exhaustive search approach would have
23.039,4.08,exponential complexity
25.359,3.281,if you use dynamic programming instead
27.119,4.0,these problems can be solved
28.64,4.4,in low polynomial time a dramatic
31.119,3.921,improvement
33.04,3.679,dynamic programming can be quite
35.04,3.76,puzzling if you've
36.719,3.041,never heard of it before so this very
38.8,2.8,brief video
39.76,4.479,will give a general overview but
41.6,4.72,experience tells me that it may still
44.239,2.64,not completely make sense the first time
46.32,4.079,you hear
46.879,6.0,about this stuff in the next few videos
50.399,3.361,i'll work through a few examples and
52.879,2.641,then after that
53.76,3.04,we can recap and at that point this
55.52,4.719,video will hopefully
56.8,3.439,sound a lot clearer
60.96,3.36,if you are already experienced with
62.8,4.08,dynamic programming
64.32,3.76,more power to you and feel free to watch
66.88,3.279,these
68.08,3.28,numerous examples of application of
70.159,3.601,dynamic programming
71.36,3.6,at high speed so that you get more
73.76,3.76,quickly to the point
74.96,3.199,where you can open your editor open your
77.52,2.639,ide
78.159,3.761,and start writing code to prove to
80.159,5.521,yourself that you're actually capable
81.92,6.08,of applying these techniques
85.68,4.079,for example the dna problem that i posed
88.0,4.4,in the very first lecture in the course
89.759,3.201,and write a program that takes two input
92.4,2.16,strings
92.96,3.36,and returns the longest common
94.56,3.84,subsequence between them
96.32,4.159,longest the longest or one of the
98.4,5.92,longest if there are several
100.479,3.841,of the same length
104.479,3.041,of course not all problems can be solved
107.04,3.039,by
107.52,4.48,dynamic program but the problems that
110.079,4.72,can be solved by dynamic programs
112.0,5.04,programming share certain features which
114.799,5.441,you will have to learn to recognize
117.04,4.16,your glutes for saying okay dynamic
120.24,3.76,program
121.2,4.0,is probably a good idea in this case so
124.0,4.319,the first of these features
125.2,5.44,is that the problem uh has many choices
128.319,3.28,each choice with its own score and you
130.64,5.599,must find
131.599,6.72,one that has the optimum score
136.239,3.841,second property is that the number of
138.319,3.841,choices is too large
140.08,4.0,for trying demolite by brute force
142.16,3.36,typically an exponential number of
144.08,3.92,choice
145.52,3.04,the third property is that the optimal
148.0,3.28,solution
148.56,4.64,is made of optimal solutions for smaller
151.28,5.44,sub-problems
153.2,5.679,and the fourth property is that these
156.72,4.159,sub problems overlap
158.879,4.161,and therefore searching for the optimal
160.879,4.08,solution without dynamic programming
163.04,5.839,would typically end up recomputing the
164.959,3.92,same partial solutions many times
169.04,3.279,to apply dynamic programming you must
171.68,2.72,first
172.319,3.521,describe the problem top down in a
174.4,4.479,recursive fashion
175.84,3.84,describing as per property 3 the optimal
178.879,5.041,solution
179.68,5.12,in terms of smaller optimal solutions
183.92,3.599,however
184.8,3.84,if you then executed this recursive
187.519,3.36,function
188.64,3.36,you would usually end up conducting an
190.879,4.241,exponential time
