second,duration,transcript
9.79,1.09,OLIVIA: So I'm Olivia.
10.88,4.34,"I work at Fathom
Information Design."
15.22,2.14,We're over in Boston.
17.36,3.74,"And we do-- a lot of our
work is in data visualization"
21.1,1.64,and information design.
22.74,2.37,"And we use processing
for that, which is what"
25.11,1.61,we're going to be using today.
26.72,4.5,"So processing is both a
community and development"
31.22,3.624,"environment and a
language to kind of make"
34.844,1.416,"it as simple as
possible to get up"
36.26,2.89,"and running with something
visual on the screen."
39.15,2.125,So you can use it for making 3D.
41.275,1.941,"You can do what
we're going to do,"
43.216,1.374,"image processing,
kind of looking"
44.59,2.16,"at the pixel
information of images."
46.75,3.47,"Or kind of pulling in data and
creating things based on that."
53.75,2.83,"So do any of you guys
have an idea of what"
56.58,2.43,"you think of when you
hear image processing"
59.01,2.136,or what that might be?
61.146,0.813,Yeah.
61.959,0.875,AUDIENCE: [INAUDIBLE]
66.09,0.94,OLIVIA: Yes.
67.03,1.7,"Yes, so a lot of
it is about kind"
68.73,3.24,"of manipulating the
information that you get when"
71.97,1.94,you kind of take a picture.
73.91,2.29,"Usually, it's to enhance
it so whether that"
76.2,3.19,"means you're making
it more clear to be"
79.39,1.58,"able to kind of
analyze information"
80.97,2.744,"in there or in enhancing
it in an aesthetic way"
83.714,1.666,"kind of like with
Instagram or Snapchat."
88.37,2.775,"So kind of doing
that through code"
91.145,1.333,is what we're going to do today.
95.27,3.57,"It uses a mix of math and
computer science so a lot of it"
98.84,1.9,"is these mathematical
functions that"
100.74,3.84,"manipulate the different pieces
of the image information."
104.58,1.71,"And we're going to
use computer science"
106.29,2.42,"with processing to kind
of mix it all together"
108.71,2.35,and create our filters.
111.06,2.15,"So there are a lot of
different things you can do."
113.21,4.86,"It can be as simple as kind
of enhancing the contrast."
118.07,1.73,"So in this case, this
is a photo that's"
119.8,2.13,taken underwater on the left.
121.93,1.86,"And you can't
really see anything"
123.79,4.37,"so people have gone in and just
enhanced the contrast, which"
128.16,3.39,"usually means playing with the
values, the light and the dark"
131.55,2.5,"of the image to start to make
out the different shapes."
134.05,3.456,"And then they can use it for
analysis or to put in a book."
140.1,2.61,"Sometimes we take
images-- you guys"
142.71,3.0,"were building cameras
earlier using visible light,"
145.71,2.05,"x-rays are another
way of taking images,"
147.76,2.365,"but you're using x-rays
instead of the visible light,"
150.125,1.205,the wavelengths.
151.33,1.7,"And then, again, kind
of enhancing those"
153.03,4.56,"images so that we can find
different medical anomalies."
157.59,3.61,"You can also use x-rays to
look at layers behind paint."
161.2,4.35,"So a lot of times you might
hear a story about they found"
165.55,2.31,"that a person was in this
painting and then it got"
167.86,1.11,painted over.
168.97,2.21,"The way they know
that is through taking"
171.18,1.98,"these different
images and enhancing"
173.16,2.86,the information in them.
176.02,4.68,"And one that I think is really
cool is a lot of space images"
180.7,5.01,"that you see are mixes of image
data from different telescopes."
185.71,1.4,"So this is actually
a combination"
187.11,2.04,from three different telescopes.
189.15,5.02,"I think the blue is
x-ray information,"
194.17,2.68,"the gold is information
from Hubble,"
196.85,4.09,"and then the red might be a
different x-ray telescope."
200.94,2.73,"So kind of merging all of those
together and coloring them"
203.67,1.91,"in a certain way
so that people can"
205.58,5.12,"start to get scientific
knowledge from the photos."
210.7,3.78,"And then there's also this
kind of cyclical process"
214.48,3.45,"of so now we have cameras that
are really good at recognizing"
217.93,4.37,"faces so that our pictures of
our family can be way better."
222.3,1.55,"But the way we were
able to do that"
223.85,2.684,"is by looking at pictures
of faces and kind"
226.534,1.666,"of teaching the camera
what to look for."
228.2,3.295,"So kind of using images
to enhance later images."
234.34,1.98,"And what we're going
to focus on today"
236.32,4.81,"is manipulating the color
information of our photos"
241.13,2.24,for purely aesthetic purposes.
243.37,4.13,"So Instagram uses a set of
filters which really is just"
247.5,2.91,"a set of mathematical functions
that are applied to the image"
250.41,1.07,information.
251.48,2.306,"And then spit back out your
image with its new colors."
257.05,2.55,"So in order for us to
be able to do this,"
259.6,2.71,"I'm going to talk a little bit
about the different ways you"
262.31,3.13,"might access the color
information of your photo."
265.44,3.637,"And kind of how
computers see color."
269.077,2.583,"You might have talked about this
a little bit with the cameras"
271.66,3.28,"earlier so it's
a good refresher."
274.94,2.53,"But let's start with
a grayscale image."
277.47,3.6,"So on the left is our
image of the baboon."
281.07,2.6,"And when you have
a grayscale image,"
283.67,3.0,"everything is on
a range of black"
286.67,5.46,"to white that can be stored as
a number, usually zero to 255."
292.13,2.32,"And then over here,
it's just kind"
294.45,2.42,"of plotting what
those values are."
296.87,4.62,"So you start to get a sense
of how image information can"
301.49,2.95,"be seen as just sort of a set
of numbers, a set of values."
307.95,3.22,"This is up close at like
one square of your image,"
311.17,2.79,"so again, every pixel
in a gray scale image"
313.96,1.305,will have one value.
318.07,2.88,"So it can be from zero for
black and 255 for white."
323.47,2.0,"And then a color
image is usually just"
325.47,2.53,"like three layers
of that information."
328.0,3.91,"So if you're looking at
an image in RGB mode,"
331.91,3.62,"which is pretty standard for
how digital cameras work,"
335.53,2.77,"usually how computers
are thinking about color"
338.3,5.13,"information, it's three layers
of those zero to 255 values."
343.43,3.29,"But in this case, it's
like from black to pure red"
346.72,3.53,"or black to pure green
and black to pure blue."
350.25,2.21,"And then we kind of
add those all together"
352.46,3.45,"with the correct weights, you'll
get your full color image."
355.91,2.79,"So this is one way to start
pulling out the information"
358.7,1.14,and playing with it.
359.84,2.19,"So in processing, you'll
see in the filters"
362.03,4.13,"that sometimes people will go
through and for every pixel,"
366.16,2.21,"take out what is the
red, what is the green,"
368.37,2.04,"and what is the
blue of that pixel."
370.41,2.759,"And then you can just
say OK, add 10 to red"
373.169,1.666,"and that will totally
change your image."
378.48,2.5,"So this is just
an example of what"
380.98,5.741,"happens when you start playing
with the different RGB values."
