second,duration,transcript
0.0,3.72,welcome back to my YouTube channel in
2.34,3.06,this video we'll be discussing the
3.72,3.539,differences between machine learning and
5.4,4.32,natural language processing
7.259,3.96,the phrase artificial intelligence is
9.72,3.48,frequently associated with complex
11.219,4.021,Concepts like machine learning natural
13.2,3.839,language processing and deep learning
15.24,3.9,which are interrelated
17.039,3.601,a popular topic of discussion is the
19.14,3.6,distinctions between natural language
20.64,4.08,processing and machine learning
22.74,3.539,this video aims to clarify the
24.72,3.299,relationship between these two vital
26.279,4.32,subfields of artificial intelligence
28.019,4.38,machine learning and NLP
30.599,2.821,this video is going to be very
32.399,3.361,interesting
33.42,4.139,but before the video starts I recommend
35.76,3.18,you to subscribe our Channel and join us
37.559,2.581,on this journey of Discovery and
38.94,3.48,innovation
40.14,3.72,so let's delve into the details and
42.42,4.2,explore the distinction between machine
43.86,4.44,learning and natural language processing
46.62,3.36,machine learning and natural language
48.3,3.48,processing are both components of
49.98,3.239,artificial intelligence but they differ
51.78,3.66,significantly
53.219,3.781,as you familiar with term AI which is a
55.44,3.0,technology that makes machines smart
57.0,3.3,like humans
58.44,3.66,thus machine learning is a branch of
60.3,3.899,artificial intelligence that utilizes
62.1,4.32,statistical methods to tackle large data
64.199,4.321,sets without any human involvement
66.42,3.78,this technique enables the resolution of
68.52,3.66,problems in a manner similar to how
70.2,4.5,humans approach them but using automated
72.18,4.619,processes and massive amounts of data
74.7,3.84,machine learning algorithms are highly
76.799,4.86,effective in areas like natural language
78.54,5.04,processing computer vision and Robotics
81.659,4.021,it is a valuable approach for addressing
83.58,3.96,real-world AI challenges as it involves
85.68,3.299,algorithms that teach machines to learn
87.54,3.719,and improve Based on data without
88.979,3.96,requiring explicit programming
91.259,4.441,on the other hand natural language
92.939,4.5,processing NLP is a subfield of
95.7,3.48,artificial intelligence that deals with
97.439,3.781,processing raw written text in natural
99.18,4.079,human languages and transforming it into
101.22,4.56,a computer-readable format
103.259,4.441,NLP is capable of Performing intelligent
105.78,4.44,analysis on vast amounts of plain text
107.7,4.44,and producing valuable insights from it
110.22,3.42,this technological advancement has
112.14,3.54,revolutionized communication between
113.64,3.78,humans and machines leading to the
115.68,4.079,creation of innovative applications such
117.42,5.339,as sentiment analyzers text classifiers
119.759,4.981,chat Bots and virtual assistants
122.759,3.841,virtual assistants like Siri and Alexa
124.74,4.739,are some of the most well-known examples
126.6,5.7,of NLP technology that we use daily
129.479,4.681,is NLP considered machine learning
132.3,3.72,the figure below shows that natural
134.16,3.659,language processing and machine learning
136.02,3.719,have some similarities
137.819,4.321,machine learning is frequently used to
139.739,4.561,support natural language processing
142.14,4.62,additionally NLP uses various
144.3,5.579,pre-processing techniques such as
146.76,5.4,1. tokenization a method to identify key
149.879,4.981,components of sentences or words
152.16,4.56,2. POS tagging a machine learning
154.86,5.34,technique that identifies and tags parts
156.72,4.86,of speech nouns verbs etc for entity
160.2,3.539,extraction
