second,duration,transcript
0.0,2.988,[MUSIC PLAYING]
15.627,2.583,"EDWARD TUFTE (VOICEOVER): In the
arrangement of visualization,"
18.21,5.534,"every single pixel should
testify directly to content."
23.744,2.966,"As Johnny Ive, the great
Apple designer, said,"
26.71,4.88,"we spend most of our time
getting design out of the way."
31.59,2.41,"It's got to get out of
the away, because it's"
34.0,2.05,"about the relationship
with the viewer"
36.05,3.79,"and how they reason
about the content."
39.84,3.93,"Style and aesthetics cannot
rescue failed content."
43.77,2.82,"If the words aren't
truthful, the finest"
46.59,1.91,"optically letter-spaced
typography"
48.5,4.14,won't turn lies into truths.
52.64,3.11,"There are enormously
beautiful visualizations,"
55.75,3.106,"but it's as a
byproduct of the truth"
58.856,3.304,"and the goodness
of the information."
62.16,2.92,"The big steps in
showing information"
65.08,3.06,"began all with cartography,
about 6,000 years ago,"
68.14,4.01,"when the first map was
scratched into a piece of stone."
72.15,3.32,"And that has wound up now
with the most widely seen"
75.47,1.837,"visualization in
the world, which"
77.307,3.203,"is Google Maps, where people
are using a visualization"
80.51,3.57,to actually do something.
84.08,4.86,"The next big step was
development of real science."
88.94,2.27,Galileo got his telescope going.
91.21,3.79,"He saw things that have
never been seen before."
95.0,3.27,"He made beautiful
drawings of sunspots,"
98.27,2.6,"and he'd watched the
sun for about 40 days,"
100.87,2.166,"and he did engravings
of the sunspots."
103.036,3.294,So he visualized what he saw.
106.33,3.62,"And so the history
of visualizing data"
109.95,2.52,"is, very substantially,
a history of science."
117.627,2.333,"JULIE STEELE (VOICEOVER):
Data visualization is not just"
119.96,1.83,"some airy fairy,
creative process,"
121.79,2.22,"but it's actually a
very linear process"
124.01,2.25,"of decision making
that you can do based"
126.26,3.09,on some few basic principles.
129.35,2.61,"Three things should
inform your design always."
131.96,1.92,"One is you, as the designer."
133.88,3.1,"What you have to say and
what you want to communicate."
136.98,1.73,Two is the reader.
138.71,1.49,"That reader is not
you, and they're"
140.2,2.48,"going to come with their own
context, and their own biases,"
142.68,3.53,"and their own assumptions, and
you need to account for that."
146.21,2.54,"And third is the data itself,
and what that has to say,"
148.75,1.74,and how that informs the truth.
153.03,3.689,"There's a lot of subconscious
brain activity happening."
156.719,1.541,"We evolved for it
to happen that way."
158.26,2.265,"We evolved to see things
and make snap decisions."
163.42,2.48,"Are all those lines in the
graph just dried grass,"
165.9,1.833,"or is that a tiger
that's coming to eat you?"
167.733,1.957,[GROWLING]
169.69,2.38,"We have to be able to recognize
those patterns right away"
172.07,3.714,"and make snap decisions on
them in order to survive."
175.784,1.791,"And that can be an
advantage as a designer."
177.575,2.195,"You can communicate
a lot of information"
179.77,2.69,"very quickly, because we all
have brains that are designed"
182.46,1.41,to recognize patterns this way.
187.66,2.45,"But also, there's
the emotional impact."
190.11,3.76,"We react to design, and to
art, and to the aesthetics"
193.87,1.9,"of a piece, just
as much as we react"
195.77,1.63,"to the information
contained in it."
197.4,2.33,"And so if you want to
change someone's mind,"
199.73,2.49,"if you want to change
someone's behavior,"
202.22,2.81,"sometimes presenting the
information in a visual format"
205.03,1.92,"is the fastest way
to get them to engage"
206.95,0.916,with that information.
213.087,2.583,"JOSH SMITH (VOICEOVER): Truth
is one of those ambiguous things"
215.67,2.85,"that you can't really
define, and probably changes"
218.52,4.09,"and evolves, the more
understanding you have."
222.61,2.82,"Data itself is a
result of research."
225.43,4.98,"So I would say that data is
just a clue to the end truth."
230.41,3.13,"I think a successful
infographic tells a story."
233.54,3.6,"It communicates, hopefully,
accurate and sometimes"
237.14,4.16,"complicated data in a way that
many people can understand."
241.3,2.14,"I think the first step,
usually, is always"
243.44,2.68,"dig really deeply into the
data ourselves, and find"
246.12,3.72,"each key point, and create a
hierarchy, and a narrative out"
249.84,0.97,of that story.
250.81,1.96,"When you start to
merge different pieces"
252.77,1.43,"of information,
and when you start"
254.2,4.93,"to learn really what it's all
saying, the narrative is clear."
259.13,2.59,"The one key fact that
everything can revolve around,"
261.72,1.46,it's the hero of the piece.
263.18,2.6,"There's one single
piece of data or insight"
265.78,2.115,"that people respond to
and kind of encapsulates"
267.895,1.095,the whole vision.
268.99,2.8,"And then invite people in
to see the nuances and all"
271.79,3.47,"of the rest of the
story around it."
275.26,1.89,"When you look at a
piece, it's successful"
277.15,3.73,"when it translates data from
something that's complicated"
280.88,1.3,to something simple.
282.18,3.61,"When it communications
a message that otherwise"
285.79,4.51,"would have taken somebody
hours to digest and find"
290.3,0.845,in an instant.
298.3,1.75,"JER THORP (VOICEOVER):
My deepest interest"
300.05,3.49,"lies in the boundary
between data and culture."
303.54,2.0,"Data are measurements
of something."
305.54,2.59,"In very many cases,
the somethings"
308.13,1.835,"that we're talking
about are human systems."
313.03,2.78,"We're dealing with data systems
that are larger than anything"
315.81,3.816,"that humans have ever built
or experienced before."
319.626,2.284,"And these really
large systems, things"
321.91,3.43,"happen within them
that are emerging."
325.34,2.46,"For example, Gate Change
combined shot footage"
327.8,2.605,"from airports, for
pretty much every airport"
330.405,3.145,"in the world, and then
air travel data as well."
333.55,1.97,"So the central idea
was to show people"
335.52,2.4,"that, every time that
you're in an airport,"
337.92,3.16,"you are standing on the surface
of a system that is almost too"
341.08,1.66,complex to comprehend.
342.74,2.44,"Any given time, there are
more than a million people"
345.18,0.62,in the air.
349.53,2.66,"And so there's another
purpose of data visualization."
352.19,2.49,"There's revelation, which
is, show us something"
354.68,1.77,that we've never seen before.
356.45,2.89,"This is, for me,
much more exciting."
359.34,4.55,"Anybody can visualize data in
Excel and see some bar charts."
363.89,2.14,"For me, it's about
showing them something"
366.03,2.93,"in this kind of loose narrative
frame that they can interpret."
368.96,2.93,"So we show them some
pieces of the picture,"
371.89,2.921,"and the idea is that they can
sort of stand back from that"
374.811,2.249,"and watch it pass for a
little bit, and come out of it"
377.06,1.291,with some deeper understanding.
381.27,2.65,"Part of it is leaving it open to
interpretation, but part of it"
383.92,2.22,is also not really knowing.
