second,duration,transcript
0.08,4.32,ever wondered how large enterprise scale
2.48,4.48,systems are designed
4.4,4.159,before major software development starts
6.96,3.44,we have to choose a suitable
8.559,4.08,architecture that will provide us
10.4,4.399,with the desired functionality and
12.639,4.72,quality attributes
14.799,4.081,according to wikipedia an architectural
17.359,3.68,pattern is a general
18.88,3.36,reusable solution to a commonly
21.039,3.281,occurring problem in
22.24,3.52,software architecture within a given
24.32,4.0,context
25.76,4.24,in this video i will briefly explain the
28.32,3.919,most important architectural
30.0,3.76,patterns used in the enterprise app
32.239,4.721,development today
33.76,5.68,pattern one layered pattern this is the
36.96,3.599,most common architecture pattern that is
39.44,4.56,also known as the
40.559,6.881,entire architecture here the software
44.0,6.32,is divided into units called layers
47.44,4.4,there are usually four tiers of layers
50.32,4.48,presentation layer
51.84,3.28,application layer business logic layer
54.8,3.599,and
55.12,4.56,data access layer each of the layers has
58.399,4.32,a specific role
59.68,4.96,and responsibility for example the
62.719,5.44,presentation layer is usually
64.64,5.44,responsible for handling user interface
68.159,4.32,among the advantages of the layered
70.08,5.12,pattern is that a lower layer can be
72.479,5.441,used by different higher layers
75.2,4.72,however this pattern performs poorly in
77.92,4.0,the high performance applications
79.92,4.0,because it is not efficient to go
81.92,3.76,through multiple layers to fulfill a
83.92,4.16,business request
85.68,4.88,the layered pattern is usually used in
88.08,5.6,building general desktop applications
90.56,5.199,as well as relatively simple web apps it
93.68,3.28,is a good choice for situations with a
95.759,4.241,very tight budget
96.96,6.24,and time constraints pattern 2
100.0,3.84,pipe filter pattern in many enterprise
103.2,2.959,apps
103.84,3.68,a single event triggers a sequence of
106.159,4.401,processing steps
107.52,3.919,each performing a specific function for
110.56,2.96,example
111.439,3.441,let's assume a new customer order
113.52,3.599,arrives
114.88,4.64,one requirement may be that the message
117.119,5.121,is encrypted to prevent eavesdroppers
119.52,4.48,from spying on a customer's order
122.24,3.04,a second requirement is that the
124.0,3.759,messages contain
125.28,4.319,authentication information in the form
127.759,4.241,of a digital certificate
129.599,4.401,to ensure that orders are placed only by
132.0,4.319,trusted customers
134.0,5.12,to meet these requirements we need to
136.319,5.28,transform a stream of complex messages
139.12,3.839,into a stream of unique simple plain
141.599,4.72,text order messages
142.959,5.441,without additional data fields the pipes
146.319,3.841,and filters architecture divides a
148.4,4.32,larger processing task
150.16,3.68,into a sequence of smaller independent
152.72,3.36,processing steps
153.84,3.039,or filters that are connected by
156.08,3.6,channels or
156.879,3.761,pipes the pattern is often used in
159.68,3.04,compilers
160.64,3.599,where the consecutive filters perform
162.72,4.32,lexical analysis
164.239,4.08,parsing semantic analysis and code
167.04,4.64,generation
168.319,5.521,pattern three client server pattern
171.68,4.48,in the client server architecture there
173.84,4.0,are two main components
176.16,3.52,the client which is the service
177.84,4.56,requester and the server
179.68,4.32,which is the service provider although
182.4,4.24,both client and server
184.0,5.04,may be located within the same system
186.64,4.08,they often communicate over a network on
189.04,3.919,separate hardware
190.72,4.159,the advantage of using the client server
192.959,3.92,pattern is an ease of modeling
194.879,3.601,a set of services where clients can
196.879,3.841,request them
198.48,4.399,among the disadvantages of this pattern
200.72,2.879,is that the server can be a performance
202.879,3.681,bottleneck
203.599,3.441,and a single point of failure on top of
206.56,2.239,that
207.04,4.24,decisions about where to locate
208.799,3.201,functionality in the client or in the
211.28,3.519,server
212.0,5.12,are often complex and costly to change
