second,duration,transcript
9.2,4.8,okay guys good morning okay so have
12.639,4.321,nothing for today
14.0,5.6,chapter 15 evaluation inspection
16.96,4.0,analytics and models
19.6,4.0,so aims
20.96,4.88,so describe the key concept i shaded
23.6,5.12,with the inspection methods
25.84,4.56,explain how to do heuristic evaluation
28.72,3.519,and walkthroughs
30.4,3.2,explain the role of analytics in
32.239,3.601,evaluation
33.6,6.08,describe house to you how to use speed
35.84,3.84,loss a predictive model
39.76,4.479,like so sometimes
41.36,4.64,it is not practical to involve user in
44.239,2.961,any evaluation because they are not
46.0,4.399,available
47.2,5.039,or there is insufficient time or it is
50.399,4.881,difficult to find people
52.239,6.96,so in such circumstances other people
55.28,5.68,often refer to us a expert or researcher
59.199,2.791,can provide feedback
60.96,2.079,these people are
61.99,2.809,[Music]
63.039,4.08,who are knowledgeable about both
64.799,4.561,interaction design and the needs and
67.119,4.641,typical behavior of user
69.36,5.28,various inspection methods for develop
71.76,5.44,alternatives to usability testing in the
74.64,4.799,early 1990s drawing on the software
77.2,4.48,engineering practice where code and
79.439,4.481,other type of inspection are commonly
81.68,2.24,used
84.159,5.041,the evaluation method described so far
86.88,3.84,in our previous lesson have involved
89.2,4.72,interaction
90.72,5.28,with or direct observation of user
93.92,4.72,so in this uh lesson we introduce
96.0,5.2,methods that are based on understanding
98.64,6.08,a user through knowledge codified in
101.2,6.879,heuristic or data collected remotely or
104.72,6.079,models that predict user performance so
108.079,5.121,none of this method required user to be
110.799,4.721,present during the evaluation
113.2,5.12,inspection methods typically involve an
115.52,4.32,expert role playing the user perform the
118.32,4.399,product's design
119.84,5.2,analyzing aspect of an interface and
122.719,6.16,identifying any potential usability
125.04,6.16,problem by using a set of guidelines
128.879,5.921,so the most well known are the heuristic
131.2,3.6,evaluation and the walkthroughs
134.879,4.881,analytics involved user interaction
137.2,4.8,lagging which usually done remotely so
139.76,5.36,predictive models involve analyzing the
142.0,5.2,various physical and mental operations
145.12,4.479,that are needed to perform a particular
147.2,6.0,task at the interface and operation
149.599,5.601,analyzing them as a quantitative measure
153.2,6.399,so one of the most commonly used
155.2,4.399,productivity model is the beats law
161.2,3.679,so heuristic evaluation
165.68,4.8,heuristic evaluation is a usability
168.0,7.04,inspection method that was
170.48,4.56,developed by nielsen and his colleague
175.2,4.0,and
176.319,6.0,later modified by other researchers or
179.2,5.92,evaluating specific types of system
182.319,6.321,so in heuristic evaluation expert guided
185.12,4.96,by a set of usability principle known as
188.64,3.12,a
190.08,3.04,heuristic
191.76,4.32,so
193.12,6.0,evaluate whether user interface elements
196.08,6.159,such as dialog box menus navigation
199.12,5.119,structure online health and so on
202.239,4.56,uh on point the tried and tested
204.239,5.36,principle so this heuristic closely
206.799,5.601,resemble high level design principle
209.599,5.36,sample making design consistent
212.4,5.839,reducing memory load and using terms
214.959,6.0,that user understand so the original
218.239,5.841,setup heuristic for atl evaluation was
220.959,5.121,developed by jacob nyonsen
224.08,6.32,and his colleague who derived the
226.08,7.76,apparently from the analysis of a 249
230.4,3.44,usability problem
236.08,5.76,so the vice version of nielsen regional
239.12,2.72,heuristic
242.319,5.2,first we have the visibility
244.959,5.28,of system status
247.519,5.041,so visibility of system status
250.239,3.441,the system should always keep user
252.56,3.519,informed
253.68,4.799,about what is going on through
256.079,3.68,appropriate feedback with reasonable
258.479,3.921,time
259.759,5.521,next we have um
262.4,6.079,match between system and the real world
265.28,5.44,so meaning um
268.479,5.841,the system should speak the user
270.72,6.479,language with words phrases and
274.32,5.04,concept familiar to the user rather than
277.199,4.641,system oriented terms
279.36,5.68,by the read word a convention making
281.84,5.359,information appear in a natural and a
285.04,3.599,logical order
287.199,4.481,then we have
288.639,5.84,user control and freedom
291.68,5.519,user control and freedom
294.479,5.361,users often choose system function by
297.199,5.121,mistake and will need a clearly marked
299.84,4.799,emergency exit to leave the unwanted
302.32,4.719,state without having to go through an
304.639,5.84,extended dialog box
307.039,7.041,example support of undo and
310.479,4.961,next we have the consistence consistency
314.08,3.44,and standard
315.44,4.64,so users should not have to wonder
317.52,4.56,whether different words situation or
320.08,4.16,action mean the same thing
322.08,6.08,uh
324.24,7.76,meaning follow the platform convention
328.16,3.84,then we have the error prevention
333.36,5.04,uh error prevention so even better than
335.84,4.639,good error message is a careful design
338.4,4.4,that prevent a problem from occurring in
340.479,4.72,the first place so either eliminate
342.8,3.6,error prone condition or
345.199,2.881,or check
346.4,4.72,more than a present user with a
348.08,5.2,confirmation option before they commit
351.12,5.6,to the action
353.28,6.72,then we have the recognition then recall
356.72,5.84,it means minimize the user memory load
360.0,3.68,by making objects action and option
362.56,3.28,visible
363.68,4.079,the user should not have to remember
365.84,3.68,information from one part of the
367.759,3.921,dialogue to another
369.52,5.679,instruction or use of system should be
371.68,5.519,visible or easily retrievable whether
375.199,4.481,whenever appropriate
377.199,5.361,then we have the flexibility and
379.68,5.84,efficiency of use
382.56,2.96,accelerators
385.6,3.599,so
386.4,5.2,unseen by the novice user may often
389.199,4.881,speed up the interaction for the expert
391.6,5.439,users such that the system can cater to
394.08,5.04,both inexperienced and experienced user
397.039,4.561,so meaning it allows users to tailor
399.12,3.6,frequent action
401.6,3.439,then
402.72,4.319,we have the aesthetic and
405.039,4.401,minimalist design
407.039,5.041,um
409.44,4.8,it means dialog box should not contain
412.08,5.36,information that is
414.24,6.72,irrelevant or rarely needed so every
417.44,5.84,extra unit of information in a dial.com
420.96,5.76,competes with the relevant units of
423.28,5.039,information and diminish their relative
426.72,4.0,visibility
428.319,6.241,next we have
430.72,4.8,help user recognize diagnose recover
434.56,3.52,from
435.52,2.56,errors
439.919,4.0,message should be
441.44,5.68,or error message should be expressed in
443.919,5.441,a plain language so meaning no codes so
447.12,6.639,precisely indicate the problem and
449.36,4.399,constructively suggest a solution
454.88,2.64,help
456.03,3.41,[Music]
457.52,4.72,help and documentation
459.44,4.879,so have an augmentation so even though
462.24,4.32,it is better if the system can be used
464.319,4.0,without documentation it may be
466.56,3.199,necessary to provide help and
468.319,3.761,augmentation
469.759,5.601,any such information should be easy to
472.08,5.6,search focus on the user tasks these
475.36,5.04,concrete steps to be carried out and not
477.68,3.84,to be too large before bleeding on
480.4,1.39,okay
481.52,1.84,so
481.79,2.77,[Music]
483.36,2.64,next
484.56,5.44,dial
486.0,5.039,so number of evaluators and wrap them
490.0,3.28,so
491.039,4.321,this heuristic uh
493.28,5.199,are intended to be used by judging
495.36,4.16,aspect of the interface against
498.479,3.361,them
499.52,5.359,for example uh if a new social
501.84,5.6,networking system is being evaluated
504.879,4.88,they the evaluator may consider how a
507.44,5.12,user would find find out how to add
509.759,4.72,brands to her network or to his network
512.56,4.399,so the evaluator is meant to go through
514.479,4.8,the interface several times inspecting
516.959,4.08,the barges interaction elements and
519.279,4.961,comparing them with the lease of
521.039,5.36,usability principle
524.24,3.84,for example heuristic
526.399,4.241,razor and each
528.08,5.84,iteration usability problem will be
530.64,6.24,identified other diagnosis will be
533.92,5.68,refined until
536.88,4.72,she or he is satisfied that the majority
539.6,5.2,of the
541.6,5.28,of the of them are clear
544.8,4.64,although many heuristics apply to the
546.88,5.12,most product example to be consistent
549.44,5.12,and provide meaningful feedback some of
552.0,5.6,the core heuristics are too general for
554.56,5.6,evaluating products that have come
557.6,4.96,come onto the market since nielsen and
560.16,4.48,mollich first develop the method
562.56,5.36,such as smartphones and other mobile
564.64,6.319,device digital toys online communities
567.92,5.359,ambient device and new web services
570.959,4.56,we also suggest developing categories
573.279,4.641,specific heuristics that apply the
575.519,4.561,specific class of prada as a supplement
577.92,4.72,to the general heuristic
580.08,4.319,evaluator and researcher
582.64,4.879,have therefore typically developed their
584.399,5.921,own heuristic by tailoring a nelson
587.519,4.481,heuristic with other design guidelines
590.32,4.24,market research and requirements
592.0,2.56,document
594.8,5.84,exactly with a heuristic are appropriate
598.48,5.039,and how many are needed for different
600.64,5.36,product is the debatable and depends on
603.519,4.961,the goals of the evaluation but most
606.0,5.279,sets of heuristics have been
608.48,4.72,have between 5 and 10 items
611.279,4.721,so this number provides a good range of
613.2,5.6,usability criteria by which to judge the
616.0,4.32,various aspect of the interface
