second,duration,transcript
12.78,6.18,all right well welcome to cs224 I
16.02,4.919,recognize most of your faces from cs223
18.96,3.659,thank you for coming to the class on the
20.939,3.0,first day uh we'll do an introduction
22.619,3.121,today a little bit about the
23.939,3.361,administration of the course
25.74,4.199,um and then we'll start the lesson with
27.3,4.26,the material from chapter one usually
29.939,3.12,chapter one is an introduction to the
31.56,4.2,whole topic that's what it's going to be
33.059,4.221,here today so I can say that it's a good
35.76,4.38,uh
37.28,4.54,you know overview of the material it's
40.14,3.66,not necessarily going to be on the exam
41.82,3.66,and there will be a simple homework
43.8,3.96,probably from chapter one but it's not
45.48,5.099,hard it's more to help you get a
47.76,3.9,engineer's perspective about computers
50.579,2.581,um
51.66,4.02,so while we're waiting
53.16,4.559,um I guess I'll introduce myself I'm
55.68,4.08,will Sawyer I've taught at bill can for
57.719,3.48,10 years I'm an American I do speak
59.76,3.54,Turkish but I'm not allowed to in the
61.199,4.441,classroom as you know please don't try
63.3,4.92,to get me to tell Turkish jokes and be
65.64,5.4,funny most of the recent students laugh
68.22,4.68,is not because my Turkish is funny it's
71.04,4.2,because me speaking Turkish I speak it
72.9,7.2,in a funny way so it's not do all of
75.24,6.78,course but anyway I think if you uh tune
80.1,3.659,into my English it is a little bit fast
82.02,4.38,it's natural speed but if you tune into
83.759,4.141,my English you'll get the tempo if
86.4,3.48,you're having trouble understanding my
87.9,3.48,language do raise your hand and say Hojo
89.88,3.599,can you please say it again or slow down
91.38,3.84,hold you or repeat it a different way
93.479,3.361,I'm happy to do that the goal here is
95.22,4.079,for you to understand it's not for me to
96.84,4.44,get up here and run through you know 50
99.299,4.32,slides and give a good performance it's
101.28,4.379,for you to learn the goal of being here
103.619,3.36,is for you to learn so I'm here to
105.659,3.42,assist that learning they call me a
106.979,5.1,teacher but I don't think that I teach
109.079,4.561,so much as I think you learn so I'm the
112.079,3.661,help with the learning process that's my
113.64,3.96,job
115.74,4.26,we're going to use PowerPoint slides
117.6,3.9,quite a bit in this course but there'll
120.0,3.42,be times when we do some other things as
121.5,5.219,well but the opening lecture today will
123.42,4.979,be pretty much from the slides I'd like
126.719,3.24,to get a class discussion going I'd like
128.399,5.521,to ask questions but I've had a hard
129.959,6.061,time finding students responding so when
133.92,3.72,there's that awkward silence and hoja
136.02,3.24,asks a question please don't be afraid
137.64,3.12,to be the first one raise your hand and
139.26,2.76,say yeah I think this maybe it's wrong
140.76,3.3,maybe it's right but here's my opinion
142.02,4.079,here's my idea I'll really appreciate
144.06,4.86,that that's what we'd like as a dialogue
146.099,4.201,and for you to be thinking I've said it
148.92,3.539,many times before but I'll say it again
150.3,3.9,because it Bears worth saying you can
152.459,3.661,watch a lot of movies and not learn
154.2,4.2,anything about how to make movies and so
156.12,3.839,if you're here to watch a course go by
158.4,3.72,you're probably not going to learn very
159.959,3.661,much about computer organization but if
162.12,3.479,you're participating as an active
163.62,6.36,learner I'm sure that you'll learn much
165.599,6.901,more so that's the own says
169.98,5.78,let's see if we can find our PowerPoint
172.5,3.26,slides and begin
177.84,3.66,okay I think everybody knows but if you
179.76,3.839,go to the course homepages on our
181.5,4.739,Department's site you see every single
183.599,7.22,course and this is cs224 so here's the
186.239,8.161,home page for cs224 for this semester
190.819,4.721,like the homepage for 223 the recent
194.4,2.88,announcements will be found here
195.54,3.66,anything that's important let's go see
197.28,3.36,if there's anything important to learn
199.2,5.22,oh my goodness there's already
200.64,5.519,announcements oh boy it has begun the
204.42,3.84,syllabus shows the readings for each
206.159,4.561,week and there's already an assignment
208.26,3.96,to read chapter one and follow along it
210.72,3.84,supplements the introduction that I'll
212.22,4.26,be giving in class and to be prepared
214.56,4.02,for each week you should do the reading
216.48,3.72,in advance of the class next week we'll
218.58,3.9,move into chapter two about Assembly
220.2,4.74,Language so it should read ahead and the
222.48,5.179,textbook for the course is this one the
224.94,4.799,computer organization and design book by
227.659,4.0,Patterson and Hennessey it's in the
229.739,3.78,fourth edition whenever you get a book
231.659,3.78,that's in the fourth fifth sixth seventh
233.519,3.841,edition that tells you that it's quite
235.439,3.3,popular around the world as a textbook
237.36,3.959,this is international student Edition
238.739,4.92,very reasonably priced top quality top
241.319,4.14,shelf best in best in class as far as
243.659,4.321,I'm concerned so we've picked a good one
