second,duration,transcript
3.12,2.48,"Hi, I'm Carrie Anne, and welcome to Crash
Course Computer Science!"
5.61,4.38,"Last episode, we discussed a few example classic
algorithms, like sorting a list of numbers"
9.99,1.9,and finding the shortest path in a graph.
11.89,4.29,"What we didn’t talk much about, is how the
data the algorithms ran on was stored in computer"
16.18,0.64,memory.
16.82,3.12,"You don’t want your data to be like John
Green’s college dorm room, with food, clothing"
19.95,1.43,and papers strewn everywhere.
21.38,3.98,"Instead, we want our data to be structured,
so that it’s organized, allowing things"
25.36,1.72,to be easily retrieved and read.
27.08,2.58,"For this, computer scientists use Data Structures!"
29.8,9.24,INTRO
39.04,4.609,"We already introduced one basic data structure
last episode, Arrays, also called lists or"
43.649,1.691,Vectors in some languages.
45.34,1.86,These are a series of values stored in memory.
47.21,4.15,"So instead of just a single value being saved
into a variable, like ‘j equals 5’, we"
51.379,3.961,"can define a whole series of numbers, and
save that into an array variable."
55.34,4.309,"To be able to find a particular value in this
array, we have to specify an index."
59.649,4.381,"Almost all programing languages start arrays
at index 0, and use a square bracket syntax"
64.03,1.289,to denote array access.
65.319,4.761,"So, for example, if we want to add the values
in the first and third spots of our array"
70.08,4.289,"‘j’, and save that into a variable ‘a’,
we would write a line of code like this."
74.369,1.971,"How an array is stored in memory is pretty
straightforward."
76.34,5.24,"For simplicity, let’s say that the compiler
chose to store ours at memory location 1,000."
81.58,4.88,"The array contains 7 numbers, and these are stored one after another in memory, as seen here."
86.58,5.2,"So when we write “j index of 0”, the computer
goes to memory location 1,000, with an offset"
91.789,2.11,"of 0, and we get the value 5."
93.899,4.53,"If we wanted to retrieve “j index of 5”,
our program goes to memory location 1000,"
98.429,3.69,"plus an offset of 5, which in this case, holds
a value of 4."
102.119,3.11,"It’s easy to confuse the fifth number in
the array with the number at index 5."
105.229,1.481,They are not the same.
106.71,3.719,"Remember, the number at index 5 is the 6th
number in the array because the first number"
110.429,1.171,is at index 0.
111.6,4.26,"Arrays are extremely versatile data structures,
used all the time, and so there are many functions"
115.86,1.96,that can handle them to do useful things.
117.82,3.669,"For example, pretty much every programming
language comes with a built-in sort function,"
121.489,2.751,"where you just pass in your array, and it
comes back sorted."
124.24,2.58,"So there’s no need to write that algorithm
from scratch."
126.82,4.56,"Very closely related are Strings, which are
just arrays of characters, like letters, numbers,"
131.38,2.23,punctuation and other written symbols.
133.61,3.29,"We talked about how computers store characters
way back in Episode 4."
136.9,3.76,"Most often, to save a string into memory,
you just put it in quotes, like so."
140.66,2.35,"Although it doesn’t look like an array,
it is."
143.01,1.839,"Behind the scenes, the memory looks like this."
144.849,2.761,Note that the string ends with a zero in memory.
147.61,3.489,"It’s not the character zero, but the binary
value 0."
151.099,3.86,"This is called the null character, and denotes
the end of the string in memory."
154.959,3.5,"This is important because if I call a function
like “print quote”, which writes the string"
158.459,4.0,"to the screen, it prints out each character
in turn starting at the first memory location,"
162.459,2.25,but it needs to know when to stop!
164.709,3.221,"Otherwise, it would print out every single
thing in memory as text."
167.93,3.04,The zero tells string functions when to stop.
170.97,3.2,"Because computers work with text so often,
there are many functions that specifically"
174.17,1.0,handle strings.
175.17,4.689,"For example, many programming languages have
a string concatenation function, or “strcat”,"
179.859,3.531,"which takes in two strings, and copies the
second one to the end of the first."
183.39,3.92,"We can use arrays for making one dimensional
lists, but sometimes you want to manipulate"
187.31,3.83,"data that is two dimensional, like a grid
of numbers in a spreadsheet, or the pixels"
191.14,1.209,on your computer screen.
192.349,1.961,"For this, we need a Matrix."
194.31,2.7,You can think of a Matrix as an array of arrays!
197.01,4.88,"So a 3 by 3 matrix is really 2 an array of
size 3, with each index storing an array of"
201.89,1.12,size 3.
203.01,1.879,We can initialize a matrix like so.
204.889,2.661,"In memory, this is packed together in order
like this."
207.55,4.67,"To access a value, you need to specify two
indexes, like “J index of 2, then index"
212.24,5.16,"of 1” - this tells the computer you’re
looking for the item in subarray 2 at position 1."
217.4,1.6,And this would give us the value 12.
219.01,3.97,"The cool thing about matrices is we’re not
limited to 3 by 3 -- we can make them any"
222.99,3.71,"size we want -- and we can also make them
any number of dimensions we want."
226.7,3.599,"For example, we can create a five dimensional
matrix and access it like this."
230.299,4.5,"That’s right, you now know how to access
a five dimensional matrix -- tell your friends!"
234.799,4.431,"So far, we’ve been storing individual numbers
or letters into our arrays or matrices."
239.23,3.06,"But often it’s useful to store a block of
related variables together."
242.29,3.61,"Like, you might want to store a bank account
number along with its balance."
245.9,3.41,"Groups of variables like these can be bundled
together into a Struct."
249.31,3.52,"Now we can create variables that aren’t
just single numbers, but are compound data"
252.83,3.379,"structures, able to store several pieces of
data at once."
256.209,3.93,"We can even make arrays of structs that we
define, which are automatically bundled together"
260.139,1.0,in memory.
261.139,4.611,"If we access, for example, J index of 0, we
get back the whole struct stored there, and"
265.75,3.06,"we can pull the specific account number and
balance data we want."
268.81,3.69,"This array of structs, like any other array,
gets created at a fixed size that can’t"
272.5,1.76,be enlarged to add more items.
274.26,4.6,"Also, arrays must be stored in order in memory,
making it hard to add a new item to the middle."
278.87,3.97,"But, the struct data structure can be used
for building more complicated data structures"
282.84,1.34,that avoid these restrictions.
284.18,2.38,"Let’s take a look at this struct that’s
called a “node”."
286.56,3.06,"It stores a variable, like a number, and also
a pointer."
289.62,4.16,"A pointer is a special variable that points,
hence the name, to a location in memory."
293.78,4.18,"Using this struct, we can create a linked
list, which is a flexible data structure that"
297.98,1.3,can store many nodes.
299.28,3.38,"It does this by having each node point to
the next node in the list."
302.66,6.82,"Let’s imagine we have three node structs
saved in memory, at locations 1000, 1002 and 1008."
