second,duration,transcript
0.342,2.042,Hello friends! Welcome to Gate Smashers!
2.384,3.497,"In this video, we are going to discuss neural networks."
5.881,4.086,Neural networks is one of the most important topics in artificial intelligence.
9.967,3.67,This is important because most of the research...
13.637,3.629,This is one of the most preferable topics in the research area.
17.266,2.356,"Secondly, there are so many applications"
19.622,2.509,that we use on a daily basis.
22.131,3.492,And the neural network is somehow working under them.
25.623,2.478,"For example, Google Translate and Google Assistant."
28.101,4.064,Neural network plays a vital role in them.
32.165,5.999,"I have written the name of the topic as
'Neural networks --> Artificial neural networks'."
38.164,2.581,Let's start with neural networks.
40.745,1.812,What are neural networks?
42.557,2.374,The word 'neural' is referred to neurons.
44.931,5.049,"And 'network' means, obviously, the neurons are connected to each other."
49.98,1.429,"For example, the internet."
51.409,5.211,"On the internet, all the PCs, mobiles, and all these are interconnected."
56.62,1.802,And what do they actually do?
58.422,2.694,"Sharing of information.
Sharing of data."
61.116,1.919,We are doing the same here.
63.035,2.296,The neurons inside the human brain...
65.331,2.028,We are talking about the human brain.
67.359,4.676,"Inside the human brain, there are gazillions of neurons."
72.035,1.989,There is a very high number of neurons.
74.024,3.882,All those neurons are interconnected with a network.
77.906,7.369,"That connectivity helps them flow information and data and process it,"
85.275,2.842,and in parallel processing.
88.117,5.261,"And obviously, they pass the data in very less time"
93.378,2.564,and generate the output.
95.942,3.311,"In the same human brain that works like this,"
99.253,7.244,learning algorithms play a vital role in the human brain.
106.497,5.212,The human brain can learn from experiences and train data in itself.
111.709,8.291,The capacity of training and learning makes the human brain a very important organ.
120.0,2.516,What we are doing here is that
122.516,4.71,we want to build machines in the artificial neural network.
127.226,9.183,We want to implement the same thing as how the human brain works.
136.409,2.882,We call it an artificial neural network.
139.291,3.968,"Obviously, there will be no biological neurons like our brains."
143.259,3.743,But there will be artificial neurons.
147.002,5.535,Those will be connected through a network as the neurons in our brains are connected.
152.537,3.868,"They will also learn, train the data,"
156.405,4.144,"and obviously, try to generate better output."
160.549,5.078,The basic aim of neural networks in artificial intelligence...
165.627,4.476,"If anybody asks you what a neural network is, and what its basic aim is,"
170.103,5.478,its main aim is to copy the human brain as it is in the machines
175.581,2.515,and make them learn from their experience.
178.096,2.814,We are implementing the same thing here.
180.91,2.169,I want to tell you the next point
183.079,6.179,"that we already have computers, supercomputers, and high-computational devices available"
189.258,1.741,"which can do parallel processing,"
190.999,4.162,then how are they different from neural networks.
195.161,2.588,I want to explain it to you with a simple example.
197.749,3.016,"The computers that are already available to us,"
200.765,3.564,"if we check 8 raised to the power 8 in that,"
204.329,3.759,it will generate the output in very less time.
208.088,5.894,But the human brain will definitely take some extra time to calculate this.
213.982,3.262,The human brain is a little less efficient.
217.244,5.279,"But, from the point of view of computation and calculations,"
222.523,4.231,the computers are performing so well.
226.754,5.492,What are the areas where normal computers will not perform well?
232.246,2.402,I want to explain it to you with a simple example.
234.648,2.194,"Let's say, it's your first day at the office."
236.842,2.962,You met so many people there.
239.804,4.974,You recognized their faces.
244.778,2.691,"When you will again go to the office the next day,"
247.469,6.493,your brain will detect and recognize those faces.
253.962,6.778,So many people may have shaved or trimmed.
260.74,3.22,Their appearance may have been changed a little.
263.96,3.231,But you will recognize them.
267.191,2.866,The human brain learns and trains.
270.057,6.53,"If we want to do the same thing on a normal computer, it will have to do all the scanning."
