second,duration,transcript
0.0,4.62,what is human computer interaction and
2.76,4.019,honestly it's a great question because
4.62,5.1,just the name human computer interaction
6.779,4.981,is kind of weird and very vague and
9.72,3.9,actually the degree in general is pretty
11.76,4.5,vague so what is a human computer
13.62,4.739,interaction degree and is it worth it
16.26,4.38,and do the costs outweigh the value my
18.359,4.441,name is Sasha C I'm actually a ux
20.64,4.5,designer so I am actually currently in
22.8,4.44,the field getting a masters at DePaul
25.14,3.899,University in human computer interaction
27.24,4.199,and I want to tell you guys a little bit
29.039,4.561,about what exactly it is what to expect
31.439,4.501,and if it's actually worth it so people
33.6,4.979,are fascinated including myself by the
35.94,4.5,connection of computers and people now
38.579,3.841,there are several different fields of
40.44,4.56,study that are growing dedicated to
42.42,4.92,algorithms and studies and research just
45.0,5.16,based on ways on how technology can help
47.34,4.5,improve people's everyday lives so what
50.16,3.66,exactly is human computer interaction
51.84,3.6,what do these weird words even mean so
53.82,3.36,I'm actually just going to read a
55.44,3.72,complete definition and then just kind
57.18,4.68,of give my own definition so human
59.16,6.02,computer action is an area of study that
61.86,3.32,involves better understanding
68.88,4.739,so now
70.38,5.099,muskription of what HCI is so HCI is a
73.619,4.561,really broad term and it's really just
75.479,4.32,the development and research of ways you
78.18,3.299,can improve people's lives through
79.799,3.421,technology that's the best way that I
81.479,2.881,can really describe it you have to like
83.22,3.06,kind of understand that you're
84.36,4.68,incorporating so many different things
86.28,4.56,you're considering the user the business
89.04,3.6,behind whatever you're making so you
90.84,3.0,have to understand what the goal is for
92.64,3.479,whatever you're making are you trying to
93.84,3.84,make money are you trying to educate are
96.119,2.941,you trying to entertain and then you
97.68,3.42,also have to work with what's actually
99.06,3.599,functionally possible such as like
101.1,3.3,developers if you're like putting
102.659,3.361,together this prototype and you give it
104.4,4.14,to a developer and they're like yo I
106.02,5.52,can't do this it won't work there are so
108.54,5.1,many different jobs in that field it is
111.54,4.38,kind of crazy so specifically just for
113.64,5.519,example I'm a ux designer this is really
115.92,5.879,just the idea that I design systems that
119.159,4.561,improve either businesses or people's
121.799,3.301,lives every single day so personally a
123.72,3.359,lot of the clients that I work with are
125.1,3.18,actually business related so a lot of
127.079,2.82,the things that I'm working on are
128.28,3.92,technologies that can help improve
129.899,5.581,business functions and business value
132.2,6.1,there are research scientists where
135.48,5.04,literally like apple or Microsoft will
138.3,4.74,hire you to literally just do simple
