second,duration,transcript
0.0,3.84,hello and welcome to pseudocode this
1.68,5.04,video onwards we are going to start our
3.84,5.12,journey of design patterns and before i
6.72,3.76,go into the details of types of design
8.96,3.679,patterns and we start looking at
10.48,4.159,different class diagrams and code let's
12.639,4.48,first try to understand
14.639,4.881,why there are design patterns why do we
17.119,5.361,study them what is the use of design
19.52,5.28,patterns why are they so popular and
22.48,6.84,what actually every design pattern
24.8,4.52,entails so let's get started
36.88,3.92,even though there are different
38.8,4.72,techniques for object oriented modeling
40.8,3.759,like uml diagrams concept of classes and
43.52,2.64,objects
44.559,3.361,and there are different principles like
46.16,3.28,solid principles which we have discussed
47.92,3.2,if you have not watched those videos
49.44,3.279,please go and check them out even though
51.12,3.439,these principles exist even though there
52.719,4.241,are so many guidelines and techniques
54.559,4.32,still it is not possible to model the
56.96,3.919,real world in terms of objects and
58.879,4.32,classes there are some problems which
60.879,4.161,cannot actually directly be modeled
63.199,3.761,there are also some scenarios which do
65.04,3.6,not exist in real world but have to be
66.96,3.92,solved in code
68.64,4.88,in those cases there are different set
70.88,4.48,of problems that occur and there are
73.52,3.52,certain solutions to those problems
75.36,4.0,which have been solved in different
77.04,4.8,complex object-oriented problems such
79.36,5.119,problems occur in the world of
81.84,4.639,object-oriented software design
84.479,3.68,over and over again and there are some
86.479,4.161,solutions in order to solve those
88.159,4.561,problems and those solutions are very
90.64,4.479,definite so since we do not have to
92.72,4.399,reinvent the wheel and since all those
95.119,4.0,problems have been faced by expert
97.119,3.601,designers and software developers
99.119,3.521,previously they have come up with
100.72,3.28,different patterns using which they have
102.64,3.6,solved those problems and those
104.0,4.079,solutions have been robust over time
106.24,4.08,they have proven their worth over time
108.079,3.921,and hence we study these design patterns
110.32,4.799,using these design patterns we can
112.0,5.2,actually solve the complex and classic
115.119,4.561,problems in software world
117.2,4.08,and we don't have to go looking for new
119.68,3.28,solutions because these are tried and
121.28,4.159,tested solutions tried and tested
122.96,4.479,patterns which have been used and have
125.439,3.921,proven their worth over time
127.439,3.6,if i have to pick up the definition of a
129.36,3.36,design pattern from a book which i have
131.039,3.121,linked in the description the definition
132.72,3.599,of design pattern goes something like
134.16,5.12,this each pattern describes a problem
136.319,5.441,that occurs over and over multiple times
139.28,4.4,in our environment and core of the
141.76,4.16,solution to that problem that that you
143.68,4.559,can use a million times without ever
145.92,4.64,doing it same way twice
148.239,4.08,now what does this mean this means that
150.56,4.959,every pattern that we are going to study
152.319,5.28,is going to describe a problem
155.519,3.841,and the solution the core part of the
157.599,3.92,solution to that problem using that
159.36,4.959,pattern but the implementation of that
161.519,4.561,pattern by you or by someone else for
164.319,3.681,that similar kind of problem is not
166.08,3.6,going to be the same you will use that
168.0,3.68,pattern because as the name itself
169.68,3.68,suggest it's a pattern it's a template
171.68,3.52,you're going to use that pattern you're
173.36,4.159,going to use that pattern to identify
175.2,3.92,the problem to identify the core way of
