second,duration,transcript
0.0,3.6,hey guys how's it going so today i want
1.76,3.519,to share a few books with you that i
3.6,3.36,think will help you get better at data
5.279,3.28,structures and algorithms these books
6.96,3.759,are not only useful if you're trying to
8.559,2.96,learn data structures and algorithms for
10.719,2.96,your school
11.519,3.521,or your day-to-day work as a software
13.679,3.201,engineer but also with
15.04,16.8,technical interviews in mind so without
16.88,14.96,further ado let's begin
32.079,3.921,before you begin if you're new here i
34.079,2.801,make videos on software engineering
36.0,2.32,productivity
36.88,3.04,technical interviews and that kind of
38.32,2.8,stuff and if you're into similar things
39.92,2.959,please subscribe and hit the
41.12,3.04,notification bell icon so that you don't
42.879,2.881,miss any new videos
44.16,3.52,all right let's begin so the first book
45.76,4.319,i recommend is this little guy
47.68,4.719,called computer science distilled i came
50.079,2.96,across this book probably a year ago and
52.399,2.8,i think
53.039,4.321,it's an amazing book just to get your
55.199,3.2,head around all the topics that exist in
57.36,2.64,computer science
58.399,2.8,just by looking at the size of the book
60.0,2.64,you'll probably guess that this is
61.199,4.0,probably not an exhaustive
62.64,4.4,list or a detailed explanation of the
65.199,3.201,material but i think it's an amazing
67.04,3.04,starting point that will at least get
68.4,4.0,you familiar with the topics that
70.08,4.24,exist in the space it briefly touches
72.4,3.44,all the topics that you need to learn
74.32,2.88,in order to be good at data structures
75.84,2.88,and algorithms especially for your
77.2,3.2,technical interviews it's also very
78.72,3.92,light-hearted and has a good sense of
80.4,3.28,humor so it's not very dense to read so
82.64,2.64,even if you are just
83.68,3.04,a beginner software engineer or you just
85.28,3.12,started taking classes or you're
86.72,3.92,switching from a different field this is
88.4,3.52,a really nice and easy read to get
90.64,2.64,started so this book is pretty
91.92,4.239,interesting it covers
93.28,4.24,your basics like ideas logic counting
96.159,2.881,probability that you'll need as
97.52,4.4,foundations before even starting
99.04,4.16,algorithms it also has the introduction
101.92,3.36,to your big on notation
103.2,4.4,counting time and how things get slower
105.28,3.119,or faster as your data size increases
107.6,2.72,then it has
108.399,4.4,the strategy section that will cover
110.32,4.64,like iteration recursion backtracking
112.799,3.761,dynamic programming again i can't stress
114.96,3.68,enough that this is just
116.56,3.599,an introduction to all these topics i
118.64,3.2,mean some of these topics are huge like
120.159,3.28,dynamic programming and they cover that
121.84,3.68,in three pages like there's no way but
123.439,4.32,the goal of this book isn't to make you
125.52,3.92,an expert on any of this topic it's
127.759,4.321,basically to help you sort of
129.44,4.24,build the dictionary of topics in your
132.08,2.799,head let's look at an example of what i
133.68,3.12,mean right like there's a section here
134.879,3.521,that talks about hash table it says the
136.8,3.76,hash table is a data structure that
138.4,3.68,allows finding items in constant time
140.56,2.8,searching for an item takes constant
142.08,3.44,amount of time whether you're searching
143.36,3.84,among 10 million or just 10 items
145.52,3.68,okay you get the rough idea you don't
147.2,3.039,know in depth about what a hash table is
149.2,3.119,but it looks like
150.239,3.761,it is pretty efficient and it stores
152.319,3.681,things and you can retrieve them
154.0,3.519,in constant time by now if you've
156.0,2.959,followed this book you've probably read
157.519,2.881,the bigger notation so you kind of have
158.959,3.841,a rough idea about what
160.4,4.16,constant time means so that's cool
162.8,3.68,similarly to the array the hash
164.56,3.679,requires pre-allocating a big chunk of
166.48,3.759,sequential memory to store data
168.239,3.681,okay but unlike the array the items are
170.239,4.321,not stored in ordered sequence
171.92,3.76,the position of an item occupies is
174.56,3.52,magically given
175.68,4.639,by a hash function so this is what i
178.08,2.799,mean this book introduces the topic to
180.319,2.321,you but
180.879,4.08,there are some of the harder topic like
182.64,4.56,how the lookup is constant time or
184.959,3.28,how the hash table gives you such
187.2,3.36,performance
188.239,4.241,is sort of magic right it's not going to
190.56,3.28,explain you in depth how a hash table
192.48,3.36,works but i think it gives
193.84,3.2,a great introduction just one page so
195.84,3.36,that you kind of get
197.04,4.08,a very high level and basic
199.2,2.56,understanding of what a hash table is
201.12,2.399,and this is
201.76,3.199,very similar with everything else it's
203.519,3.28,like there's a section in graph we've
204.959,3.601,seen graphs are the flexible data
206.799,3.52,structure that use nodes and edges to
208.56,3.679,store information they're widely used to
210.319,4.721,represent data like social networks
212.239,4.56,nodes are people edges are friendship
215.04,4.24,relationships telephone networks
216.799,4.08,nodes are telephones and stations edges
219.28,3.44,are communications and much more
220.879,3.44,that's it and then the next topic goes
222.72,3.68,for searching in-depth searching
224.319,4.0,in graph via depth research we keep
226.4,3.68,following edges going deeper and deeper
228.319,3.28,and then they illustrate that via a nice
230.08,3.04,graph again to illustrate my point you
231.599,3.36,get the idea but you're not going to get
233.12,2.64,a full understanding final comment on
234.959,3.761,this book is
235.76,3.44,just the size itself it's so nice and
238.72,2.96,light
239.2,3.599,and compact easy to carry around then
241.68,1.839,you can literally throw it in your
242.799,2.241,backpack
243.519,3.44,especially if you're a student and when
245.04,3.36,you get your free time or break you just
246.959,3.28,pull it out read it or if you're
248.4,2.64,traveling probably not right now during
250.239,2.321,covet but
251.04,3.279,you know regular travel you can just
252.56,3.679,carry it with you you know just refresh
254.319,4.081,some topics you know it almost makes a
256.239,4.24,very serious topic like data structures
258.4,4.32,and algorithms kind of fun with little
260.479,3.761,colorful diagrams and just the size of
262.72,3.199,the book so highly recommend it
264.24,3.44,especially for beginners so once you've
265.919,2.081,graduated from that book you want to go
267.68,3.12,ahead and
268.0,3.28,get this book called rocking algorithms
270.8,3.52,this
271.28,6.16,book also follows a very similar pattern
274.32,5.28,of being very lighthearted funny lots of
277.44,4.64,diagrams to illustrate the point
279.6,3.68,but goes in more depth compared to that
282.08,3.36,book so once you've
283.28,4.32,read that book and you've sort of have a
285.44,3.759,vocabulary of words you've learned that
287.6,3.36,there's thing called hash tables that
289.199,3.121,exist you've learned that there's graphs
290.96,4.0,and how they represent
292.32,4.48,relationship between things and you can
294.96,3.679,search through them via depth
296.8,3.44,first or breadth first and you can do
298.639,2.961,certain algorithms on them but you have
300.24,2.72,no clue how to do them right like
301.6,3.2,that book doesn't give you any
302.96,2.64,algorithms like actual pseudo code or
304.8,3.839,any code
305.6,5.84,it's just an understanding and overview
308.639,4.081,this is very similar but it goes into a
