second,duration,transcript
0.08,2.96,let's say that you are designing a
1.28,3.999,marketplace for your website selling
3.04,4.16,firearms is prohibited by your website's
5.279,4.081,terms of service agreement not to
7.2,3.84,mention the laws of your country to this
9.36,3.52,end you want to create a system that can
11.04,3.679,automatically detect if a listing on the
12.88,3.68,marketplace is selling a gun how would
14.719,3.681,you go about doing this yeah it's a
16.56,3.52,interesting question i'm curious about a
18.4,3.44,few things here first i guess one thing
20.08,3.6,i'm wondering about is like how if i was
21.84,3.519,given this task like how is this working
23.68,3.599,in kind of production you know the task
25.359,3.441,is to automatically identify the
27.279,3.601,listings what happens with those
28.8,4.88,identifications do they go to a human
30.88,5.04,who checks it or is it like immediately
33.68,4.24,changes the website yeah so let's say
35.92,4.479,that the current setup is that it's all
37.92,5.76,crowd source so let's say we have a flag
40.399,5.761,and then a user can flag the listing if
43.68,4.559,they see it's a gun or maybe someone who
46.16,4.079,works in terms of like moderating the
48.239,4.561,marketplace can also flag it and then
50.239,3.84,it'll go to another internal let's say
52.8,3.2,someone who works in customer support
54.079,3.281,that can then remove the listing if they
56.0,2.879,determine it as a gun and that's the
57.36,3.6,only thing that kind of happens right
58.879,3.601,now okay and then how would this fit in
60.96,3.12,is the end of the line always going to
62.48,3.12,be customer service or how would this
64.08,3.76,fit in that pipeline you think so i
65.6,4.24,guess reframe the question back to you
67.84,4.319,but let's say that
69.84,5.279,this is the current system right and i
72.159,6.64,guess given the kind of context would
75.119,5.841,you think that the goal is to first
78.799,4.081,disable it when they're posting do you
80.96,3.76,think we should be like detecting it
82.88,3.919,afterwards after a few days and then
84.72,3.039,sending it to customer support what part
86.799,2.881,do you think
87.759,2.961,yeah so i guess yeah the reason i was
89.68,3.28,asking that question i guess i could
90.72,4.96,have said that too because if if
92.96,4.56,customer service is is going to look at
95.68,3.36,it afterwards which i think would
97.52,3.76,probably be the better way to go to
99.04,4.24,start but if they're doing it that way
101.28,4.08,then that means that i really need to do
103.28,5.68,a very good job of detecting all the
105.36,5.759,possible firearm listings it's bad if i
108.96,4.24,miss something that is a firearm but i
111.119,4.0,miss it because at the end the customer
113.2,4.239,service is going to look at it and so
115.119,3.921,i'm assuming it'll be okay it might cost
117.439,4.0,some money but it's probably going to be
