second,duration,transcript
0.0,1.125,GWENDOLYN STRIPLING: Hello.
1.125,2.894,"And welcome to Introduction
to Generative AI."
4.019,2.671,"My name is Dr.
Gwendolyn Stripling."
6.69,2.85,"And I am the
artificial intelligence"
9.54,5.08,"technical curriculum developer
here at Google Cloud."
14.62,3.87,"In this course, you learn
to define generative AI,"
18.49,4.59,"explain how generative AI works,
describe generative AI model"
23.08,5.31,"types, and describe
generative AI applications."
28.39,3.57,"Generative AI is a type
of artificial intelligence"
31.96,4.21,"technology that can produce
various types of content,"
36.17,4.88,"including text, imagery,
audio, and synthetic data."
41.05,3.04,"But what is artificial
intelligence?"
44.09,1.94,"Well, since we are
going to explore"
46.03,2.53,"generative artificial
intelligence,"
48.56,2.57,let's provide a bit of context.
51.13,2.01,"So two very common
questions asked"
53.14,2.67,"are what is artificial
intelligence"
55.81,4.41,"and what is the difference
between AI and machine"
60.22,1.26,learning.
61.48,4.38,"One way to think about it
is that AI is a discipline,"
65.86,2.43,like physics for example.
68.29,2.94,"AI is a branch of
computer science"
71.23,3.78,"that deals with the creation
of intelligence agents, which"
75.01,5.54,"are systems that can reason,
and learn, and act autonomously."
80.55,4.14,"Essentially, AI has to do
with the theory and methods"
84.69,5.5,"to build machines that
think and act like humans."
90.19,2.83,"In this discipline, we
have machine learning,"
93.02,2.57,which is a subfield of AI.
95.59,4.62,"It is a program or system that
trains a model from input data."
100.21,2.61,"That trained model can
make useful predictions"
102.82,3.06,"from new or never
before seen data"
105.88,4.08,"drawn from the same one
used to train the model."
109.96,1.98,"Machine learning
gives the computer"
111.94,4.53,"the ability to learn without
explicit programming."
116.47,2.97,"Two of the most common classes
of machine learning models"
119.44,4.35,"are unsupervised and
supervised ML models."
123.79,1.95,"The key difference
between the two"
125.74,3.929,"is that, with supervised
models, we have labels."
129.669,5.011,"Labeled data is data that comes
with a tag like a name, a type,"
134.68,1.56,or a number.
136.24,4.39,"Unlabeled data is data
that comes with no tag."
140.63,2.76,"This graph is an
example of the problem"
143.39,2.82,"that a supervised model
might try to solve."
146.21,3.57,"For example, let's say you
are the owner of a restaurant."
149.78,2.59,"You have historical
data of the bill amount"
152.37,3.77,"and how much different people
tipped based on order type"
156.14,3.36,"and whether it was
picked up or delivered."
159.5,3.48,"In supervised learning, the
model learns from past examples"
162.98,4.26,"to predict future values,
in this case tips."
167.24,2.73,"So here the model uses
the total bill amount"
169.97,4.26,"to predict the future tip amount
based on whether an order was"
174.23,2.79,picked up or delivered.
177.02,1.82,"This is an example
of the problem"
178.84,3.49,"that an unsupervised
model might try to solve."
182.33,2.75,"So here you want to look
at tenure and income"
185.08,2.97,"and then group or
cluster employees"
188.05,3.12,"to see whether someone
is on the fast track."
191.17,3.36,"Unsupervised problems
are all about discovery,"
194.53,4.41,"about looking at the raw data
and seeing if it naturally"
198.94,2.81,falls into groups.
201.75,2.9,"Let's get a little deeper
and show this graphically"
204.65,2.88,"as understanding
these concepts are"
207.53,4.26,"the foundation for your
understanding of generative AI."
211.79,4.08,"In supervised learning,
testing data values or x"
215.87,2.01,are input into the model.
217.88,4.62,"The model outputs a prediction
and compares that prediction"
222.5,3.36,"to the training data
used to train the model."
225.86,4.89,"If the predicted test data
values and actual training data"
230.75,3.63,"values are far apart,
that's called error."
234.38,2.55,"And the model tries
to reduce this error"
236.93,4.65,"until the predicted and actual
values are closer together."
241.58,4.13,"This is a classic
optimization problem."
245.71,1.7,"Now that we've
explored the difference"
247.41,3.06,"between artificial intelligence
and machine learning,"
250.47,3.39,"and supervised and
unsupervised learning,"
253.86,2.669,"let's briefly explore
where deep learning"
256.529,4.111,"fits as a subset of
machine learning methods."
260.64,1.95,"While machine learning
is a broad field that"
262.59,2.49,"encompasses many
different techniques,"
265.08,2.31,"deep learning is a type
of machine learning"
267.39,2.4,"that uses artificial
neural networks,"
269.79,3.18,"allowing them to process more
complex patterns than machine"
272.97,1.5,learning.
274.47,3.41,"Artificial neural networks are
inspired by the human brain."
277.88,3.81,"They are made up of many
interconnected nodes or neurons"
281.69,4.44,"that can learn to perform tasks
by processing data and making"
286.13,1.14,predictions.
287.27,2.49,"Deep learning models
typically have many layers"
289.76,2.67,"of neurons, which
allows them to learn"
292.43,3.45,"more complex patterns than
traditional machine learning"
295.88,0.84,models.
296.72,4.12,"And neural networks can use
both labeled and unlabeled data."
300.84,2.69,"This is called
semi-supervised learning."
303.53,2.73,"In semi-supervised
learning, a neural network"
306.26,2.88,"is trained on a small
amount of labeled data"
309.14,3.45,"and a large amount
of unlabeled data."
312.59,2.61,"The labeled data helps
the neural network"
315.2,2.55,"to learn the basic
concepts of the task"
317.75,3.21,"while the unlabeled data
helps the neural network"
320.96,3.58,to generalize to new examples.
324.54,3.18,"Now we finally get to
where generative AI"
327.72,2.67,fits into this AI discipline.
330.39,3.18,"Gen AI is a subset of
deep learning, which"
333.57,2.97,"means it uses artificial
neural networks,"
336.54,3.87,"can process both labeled
and unlabeled data using"
340.41,5.49,"supervised, unsupervised,
and semi-supervised methods."
345.9,5.42,"Large language models are also
a subset of deep learning."
351.32,2.99,"Deep learning models, or machine
learning models in general,"
354.31,5.325,"can be divided into two types,
generative and discriminative."
359.635,2.655,"A discriminative model
is a type of model"
362.29,4.23,"that is used to classify or
predict labels for data points."
366.52,1.56,"Discriminative
models are typically"
368.08,2.88,"trained on a data set
of labeled data points."
370.96,3.57,"And they learn the relationship
between the features"
374.53,2.82,"of the data points
and the labels."
377.35,3.13,"Once a discriminative
model is trained,"
380.48,4.7,"it can be used to predict the
label for new data points."
385.18,3.21,"A generative model
generates new data instances"
388.39,5.22,"based on a learned probability
distribution of existing data."
393.61,4.46,"Thus generative models
generate new content."
398.07,2.19,Take this example here.
400.26,2.73,"The discriminative model learns
the conditional probability"
402.99,2.79,"distribution or the
probability of y,"
405.78,4.29,"our output, given x, our
input, that this is a dog"
410.07,4.41,"and classifies it as
a dog and not a cat."
414.48,3.78,"The generative model learns the
joint probability distribution"
418.26,3.84,"or the probability of
x and y and predicts"
422.1,3.15,"the conditional probability
that this is a dog"
425.25,4.18,"and can then generate
a picture of a dog."
429.43,2.54,"So to summarize,
generative models"
431.97,4.56,"can generate new data instances
while discriminative models"
436.53,4.94,"discriminate between different
kinds of data instances."
441.47,2.13,"The top image shows
a traditional machine"
443.6,1.98,"learning model which
attempts to learn"
445.58,3.3,"the relationship between
the data and the label,"
448.88,1.71,or what you want to predict.
450.59,2.88,"The bottom image shows
a generative AI model"
453.47,3.51,"which attempts to learn
patterns on content so that it"
456.98,3.12,can generate new content.
460.1,3.74,"A good way to distinguish
what is gen AI and what is not"
463.84,2.53,is shown in this illustration.
466.37,5.01,"It is not gen AI when the
output, or y, or label is"
471.38,4.38,"a number or a class, for
example spam or not spam,"
475.76,1.86,or a probability.
