second,duration,transcript
0.16,3.84,all right what's going on everybody it's
2.24,3.039,you bro hope you're doing well and in
4.0,4.559,this video i'm going to help you get
5.279,6.001,started with html so sit back relax and
8.559,2.721,enjoy the show
11.36,5.2,if you wouldn't mind please like comment
13.84,4.96,and subscribe one like equals one prayer
16.56,4.32,for the youtube algorithm
18.8,5.76,i'm gonna tell you why you should learn
20.88,6.319,html html is an acronym for hypertext
24.56,4.719,markup language it's the most basic
27.199,5.04,building block of the web it allows you
29.279,4.481,to add change and remove website content
32.239,3.681,and that's a good thing to know it's
33.76,3.92,mandatory to know for web developers if
35.92,3.52,you would like to enter that career
37.68,3.36,field it's useful for software
39.44,3.52,developers marketing and sales
41.04,4.08,professionals if you need to edit a
42.96,3.759,listing for your company business owners
45.12,3.84,you could make your own website and
46.719,3.921,freelancers people would pay good money
48.96,3.919,for a good website heck you might as
50.64,5.599,well add html to your resume can't hurt
52.879,5.2,and learning html is super easy this
56.239,5.361,full course is only going to be about an
58.079,6.16,hour anybody can learn html even you yes
61.6,4.879,whoever's watching this video learn html
64.239,3.92,it's super easy what do you have to lose
66.479,3.921,building a website is a lot like
68.159,4.081,building a house first we need a solid
70.4,3.92,foundation and we need to build a
72.24,4.239,skeletal structure that's where html
74.32,4.159,comes in it's the most basic building
76.479,5.68,block of the web then after that we can
78.479,6.481,add css css is cascading style sheets
82.159,4.881,with css we can style color and change
84.96,4.159,the appearance of a webpage and lastly
87.04,4.64,there's javascript javascript adds
89.119,4.881,functionality to a webpage so in a house
91.68,4.64,this could be like plumbing heating and
94.0,4.32,air conditioning and electricity so it
96.32,4.08,adds functionality and when you combine
98.32,3.68,these three levels you have a good
100.4,3.12,functioning webpage but you need to
102.0,3.6,start somewhere so that's why you're
103.52,4.239,gonna learn html first what will you
105.6,4.32,need you'll need a web browser use
107.759,4.4,whatever web browser that you like just
109.92,4.879,please do not use internet explorer and
112.159,5.841,we'll also need a text editor to write
114.799,5.68,html code you can use vs code sublime
118.0,4.64,text heck you can even use notepad but i
120.479,5.401,prefer vs code so i'll show you where to
122.64,5.36,download that head to
125.88,3.879,code.visualstudio.com and download the
128.0,3.76,correct version for your operating
129.759,4.161,system i'm running windows so i'm going
131.76,3.839,to install the windows version then i
133.92,3.84,will open when done
135.599,4.241,accept the agreement
137.76,4.479,yes i actually did read it that fast i
139.84,5.119,would recommend creating a desktop icon
142.239,5.441,and make sure add to path is selected
144.959,5.36,next and install and then you might as
147.68,4.96,well launch this bad boy so finish we
150.319,4.881,are now within vs code the first thing i
152.64,5.04,recommend is to download the live server
155.2,4.88,extension so that after saving an html
157.68,5.12,document we can immediately refresh a
160.08,5.76,web page so underneath the search box
162.8,5.68,for extensions we are looking for live
165.84,4.399,server and install this version then
168.48,4.24,after downloading the live server
170.239,5.28,extension we will create a new folder
172.72,4.879,under the explorer tab open folder
175.519,3.681,wherever you want create a new folder
177.599,4.401,i'll create this on my desktop just for
179.2,5.44,convenience i'm going to create a new
182.0,4.72,folder i'll name this website
184.64,4.4,or whatever you want doesn't matter
186.72,4.239,then select folder and within our
189.04,6.479,website folder we're going to create a
190.959,6.56,new file name this index.html
195.519,3.921,whatever file you would like to be the
197.519,3.401,home page of your website you'll want to
199.44,3.92,name that as
200.92,5.08,index.html when a connection is made to
203.36,6.08,a website without a specific file in the
206.0,4.2,url most servers by default will return
209.44,3.76,the
210.2,5.8,index.html file as a landing page so
213.2,5.44,this index.html file will be the home
216.0,4.239,page the landing page of our website at
218.64,3.84,the top of our document we're going to
220.239,6.161,type this within angle brackets
222.48,6.319,exclamation point doc type html
226.4,5.04,html documents should start with this
228.799,5.281,declaration to be compliant with basic
231.44,5.6,html standards it lets a visitor's web
234.08,5.04,browser know that this is an html5
237.04,5.44,document and following this text will
239.12,5.44,create a pair of html tags tags are the
242.48,4.399,keywords within angle brackets that a
244.56,4.64,web page uses to define how your web
246.879,4.401,browser will format and display content
249.2,5.28,and usually these come in pairs so we'll
251.28,6.0,need an opening html tag and a closing
254.48,6.4,html tag all of our html code will be
257.28,6.16,within these html tags so the html
260.88,5.039,element represents the root of an html
263.44,5.36,document and there's two major sections
265.919,5.681,head and body so let's create a pair of
268.8,5.52,head tags head represents information
