second,duration,transcript
0.21,5.129,it's easy to get lost in Murphy Canada's
2.909,4.47,surreal installations but dig a little
5.339,4.441,deeper and you realize his work is made
7.379,4.321,up of millions of tiny pieces and that
9.78,3.81,every single little point represents a
11.7,4.17,piece of data that he's fed through a
13.59,4.83,neural network to show us his vision of
15.87,5.55,our future I was always like trying to
18.42,5.189,like speculate this idea of can data
21.42,4.5,become a pigment at the end the data is
23.609,4.771,a truly numbers that has no kind of in a
25.92,4.59,skin or skeleton but what I'm frankly as
28.38,4.98,an artist is find an algorithm that can
30.51,4.59,narrate the moment of data kind of like
33.36,4.289,make that invisible moment visible
35.1,4.59,enormous datasets inspire most of a
37.649,4.021,Nadal's art and he uses machine
39.69,4.439,intelligence and algorithms to create
41.67,4.409,visualizations what he calls data
44.129,3.481,sculptures like this piece called
46.079,3.241,machine hallucinations
47.61,3.87,he started by finding a hundred and
49.32,4.11,thirteen million images of New York
51.48,4.68,online and let the Machine learn from
53.43,5.64,the entire corpus of data and then we
56.16,5.219,also find a way to erase the humans from
59.07,4.5,this data and only focus on the
61.379,4.53,building's nature and environments that
63.57,4.44,is a collective memory of New York once
65.909,3.691,all of the images of people were removed
68.01,3.719,Anna Dahl was left with ten million
69.6,3.72,pictures of New York he fed them through
71.729,3.96,a machine learning algorithm that
73.32,4.83,generates visual associations as it
75.689,4.351,learns for example when it sees multiple
78.15,3.6,photos of the Statue of Liberty taken
80.04,3.75,from slightly different angles the
81.75,4.14,algorithm interpolates information to
83.79,4.35,help it create a moving shifting image
85.89,4.86,that represents the entire lifecycle of
88.14,5.22,the structure mission looks at this
90.75,4.59,information like a human being but it's
93.36,3.689,kind of more like a collective memories
95.34,3.84,than a personal memories because a
97.049,4.171,building in New York can be explored by
99.18,4.11,thousands of perspectives from multiple
101.22,4.74,angles from a different time of the year
103.29,4.46,it's more like an honest memory for a
105.96,3.6,machine because it feels more
107.75,4.36,totalitarian and like it feels
109.56,4.83,everything and everyone than just one
112.11,4.14,person and it all covered the walls in
114.39,4.019,the floor of a boiler room in a building
116.25,4.92,in lower Manhattan with this machine
118.409,4.621,interpreted dynamic landscape if you ask
121.17,5.28,him he'll tell you that the machine is
123.03,6.209,dreaming when a machine learns from
126.45,5.31,outputs and memories like this it can
129.239,4.351,create an alternative reality it look at
131.76,2.28,the patterns of the trees the buildings
133.59,3.09,and
134.04,5.399,nature the people every single thing
136.68,5.46,hidden inside this image corpus seeing a
139.439,5.461,machine giving a context of data and
142.14,5.73,creating and hallucinating outputs or
144.9,4.74,something like really inspiring in it
147.87,4.41,all created this piece to celebrate the
149.64,4.799,centennial of the LA Philharmonic using
152.28,3.989,half a million images thousands of audio
154.439,4.201,recordings and hundreds of videos from
156.269,4.351,the orchestra's archives he fed all that
158.64,3.989,into a series of algorithms that turned
160.62,4.56,it into these extraordinary projected
162.629,4.621,images by using measuring algorithms the
165.18,4.919,entire archive of LA Philharmonic
167.25,5.069,becomes a shape of three-dimensional
170.099,3.631,outputs we were able to see all these
172.319,3.06,data points be coming together or
173.73,4.02,disappearing and making kind of a new
175.379,4.14,sculptures and the building itself Frank
177.75,4.95,Gehry's Walt Disney Concert Hall became
179.519,5.851,part of the sculpture too I was always
182.7,5.28,like looking for inspiring buildings and
185.37,5.069,Frank Gehry became my hero and I rent a
187.98,5.069,car went to downtown it was 2:00 a.m.
190.439,4.41,the buildings light was off like there
193.049,4.11,was nothing around him and that night I
194.849,4.11,was really struck by an idea like what
197.159,4.89,will happen if this building can
198.959,5.011,remember like in a dream so he projected
202.049,3.72,the machine interpreted archives onto a
203.97,4.259,smaller model of the Walt Disney Concert
205.769,4.171,Hall once he settled on something he
208.229,4.68,liked he projected it onto the bigger
209.94,5.159,real-life building what we are doing is
212.909,4.41,another typical painting and a typical
215.099,4.29,sculpture but more like an experience
217.319,4.26,from a near future and when they come
