second,duration,transcript
0.06,6.99,A new paper by IBM Quantum and UC Berkeley successfully demonstrates some of the largest quantum circuits ever run on a quantum computer.
7.8,3.6,"I'm Andrew Eddins, an IBM Quantum Researcher and coauthor on the paper."
11.79,4.813,"And in this video, we'll talk about what we did in this experiment, how we did it,"
16.603,6.526,and in particular why quantum error mitigation is poised to play such an important role in near-term quantum computing.
24.7,2.64,So what did we run in this experiment?
27.82,16.599,We used a 127 qubit processor to run a simulation of 127 interacting spins with each qubit playing the role of a spin.
45.96,10.88,"And to do this, we ran a quantum circuit with as many as 60 layers of two qubit CNOT gates."
60.88,4.521,"And remarkably, we were able to measure reliable results at the end of the circuit,"
65.401,7.311,which is exciting progress because it was only about a year ago that we started being able to run circuits with 100 qubits at all.
72.97,5.397,And the number of gates in these 60 layers-- or the 60 layer depth of the circuit
78.367,6.243,--is roughly double our previous record reported last year at IBM Quantum Summit in 2022.
85.21,5.82,"So even though today's quantum computers are not perfect, they have some noise in the hardware."
91.45,7.799,We're still able to extract useful results-- or reliable results --using a class of techniques known as quantum error mitigation.
99.55,5.686,And so this is giving us space to start exploring what we can do with these devices
105.236,5.324,even before the era of fault tolerance and long term quantum computing.
110.56,8.506,"And in particular, in this experiment, we used a technique known as Zero Noise Extrapolation, or ZNE."
121.55,1.606,So how does ZNE work?
123.63,4.789,First we'll run our circuit and get some estimate of our observable.
128.47,12.763,"So we want to learn some observable property, O, and we want to look in particular at the average or expectation value of that property."
142.42,3.179,We run our experiment and we get some results.
147.09,7.34,"However, this result may be made inaccurate by the presence of noise on the quantum hardware."
155.96,7.679,"Ideally, we'd like to get an estimate of what the answer would be-- if we ran this --if we solved this problem without any noise."
164.33,4.019,So how do we correct for this inaccuracy brought about by the noise on the hardware?
169.19,5.159,"Well, first we'll go and learn what the noise is actually doing-- how it's behaving on the device."
174.89,4.102,"So we'll take the problem that we're studying, we'll break it up into layers,"
178.992,6.026,and then for each layer we'll further decompose that into two pieces:
185.018,12.675,one that captures the ideal behavior of that layer and another representing the noise.
198.91,7.379,"And so by doing a bit of additional work, we can go and measure how all of these noise pieces in the circuit are behaving."
207.16,7.564,"And once we have that information, although it's hard to turn down the level of noise that's happening on the hardware,"
214.724,7.998,we are able to use that knowledge to turn it up.
225.18,4.874,"So by repeating the experiment in the condition where we increase the noise,"
230.054,11.286,we can then get additional results which we can use to extrapolate back and estimate the true value in the case of no noise on the hardware.
243.21,3.659,So that's a bit about the basic theory underlying our experiment.
247.77,6.57,"And with that out of the way, I'll pass past things over to my colleague and coauthor to further explain details of the experiment."
255.18,1.0,"Thanks, Andrew."
256.23,2.819,"My name is Youngseok Kim, researcher from IBM Quantum."
259.829,4.111,"Like what Andrew said, I'm going to talk about a little bit more detail about what we did."
266.39,8.34,"So to make a long story short, what we did is we perform an experiment on spin dynamics of transverse field Ising model."
275.85,5.381,"So we perform experiment on our quantum processor, and we work with our collaborators at UC Berkeley"
281.231,3.433,"and they produce corresponding results in classical computer,"
284.664,5.165,and we compare our results against each other to build a confidence in our method.
290.58,2.73,So we use ZNE as our error mitigation method.
293.79,5.789,We use our IBM Kyiv 127 qubit processor to study these spin dynamics.
300.3,10.19,"To be more specific, we map our spin lattice to our hardware topology, which is heavy hex topology."
311.61,5.669,And this spin is governed by nearest neighbor interaction j and global transverse field h.
318.28,4.979,"And as you can see here, we have large parameter space to explore."
324.16,4.925,"Among this parameter space, we have some parameter that results in Clifford circuit,"
329.085,5.485,"meaning we can efficiently simulate this circuit, thereby we obtain ideal value."
335.5,3.54,So we utilize this nice property to examine our results.
