second,duration,transcript
0.089,7.891,why it is third design and visualization
2.78,7.149,especially why 3d computer graphics our
7.98,6.26,course title is digital design and
9.929,8.761,visualization why visualization matters
14.24,7.449,even simply say very pragmatic very
18.69,6.929,practical reason for enhancing your
21.689,6.531,design visualization skills okay how to
25.619,6.15,enhance your design technique design
28.22,5.769,representation techniques another one
31.769,4.761,for moving forward to advanced design
33.989,5.191,computing issues such as being okay
36.53,4.54,you have to know geometry modeling first
39.18,4.8,and then move to information modeling
41.07,7.37,approach him approach and even more
43.98,8.099,advanced approaches okay
48.44,5.83,main focus is here enhancing your design
52.079,4.491,representation design visualization
54.27,6.51,skills okay
56.57,7.51,let's briefly take a look again history
60.78,7.97,of computer aided design history of CAD
64.08,10.2,is a history of how to understand design
68.75,9.34,what is design ok around the 50 years
74.28,6.92,ago when the sketch pad the first caddy
78.09,6.54,system okay line drawing header system
81.2,6.34,computers computer system invented at
84.63,5.61,that time people believed that the
87.54,7.039,design is a drawing of the product that
90.24,9.089,is why we are focusing on elevation
94.579,9.011,plans perspective was something line
99.329,8.011,drawings okay so geometric drafting in
103.59,7.05,2d was the CAD system at the time but
107.34,6.51,some smart people invented 3ds of his
110.64,6.839,face the model approach okay Sophie
113.85,7.769,space the 3d representation it's 3d okay
117.479,7.32,you can rotate this box you can see it
121.619,6.241,happy front view section and so on
124.799,6.721,geometric surface modeling in 3d that is
127.86,5.99,so-called surface based 3d model even
131.52,5.94,smarter people
133.85,6.82,suggested and implemented 3d solid
137.46,7.71,modeling approach why solid think about
140.67,11.13,this one surface phase 3d looking object
145.17,9.33,looking 3d but surface doesn't have
151.8,5.73,thickness in other words it's
154.5,6.06,mathematical definition not real object
157.53,6.87,but can you find zero thickness object
160.56,7.56,in their world there is nothing there is
164.4,6.78,nothing like that in other words in real
168.12,6.06,world even if it's very very thin or
171.18,7.68,very lightweight anyway it has thickness
174.18,7.89,it has weight okay so we need to sort
178.86,6.06,the feel in the definition of geometry
182.07,6.75,so there is solely the model realistic
184.92,6.03,okay even smarter people invented
188.82,5.78,suggested and invented a parametric
190.95,6.5,model okay point line they are all
194.6,7.03,mathematical definition something
197.45,6.91,abstract something unreal it's not
201.63,7.53,realistic in real world we are using
204.36,7.13,with its depth thickness height what if
209.16,5.34,you want to control this one change
211.49,8.11,higher height and then this one going to
214.5,8.19,be updated okay not controlling parties
219.6,4.4,or lines and so on the most advanced one
222.69,5.1,is here
224.0,7.84,entire rest of things are the part of
227.79,8.04,this one more information what kind of
231.84,5.91,information compositional analytical and
235.83,5.3,fabrication representations of the
237.75,5.22,product going to be part of this model
241.13,6.579,so there is Building Information
242.97,6.239,modelling this semester we are still
247.709,4.531,focusing on this one
249.209,5.461,what if you use only 2d CAD characters
252.24,6.27,to the drawing trees that's going to be
254.67,6.59,here but thankfully we are here but the
258.51,7.29,problem is it's exactly same to sketchup
261.26,5.77,but lots of powerful and predefined well
265.8,3.27,defined as
267.03,5.58,facts of design visualization things in
269.07,5.85,3d Max and related tools so this is the
272.61,5.61,focus of this master how about next
274.92,6.95,semester rest of things and this one
278.22,6.51,also one part of the next semester's
281.87,5.62,these are design and beam course ok
284.73,5.97,anyway this is the scope of this
287.49,4.649,semester some prob others of course the
290.7,6.81,subject but not domain
292.139,8.451,anyway in my poetry is here ok let's
297.51,4.71,quickly review design mode we have
300.59,4.829,learned before
302.22,5.67,very simple mode of thought your brain
305.419,5.051,no one can see your brain
307.89,5.52,ok what is the inside of your head ok
310.47,4.71,it's not possible before you you are
313.41,4.59,saying something you are drawing
315.18,5.27,something you are creating some computer
318.0,5.28,file visualization or something else
320.45,6.4,before doing that no one can see your
323.28,7.97,idea but it's very still important to
326.85,8.37,you guys take a look the description
331.25,8.11,next one is mode of expression something
335.22,5.97,to be visualized final stage of course
339.36,8.79,mode of production ok
341.19,11.789,no need to say anyway take a look visual
348.15,7.019,equivalent visually equivalent to your
352.979,5.911,design concept design idea design
355.169,6.171,approach ok visualization is the most
358.89,8.25,important thing you need to achieve in
361.34,11.04,in your design expression mode okay how
367.14,9.5,about design media design by hand for
372.38,4.26,several thousands of thousand years
376.729,10.031,compared to human history more than 99%
380.58,10.02,of history used hand drawing ok pencil
386.76,6.45,or pens whatever it is but in this class
390.6,6.48,we are using computers but I told you
393.21,7.77,just 40 60 years ago computer has
397.08,7.94,invented carry systems just four years
400.98,8.94,okay your computer - 3d max 2015
405.02,8.29,released two years ago okay anyway we're
409.92,5.76,gonna use computers designed by penciled
413.31,6.03,computing that's the change we
415.68,8.79,encountered the pencil is the most basic
419.34,8.19,media of design nowadays you can simply
424.47,8.85,quickly draw by hand for your design
427.53,9.72,okay that's your kind of primitive idea
433.32,7.98,schedule or something but this is design
437.25,7.89,computing course we have lots of IT lots
441.3,7.26,of technologies we're gonna use new
445.14,5.76,media that's why I call digital design
448.56,6.03,this is the design media okay
450.9,8.34,you have to maximize the effect the
454.59,7.74,power of your media okay your media in
459.24,5.39,this room in this class of course it's
462.33,6.75,computers you are using smartphones
464.63,7.53,tablets some mobile devices mostly for
469.08,8.42,fun or for communicating with friends
472.16,8.74,but anyway you can use such some IT
477.5,8.01,tools for your design something
480.9,8.1,productive things here is an example
485.51,8.04,student walk freshman walk okay
489.0,7.08,freshman walk they didn't know any
493.55,4.57,computer software for design but they
496.08,5.12,have learned the Sketchup puree some
498.12,6.45,renderers Photoshop and they could make
501.2,3.94,this kind of visualization how about
504.57,5.37,this one
505.14,8.4,Jewish Museum slip box some something
509.94,6.27,not 100% but anyway looking realistic
513.54,5.1,looking realistic visualizations line
516.21,5.25,stroke Sketchup visualization scale
518.64,5.22,styles I assume that you are already
521.46,7.65,well-known to design visualization using
523.86,9.24,rhino autocad sketchup play array but in
529.11,5.1,this master 3d max design 3d max design
533.1,4.08,and auto
534.21,5.49,material mentalray some technical
537.18,5.75,aspects regarding such tourists and
539.7,7.44,Autodesk tours some primitive
542.93,5.95,introductory things about Autodesk Revit
547.14,6.33,and so on okay
548.88,6.78,that's the skull last week
553.47,5.04,I show you this one before what you have
555.66,6.2,to learn are listed up here some gray
558.51,6.81,phone's hardware internet software
561.86,7.02,operating systems some fundamentals in
565.32,6.3,engineering theory but anyway focus on
568.88,5.44,fundamentals in the lecture in the
571.62,4.62,lecture I'm gonna let you know what is
574.32,5.34,the critical one Dementors of design
576.24,8.76,computing theories okay we have midterm
579.66,7.049,exam November 21st regarding my lecture
585.0,5.85,oh okay based upon my lecture you're
586.709,6.301,gonna have the elec exam in the lab
590.85,4.29,exercise hours I told you again and
593.01,4.97,again in 3d max design mentor eight
595.14,6.18,we're a Photoshop intro to rabbit and
597.98,6.25,possible some more applications it's up
601.32,6.48,to you anyway that's the subject for lab
604.23,6.75,exercise even more things about design
607.8,5.61,computing such as 3d printing in this
610.98,5.04,semester you're gonna asked you want to
613.41,5.97,be asked to print something create
616.02,6.439,something by 3d max and print them out
619.38,8.459,using 3d max sorry 3d printers laser
622.459,7.721,scan photogrammetry virtual reality they
627.839,4.971,are one one of the subjects we're gonna
630.18,5.97,deal with in this semester okay
632.81,8.05,let's take a look at this 3d rendering
636.15,8.429,okay this is kind of very famous image
640.86,6.18,okay this is not a picture of course
644.579,5.82,it's a computer-generated image render
647.04,7.62,image so if you click this you can find
650.399,6.951,out some website link 3d rendering on
654.66,5.28,the Wikipedia there is the image okay
657.35,7.77,actually it's not important but anyway
659.94,7.949,gears Tran with appareil using radiosity
665.12,5.35,radiosity is one one of the technology
667.889,6.0,is available nowadays in photorealistic
670.47,8.7,rendering something like this even if
673.889,9.86,it's not kind of 3d max generated anyway
679.17,6.779,by using 3d Max and recently developed
683.749,5.02,technologies you can make this kind of
685.949,6.47,visualization even today actually
688.769,8.55,but anyway lots of more and
692.419,7.51,sophisticated handling you need but my
697.319,5.01,point here is nowadays complete
699.929,6.12,computing comfortable ideation technique
702.329,6.84,is very very advanced what you need to
706.049,8.28,do is take maximum advantages so we
709.169,9.03,existing technologies techniques ok is
714.329,6.18,this a picture or computer graphic why
718.199,4.47,it doesn't matter my answer is it
720.509,4.471,doesn't matter okay well of course this
722.669,7.23,is computer generated this is IKEA
724.98,8.399,product no matter what it is no problem
729.899,6.8,because visualization nowadays there is
733.379,6.42,no difference between real picture and
736.699,6.401,computer generated sometimes come to
739.799,6.45,generated looking materialistic then
743.1,7.139,pictures anyway take a look this
746.249,7.111,interior some type of office layout is
750.239,7.34,this a picture of course it's computer
753.36,9.209,generated how about this kitchen area
757.579,8.17,computer generated iCare iCare provides
762.569,8.19,you lots of some PDF file who are online
765.749,7.44,brochure or even printout brochure for
770.759,6.961,their products using computer graphics
773.189,5.76,ok not real product why they made this
777.72,6.959,kind of computer graphics
778.949,11.1,take a look same product IKEA product
784.679,8.13,for kitchen ok kitchen cabinets but IKEA
790.049,5.19,is kind of global company something for
792.809,5.34,Northern America something for Asia
795.239,6.341,market something for Europe European
798.149,6.191,style market some different process
801.58,7.2,different layouts a little bit different
