second,duration,transcript
0.09,1.62,Machine learning. It's crazy.
1.77,3.06,"Like right now I'm running a machine
learning model that will tell me how bad I"
4.83,3.84,"suck at video games in real time. But
honestly I don't think it's very accurate."
11.76,4.41,"Nevermind. It's pretty accurate. So
machine learning, it's hot right now."
16.23,2.52,"It's the future Chad's, G P
T, all the buzzword, you know,"
18.78,2.61,"and it's how you ended up watching this
video. Thank you YouTube algorithm."
21.69,2.37,"Love you. And I'm making this
video because I wanna tell you,"
24.06,2.91,"you can absolutely learn this
technology. You don't need a degree,"
27.18,3.12,"you don't need to be a math genius
and you can learn this all for free."
30.45,0.96,"This video game thing,"
31.44,3.54,"you're actually gonna set this up yourself
by the end of this video using all"
34.98,3.87,"the crazy machine learning data science
tools in the Oracle Cloud or oci and it"
38.85,3.21,"will be completely free thanks to
our sponsor Oracle. And by the way,"
42.09,2.43,"you'll find out that if you do wanna
get started with machine learning,"
44.76,2.16,this right here is the best way to start.
47.07,4.091,"Just jump in and stink and do it using
real tools that real data scientists and"
51.166,2.984,"machine learning engineers actually use.
I'm telling you about machine learning,"
54.15,3.51,"but I'm not a machine learning engineer.
Why should you listen to me? Santiago,"
57.75,1.5,"he's a machine learning engineer. In fact,"
59.25,2.58,"you know that dog spot from
Boston Dynamics jumps around,"
61.83,1.89,"sees things sometimes
piece beer into a cup,"
65.82,1.98,"Santiago's on the team
that makes that happen."
67.805,2.905,"It's machine learning and specifically
it's called computer vision. We."
70.8,4.08,"Build computer vision algorithms
to help the robot see the."
74.88,3.06,"World. And also Nacho, he's
a machine learning engineer."
78.0,2.61,"He's the guy who's gonna help you get
set up with that machine learning video"
80.61,1.03,game thing later on.
81.93,4.14,"I created like three workshops and the
idea is to get started on the most basic"
86.34,4.65,"concepts that I found out that
are, you know, most important in,"
91.08,0.75,in machine learning.
91.83,2.67,"And they're both gonna help me explain
the wonders of machine learning and how"
94.5,4.2,"you can get started down this kind of
crazy and extremely lucrative career path."
98.76,2.31,"I mean talk about future
proof dude. And by the way,"
101.07,2.46,"I'm obsessed with machine learning
now. I can't stop playing with it."
103.53,2.19,"So thanks a lot Oracle. But
before we get into that,"
105.87,3.87,"let's first define what the junk
even is. Machine learning. Santiago,"
109.74,0.833,what is machine learning?
110.58,1.26,Machine learning is
113.92,4.55,"Teaching a computer how to learn from
data. Like if you're a software developer,"
118.59,2.13,"you're used to uh,"
120.75,4.08,"craft a set of rules in order
to accomplish something, right?"
124.83,3.45,"Let's say you want to play
tic-tac toe, you will uh,"
128.88,4.53,"create rules like if the computer
plays here, I'm gonna play there."
133.41,4.14,"If the other player plays here, right?
You will craft those rules. You will use,"
137.61,4.89,"uh, loops and conditions and any
programming, uh, tools that you have."
142.59,3.09,"Mm-hmm  machine learning
is a little bit different and it turns"
145.68,4.95,"this on its head. So machine learning
starts with uh, a lot of samples,"
150.66,1.8,"right? It's like hey,"
152.85,4.71,"this is the temperature over a
year for this particular region."
158.04,4.8,"Can you craft the rules
automatically in order"
162.84,3.48,"to predict what the temperature
will be tomorrow? So."
166.52,3.55,"We're teaching a computer to do something
without us explicitly telling it to do"
170.07,3.01,"something. If you're like me,
you're like, uh, what ,"
173.13,2.64,"what does that mean exactly? What's
the process? How does that work?"
175.83,2.04,"Let me give you one quick
example before we dive in."
177.9,2.77,"We'll start by defining our, what
do we want to teach the computer?"
180.82,2.31,"And I wanna teach how to
identify a photo of me."
183.19,3.78,"Is this a photo of network chuck?
Yes or no? But how do we do that?"
187.12,2.91,"How do we teach it to recognize
me data, the answer's data,"
190.03,3.73,"we give it a ton of pictures
of me, different pictures,
me doing this and that."
193.9,0.665,"Then nah, you know,"
194.565,2.935,"all kinds of stuff and we'll label it so
it knows it's me and while we're at it,"
197.56,4.29,"it also might help to see photos of not
me so we can know what to not look for."
201.94,2.79,"So we'll get a bunch of those of
not me with our data assembled."
204.73,2.55,"We can now train our computer.
He's in training, he's a trainee."
207.28,2.88,"But hold up before we can teach him, we
have to choose how he's going to learn."
210.37,1.89,"And that's called our
machine learning algorithm."
212.38,2.01,"There are a lot out there
doing some crazy math,"
214.395,3.025,"but I think the one we want will
be a convolutional neural network."
217.48,1.89,Now do I know how that works? No.
219.67,2.67,"But do I know that it might be
good for the situation? Yes."
222.34,4.41,"So now we spoon feed the data and the
algorithm will start to learn to start"
227.24,1.4,recognizing the pattern of me.
228.76,3.87,"Every time it sees a beard or
crazy eyes or a man bun, it'll say,"
232.63,3.27,"oh you know what? I'm gonna weigh that
feature higher. Or if it doesn't see one,"
235.9,3.54,"it'll lower it and it will crunch
through all this data learning me."
239.62,2.16,"And then for good measureable
feed to pictures of not me,"
241.78,2.67,"so it knows what to not
look for. And now he's done,"
244.45,1.98,"he finished the training data,
he's no longer a trainee."
246.43,2.65,"Now we can test him with testing
data to see how he performs."
252.7,4.08,"Now while this example is very simple,
that's all a machine learning model is,"
256.78,0.833,which is what we just make.
257.77,3.03,"It's a file that's been trained to
recognize certain types of patterns."
260.8,3.361,"Now it could happen that your machine
learning model sucks and its accuracy is"
264.166,3.714,"like 10%. That's where being a machine
learning engineer comes into play."
267.94,2.73,"You have to learn what to do to
make that model more accurate."
270.7,2.52,"You have to learn those skills and I'm
gonna show you how to do it right now."
273.28,1.11,"Now according to Santiago,"
274.39,3.12,"the first step in learning machine
learning is just to start doing."
277.51,0.27,It.
277.78,4.8,"I prefer the style of teaching and
learning where you start writing the"
282.61,3.6,"deep end and then you
start unpacking things,"
286.24,2.49,"breaking down pieces and say, okay,"
288.76,2.82,"I need this in order to
understand this particular piece."
291.58,3.21,"Let me go and watch a that
video. Or I need this. Uh,"
294.85,2.85,"I do not understand exactly
how the chain rule works."
297.7,3.33,"Let me just pick up this video,
go to YouTube or whatever."
301.21,2.04,"I'm gonna understand that
and then I can move on."
303.34,2.58,"That's the way I would recommend
people to approach this."
306.19,2.52,"So let's just start doing it, shall we?"
308.83,2.7,"Let's build a machine learning algorithm
that can tell you how bad you suck at"
311.53,1.41,video games. Check the link below.
312.94,3.75,"Let's get signed up for a free Oracle
cloud account. Oci. And by the way,"
316.72,3.78,"signing up for OCI right now means you
get a $300 credit to do whatever you"
320.5,3.66,"stink and want with within reason more
than enough to play with this machine"
324.16,1.77,"learning stuff. So once
you have your account,"
326.14,2.76,we got three delicious labs to go through.
329.23,2.85,"I created like three
workshops that are uh,"
332.08,3.81,"you can do them on your own about
uh, one hour and a half to two hours."
336.49,4.77,"And the idea is to get started on the
most basic concepts that I found out."
341.29,1.95,"And they cover everything
from data extraction,"
343.24,1.8,"getting your data ready
like we do with the photos,"
345.07,2.91,"to actually building models with
different tools. Psych kittle, learn,"
347.98,3.57,"auto glue on even building a neural
network who can say they built a neural"
351.55,3.63,"network. You can after this
thing you're doing coffee break."
357.29,2.04,"The first one I'm gonna start
with is data extraction."
359.36,3.0,"The CUS is gonna teach you a ton about
data science as we're walking through"
362.36,1.23,"this. Once you got it loaded up,"
363.59,2.64,"go ahead and click on start and
then click on run on your tendency,"
366.23,3.39,"which just means you're gonna be running
on your own OCI stuff cuz you have free"
369.62,0.42,account.
370.04,2.79,"Now you probably guessed that the video
game we're talking about is League of"
372.83,1.89,Legends. It's kind of a complex game.
374.75,3.3,"It's you playing with four other players
to try and destroy the other player's"
378.05,2.64,"base essentially. And there are a
lot of factors that come into play."
380.78,3.15,"What character you choose, the
potions and nerdy stuff you might buy,"
383.96,2.94,"how much gold you collect, uh, all
the stuff that happens in the match."
386.99,3.3,"All those are in things that are
important features that might determine if"
390.29,1.59,you're going to win or lose.
391.97,4.44,"And it's in this lab we learn how to
identify those features and feed it into a"
396.415,2.365,"machine learning algorithm.
It's kind of crazy."
398.81,1.53,"Now if you are following
along with this lab,"
400.34,2.73,"the first thing you wanna do is
set up your infrastructure in oci."
403.4,3.09,"We'll be using a lot of stuff there.
Data science cloud, shell compute,"
406.52,4.26,"autonomous js o database. Offer free
offer fun. No, it really is pretty cool."
410.84,0.125,"Oh,"
410.965,2.755,"and one more thing you wanna do is you'll
wanna sign up for League of Legends"
413.84,4.16,"because you're gonna get an API key to
pull all kinds of data from previous"
418.005,2.975,"matches and live matches as
you're playing. It's free,"
420.98,2.61,"it's easy just you'll link below, you'll,"
423.59,1.62,"you'll follow it along
for the infrastructure."
425.21,3.03,"We're doing all of this deploy
with Terraform and Ansible."
428.24,2.61,"Nacho gives you all the code,
everything in this walkthrough."
430.85,2.07,"You don't have to worry about a
thing, just click, click, click."
432.98,2.4,"You probably won't even know what's
happening half the time and that's fine."
435.38,2.31,"You're just deploying infrastructure.
Just follow directions."
437.72,0.99,I'm gonna do mine right now.
446.3,0.57,"Now number two,"
446.87,3.09,"the next thing you'll want to do to become
a machine learning engineer and that"
449.96,4.98,"is to learn why the junk data science.
Like why do we do it? What is it?"
455.0,1.02,What's the process?
456.08,3.42,"The first thing you wanna do is hang out
with nacho nacho's gonna hold your hand"
459.5,3.6,"and show you what it's like to actually
tackle a real world machine learning"
463.1,2.31,"problem. And using the OCI hands-on labs,"
465.41,2.82,"you'll get hands-on to
actually do this yourself."
468.29,2.58,"And this is so cool because you get a
chance to see how a machine learning"
470.87,2.91,"engineer thinks how they
approach a problem. Shoot,"
473.78,2.07,"he's got five articles detailing it,"
475.91,2.64,"every single thing he
does and why he did it."
478.58,2.97,"So if you want to understand the big
what and why of machine learning,"
481.55,3.69,"this is like the best place to start.
You're doing it and he's telling you why."
485.36,2.25,"And if you need a bit
more, which I often do,"
487.82,2.55,"there is some structure learning out
there for how to understand the whole"
490.37,3.06,"machine learning process.
Santiago recommends brilliant. If."
493.43,3.54,"You are like from the
very, very, very beginning,"
497.21,3.42,"like you've never seen this, you,
you don't even know where to start,"
501.08,2.13,I would recommend brilliant.
503.24,4.32,"They have a data science
path that's fantastic."
507.62,2.91,"It'll help you to start
thinking like a data scientist."
510.59,2.94,"Now this is for you if you're
very brand new to data science,"
513.59,1.59,"like you don't even know
what I'm saying right now."
515.24,3.39,"This is a paid option but according
to Santiago it's fantastic. Like."
518.63,4.59,"I won my eight years old
to take it. Is is that uh,"
523.43,1.23,basic right?
525.08,4.86,"But it's a great star that's gonna
just give you an idea what you need to"
529.94,1.62,face. So I would love that path.
531.71,2.64,"The point of this step is to get you
to understand the whole point of data"
534.35,2.23,"science and to start
like a data scientist,"
536.64,1.71,"which is important for machine learning,"
538.38,4.68,"but also from step one going deep with
our example on Oracle Cloud. Again,"
543.12,3.18,"we're looking at the Game
League of Legends and how
we can predict the winner of"
546.3,3.9,"a match and it's getting in the mindset
of how to figure that out that makes"
550.205,3.265,"this lab so crazy valuable.
Cuz as I mentioned,"
553.53,1.83,league of Legends is kind of complex.
555.39,3.6,"So we'll need to look at the game and
identify features that will affect the"
558.99,3.48,"outcome of a match. So things like what
champion you choose, what lane you pick,"
562.62,3.27,"how much gold you earn, how many
minions you kill, all kinds of things."
565.92,3.66,"So taking all that and figuring that
stuff out and using machine learning tools"
569.58,2.79,to do it. Don't miss this. Try this out.
572.43,4.11,"And in the first workshop we're actually
learning how to extract that data to"
576.54,4.32,"get it from the Riot Games api,
which I'm going to do right now."
580.92,3.21,"Which by the way, what we're doing in
the data extraction process, the lab,"
584.16,1.47,"according to Santiago and Nacho,"
585.63,3.15,"this is like 70 to 80% of the
machine learning engineer job."
589.11,3.36,"It's getting the data, the
right data, preparing it,"
592.56,3.6,"making it look nice and neat so that
when you give it to your machine learning"
596.16,2.67,"algorithm, it can learn a lot, learn well."
598.89,3.51,"So right here I'm pulling a bunch of data
down from the API and I'm telling you,"
602.4,3.42,"this lab is so cool because
you're learning what it
takes to predict this kind"
605.825,2.545,"of thing. So right now we're
collecting historical data,"
608.43,2.52,"bunch of data on previous
professional game matches."
610.95,3.66,"So we're pulling all the professional
players and all the matches they've played"
614.61,4.29,"in and just so much data about each of
those things with a goal of then giving"
618.9,4.05,"that data to an algorithm to crunch
it and figure out who's going to win."
623.04,1.32,"Now while we're pulling in this data,"
624.36,3.27,"I think it's important to point out
the third thing you'll need to become a"
627.63,1.17,machine learning engineer.
628.92,3.84,"And that is a little bit of Python and
actually a slightly more than a little,"
632.76,2.91,"you'll want an intermediate
level of Python expertise."
635.73,0.99,"If you don't know what Python is,"
637.02,3.06,"it's a programming language used
by most of it at this point."
640.11,3.0,"And when it comes to data science and
machine learning, it's the darling."
643.17,3.79,"It's what people use. The how do machine
learning engineers use Python? Well,"
646.96,3.48,"in this example right now I'm actually
pulling match information from the Array"
650.445,3.495,"games api, but I'm doing that with
Python code. Here's the code right here."
654.0,2.67,"This code is a function that's getting
player information from the Riot Games"
656.67,0.6,api.
657.27,3.69,"Then we had to use more code to pretty
at the data a bit to prepare it for our"
660.96,3.03,"machine learning algorithm to where
we end up with something like this."
664.11,2.79,"We didn't get the data like this, we
had to shape it and form it with code."
667.11,2.43,"So I do wanna point out that you
don't have to be a Python expert,"
669.69,3.09,"you don't have to develop actual
Python software. But scripting,"
672.84,2.19,"doing intermediate things is
something you want to learn."
675.12,2.16,"Now how do you learn it? Ton
of free resources out there."
677.34,2.79,"Paid options are always good. They
give you a structured process,"
680.13,1.86,it pro TV Code Academy.
682.14,3.51,"I also have a Python course freely
available on YouTube and progress."
685.65,2.76,"But you'll learn a ton. And of course
there are other Python videos on YouTube."
688.5,2.37,"Now at this point you do know a
thing YouTube about machine learning,"
690.87,3.15,"you've dabbled with it, you know some
Python, so you're pretty dangerous."
694.08,3.99,"Now it's time for Kaggle. Step four,
Santiago recommends a course on Kaggle."
698.13,3.36,"The intro to machine learning. This
course right here, I believe it's free."
701.52,1.89,"You don't even have to log
in, which is kind of crazy."
703.47,2.58,"And this will take you into that
next step of machine learning,"
706.05,3.75,"giving you a good base and doing this
will actually help you in the OCI lab."
710.22,2.31,"If we look back at our League
of Legends lab here in oci,"
712.53,1.99,"I'm actually gonna access
the data science section."
714.7,1.56,"And if you went through
the data extraction lab,"
716.26,3.93,"you already have a data science project
and a League of Legends notebook session"
720.22,1.83,"here at our OCI data science environment,"
722.05,3.21,"we have a Jupiter notebook which will
give us a a real taste of what being a"
725.265,2.515,"machine learning engineer is
actually kinda like. Because again,"
727.78,3.51,"this is tools they actually use. Jupiter
notebooks are amazing by the way,"
731.29,3.3,"if you've never used them. And we
got it built in right here into oci."
734.95,1.05,"Through this process,"
736.03,4.2,"you're gonna get to see use and
experience things like pandas, num pie,"
740.35,3.18,"matt plot lib, all things you're gonna
learn through your data science courses."
743.53,4.68,"But in real life and stuff you'll see
what it looks like to split your data into"
748.215,2.995,"test and training data
sets. Now step five,"
751.63,4.23,"you're not gonna like this one math,
you can't escape it. It is part of this."
755.89,3.66,"The good news is that you don't have
to learn a crazy amount according to"
759.55,2.97,"Santiago. All you have to do is
learn high school level math. You."
762.52,3.39,"Have like, let's say
high school, uh, math."
766.78,3.99,"You can get into machine learning,
amica stuff as you need it."
770.86,0.87,"I also asked Nacho,"
771.73,2.04,"do you have to go back to college
to learn all this math stuff?"
773.8,3.45,"No, I mean I couldn't, um,"
778.28,2.18,"disagree more ,
you have a base, but uh,"
780.46,1.83,it's not a hundred percent required.
782.295,4.615,"You don't need a PhD or anything or you
don't need to know deep math to know how"
786.91,1.47,to use something. Now.
