second,duration,transcript
0.0,0.5,Quantum Computers Explained – Limits of Human Technology
0.5,5.62,"For most of our history, human technology consisted of our brains, fire, and sharp sticks."
6.12,4.04,"While fire and sharp sticks became power plants and nuclear weapons,"
10.16,3.12,the biggest upgrade has happened to our brains.
13.28,4.1,"Since the 1960's, the power of our brain machines has kept growing exponentially,"
17.38,4.56,allowing computers to get smaller and more powerful at the same time.
21.94,3.56,But this process is about to meet its physical limits.
25.5,3.36,Computer parts are approaching the size of an atom.
28.86,4.32,"To understand why this is a problem, we have to clear up some basics."
33.18,4.64,In a Nutshell - By Kurzgesagt
39.72,2.82,A computer is made up of very simple components
42.54,1.68,doing very simple things.
44.22,4.8,"Representing data, the means of processing it, and control mechanisms."
49.02,5.62,"Computer chips contain modules, which contain logic gates, which contain transistors."
54.64,3.8,"A transistor is the simplest form of a data processor in computers,"
58.44,4.82,"basically a switch that can either block, or open the way for information coming through."
63.26,3.08,This information is made up of bits
66.34,2.16,which can be set to either 0 or 1.
68.5,4.5,Combinations of several bits are used to represent more complex information.
73.0,5.0,Transistors are combined to create logic gates which still do very simple stuff.
78.0,7.46,"For example, an AND Gate sends an output of 1 if all of its inputs are 1, and a output of 0 otherwise."
85.46,5.54,"Combinations of logic gates finally form meaningful modules, say, for adding two numbers."
91.0,2.76,"Once you can add, you can also multiply,"
93.76,3.4,"and once you can multiply, you can basically do anything."
97.16,3.88,"Since all basic operations are literally simpler than first grade math,"
101.04,5.04,you can imagine a computer as a group of 7-year-olds answering really basic math questions.
106.08,2.6,A large enough bunch of them could compute anything
108.68,1.94,from astrophysics to Zelda.
111.34,2.4,"However, with parts getting tinier and tinier,"
113.74,2.4,quantum physics are making things tricky.
116.54,3.44,"In a nutshell, a transistor is just an electric switch."
119.98,3.18,Electricity is electrons moving from one place to another.
123.16,5.2,"So, a switch is a passage that can block electrons from moving in one direction."
128.36,3.76,"Today, a typical scale for transistors is 14 nanometers,"
132.22,3.26,"which is about 8 times less than the HIV virus' diameter,"
135.52,2.88,and 500 times smaller than a red blood cell.
138.4,3.92,"As transistors are shrinking to the size of only a few atoms,"
142.32,3.6,electrons may just transfer themselves to the other side of a blocked passage
145.92,2.58,via a process called Quantum Tunneling.
148.5,4.76,"In the quantum realm, physics works quite differently from the predictable ways we're used to,"
153.26,3.6,and traditional computers just stop making sense.
156.86,4.36,We are approaching a real physical barrier for our technological progress.
161.22,1.68,"To solve this problem,"
162.9,4.2,scientists are trying to use these unusual quantum properties to their advantage
167.1,2.08,by building quantum computers.
169.18,4.24,"In normal computers, bits are the smallest unit of information."
173.42,4.64,Quantum computers use qubits which can also be set to one of two values.
178.06,2.8,"A qubit can be any two level quantum system,"
180.86,3.44,"such as a spin and a magnetic field, or a single photon."
184.66,2.92,"0 and 1 are this system's possible states,"
187.58,3.38,like the photons horizontal or vertical polarization.
190.96,3.56,"In the quantum world, the qubit doesn't have to be just one of those,"
194.52,3.12,it can be in any proportions of both states at once.
197.9,2.0,This is called superposition.
199.9,4.54,"But as soon as you test its value, say, by sending the photon through a filter,"
204.68,4.06,it has to decide to be either vertically or horizontally polarized.
209.14,1.92,"So as long as it's unobserved,"
211.06,6.0,"the qubit is in a superposition of probabilities for 0 and 1, and you can't predit which it'll be."
217.14,2.0,"But the instant you measure it,"
219.14,2.8,it collapses into one of the definite states.
222.44,2.16,Superposition is a game changer.
224.6,5.58,Four classical bits can be in one of two to the power of four different configurations at a time.
230.38,4.04,"That's 16 possible combinations, out of which you can use just one."
234.7,5.52,"Four qubits in superposition, however, can be in all of those 16 combinations at once."
240.38,3.68,This number grows exponentially with each extra qubit.
244.48,3.76,Twenty of them can already store a million values in parallel.
248.24,4.64,"A really weird and unintuitive property qubits can have is Entanglement,"
252.88,5.24,"a close connection that makes each of the qubits react to a change in the other's state instantaneously,"
258.12,2.08,no matter how far they are apart.
260.2,5.94,"This means when measuring just one entangled qubit, you can directly deduce properties of it's partners"
266.14,1.52,without having to look.
267.68,2.88,Qubit Manipulation is a mind bender as well.
271.16,5.28,A normal logic gate gets a simple set of inputs and produces one definite output.
276.44,5.2,"A quantum gate manipulates an input of superpositions, rotates probabilities,"
281.68,3.28,and produces another superposition as its output.
284.96,6.5,"So a quantum computer sets up some qubits, applies quantum gates to entangle them and manipulate probabilities,"
291.46,6.16,"then finally measures the outcome, collapsing superpositions to an actual sequence of 0s and 1s."
297.62,6.6,"What this means is that you get the entire lot of calculations that are possible with your setup, all done at the same time."
304.22,5.14,"Ultimately, you can only measure one of the results and it'll only probably be the one you want,"
309.36,3.04,so you may have to double check and try again.
312.4,3.56,"But by cleverly exploiting superposition and entanglement,"
315.96,4.54,this can be exponentially more efficient than would ever be possible on a normal computer.
320.5,4.96,"So, while quantum computers will not probably not replace our home computers,"
325.92,2.64,"in some areas, they are vastly superior."
328.56,2.24,One of them is database searching.
330.8,5.02,"To find something in a database, a normal computer may have to test every single one of its entries."
335.82,3.28,"Quantum computers algorithms need only the square root of that time,"
339.1,3.2,"which for large databases, is a huge difference"
342.46,4.16,The most famous use of quantum computers is ruining IT security.
346.64,5.44,"Right now, your browsing, email, and banking data is being kept secure by an encryption system"
352.08,4.42,in which you give everyone a public key to encode messages only you can decode.
356.5,5.62,The problem is that this public key can actually be used to calculate your secret private key.
362.12,5.44,"Luckily, doing the necessary math on any normal computer would literally take years of trial and error."
367.56,4.8,But a quantum computer with exponential speed-up could do it in a breeze.
372.44,3.02,Another really exciting new use is simulations.
375.46,3.56,"Simulations of the quantum world are very intense on resources,"
379.02,4.96,"and even for bigger structures, such as molecules, they often lack accuracy."
384.02,4.32,So why not simulate quantum physics with actual quantum physics?
388.34,5.96,Quantum simulations could provide new insights on proteins that might revolutionize medicine.
394.32,4.14,"Right now, we don't know if quantum computers will be just a specallized tool,"
398.5,2.24,or a big revolution for humanity.
400.76,3.04,"We have no idea where the limits of technology are,"
403.8,2.32,and there's only one way to find out.
406.54,4.08,"This video is supported by the Australian Academy of Science,"
410.62,3.44,which promotes and supports excellence in science
414.44,4.08,Learn more about this topic and others like it at nova.org.au
418.52,3.44,"It was a blast to work with them, so go check out their site!"
421.96,4.24,Our videos are also made possible by your support on patreon.com.
426.2,6.4,"If you want to support us and become part of the Kurzgesagt bird army, check out our Patreon page!"
432.98,2.66,"Subtitles by James Zhang
[revised by Pietro Pasquero]
[corrected by P0ck3tL1nt]"
