second,duration,transcript
45.969,11.72,In
57.689,5.31,"the previous lecture we had looked at the
basic building blocks which are required to"
62.999,2.06,construct the processor design.
65.059,6.84,"We will now try to put these together to come
up with a very simple design and later on"
71.899,5.071,"we will look at the performance issues and
try to improve the design."
76.97,8.079,"So what we will do today is have a simplest
possible solution to the problem of taking"
85.049,7.11,"a set of instructions and having a circuit
to execute those instructions."
92.159,7.55,"So we will build this design in small steps
that you can see each and every step clearly"
99.709,4.95,"and get a clear picture of how the circuit
is getting designed."
104.659,4.771,We will start with small set of instructions.
109.43,7.7,"First we will take only R - class instructions
which includes arithmetic, logical and comparison;"
117.13,3.26,"add, subtract, AND, OR and slt."
120.39,4.17,"So, that will be only part of the solution
then we will add instruction by instruction"
124.56,3.88,and see how the whole thing can be built.
128.44,7.2,"So, with the basic skeleton of the design
we will include other instructions step by"
135.64,1.0,step.
136.64,6.31,"So first we will include load store instructions
to the basic set of four five instructions"
142.95,3.539,"and then we will include the jump and branch
instructions."
146.489,6.151,"So, after having put the data path together
we will try to see how you control it; what"
152.64,6.08,"actually is required in terms of control signals
to make it do the right operation at the right"
158.72,5.01,"time
and we will interconnect a controller to this"
163.73,2.08,data path which we will build.
165.81,5.5,"We will not go into detailed design of the
controller; that we will take up in the next"
171.31,1.679,class.
172.989,5.901,"So, once again let us look at the subset of
the instructions which we have set out to"
178.89,2.78,consider for building this data path.
181.67,5.27,"Among the arithmetic and logical instructions
we have this five add, subtract, two arithmetic"
186.94,4.83,"instructions; AND, OR two logical instructions
and slt which does the comparison."
191.77,5.64,"So they are all of same class in the sense
that they take two operands from registers,"
197.41,4.64,"perform some operation, put the result in
register."
202.05,5.56,"Then we come to load and store which access
memory."
207.61,6.349,"So basically the data is transferred between
register file and memory one way or the other"
213.959,4.751,"and then instructions which influence the
flow of control beq which does a comparison"
218.71,6.669,"and then decide which it go and jump which
is a conditional jump instruction."
225.379,7.411,"As I mentioned in the last class the whole
design will have two parts: the data path"
232.79,1.68,and the controller.
234.47,5.159,"The signal which go from controller to the
data path are called control signals and the"
239.629,5.341,"signal which comes from data path to the controller
is considered as a status signal."
244.97,6.6,"So controller times the activities in the
data path and also directs what has to be"
251.57,3.52,done in which clock cycle or which instant.
255.09,9.1,"So, the status signal is information the controller
seeks from the data path to decide the actions."
264.19,8.3,"Now we are going to begin with these five
instructions: add, subtract, AND, OR and slt."
272.49,5.669,"The process involve or the actions which will
be required would be to get the instruction"
278.159,7.97,"from the memory, taking program counter contents
as address then depending upon the fields"
286.129,5.461,"which contain register values we access the
register file."
291.59,6.791,"So the register the register addresses will
come from the instruction fields and the operand"
298.381,5.519,"which we get from register file are passed
on to ALU, then the result produced by ALU"
303.9,5.07,"is passed on to the register file and we also
increment the PC and make it ready for the"
308.97,1.27,next instruction.
310.24,4.72,"So, before we begin let us look at the format
of these instructions."
314.96,10.2,"The format has several fields; a 6-bit field
is the opcode field and for all these instructions"
325.16,1.0,this is common.
326.16,8.25,"There is a same there is a single code which
actually defines this; a larger group than"
334.41,6.789,"this this is only a subset of all the instructions
which have a common opcode here, then there"
341.199,5.271,"is a source register 5-bit, third register
5-bit these two are the operands these two"
346.47,7.35,"specify addresses of the operands and another
5-bit field specifies the address of the destination."
353.82,7.349,"So all these are numbers from 0 to 31 and
specify one of the registers."
361.169,6.111,"Then this is unused in some instructions this
is used to specify shift amount and it is"
367.28,6.19,"this field which is called function field
which will distinguish these five instructions"
373.47,5.55,"from one another and also from other instructions
which are part of the group."
379.02,6.22,"So we would need to look at all the fields
except for this field which is just to be"
385.24,3.739,ignored
388.979,6.021,"So the action begins by fetching an instruction
from the program memory."
395.0,8.72,"We have a program counter, a register which
will carry the address of the current instruction"
403.72,3.4,and there is an instruction memory.
407.12,4.61,"Instruction memory in this design will be
assumed to be having fixed contents, we are"
411.73,6.87,"not going to change the contents so the only
input to this is an address input and the"
418.6,2.61,"only output is an instruction which come out
of this."
421.21,6.44,"So you given address instantly the instruction
comes out; we assume that the program is somehow"
427.65,3.11,stored in this memory already by some means.
430.76,7.26,"In fact such memories are called read only
memories if you are familiar with where by"
438.02,5.5,"a special process you load the contents in
the memory and then you can only access it"
443.52,1.0,you can read it.
444.52,4.3,"So, in that sense this will behave like a
combinational circuit; does not require a"
448.82,6.069,"clock, so you given an input you have an output
but the function which transforms input and"
454.889,5.081,"output is fixed and by a special process it
can be changed."
459.97,8.9,"Therefore, the PC feeds the address input
of this memory and we get an instruction."
468.87,10.51,"The next thing is to look at the instruction;
various fields in instruction and address"
479.38,1.47,the register file.
480.85,5.31,"So, particularly for these five instructions
we are talking of, we need to access rs and"
486.16,7.24,"rt which was in second and third field in
the instruction if you remember and bits of"
493.4,5.69,"this 32-bit instruction which we are getting
would be used to address register file."
499.09,8.09,"So register file as I discussed yesterday
is specifically for this particular design;"
507.18,6.299,"we need register file as an array of register
with a provision of reading two values at"
513.479,8.021,"a time; you can read two registers and you
can write one register at any given time."
521.5,6.43,"So now the addresses for these three things:
two readings and one writing is provided independently."
527.93,7.149,"They could be in general different, two or
more also can coincide but a register file"
535.079,6.401,will respond correctly in all these cases.
541.48,5.44,"The three address inputs are read address
1, read address 2 and write address; these"
546.92,6.109,"are the three inputs, each of these are 5
bits, there are two data outputs: read data"
553.029,6.901,"1 and read data 2 and there is one data input
write data."
559.93,7.17,"Hence, we have instructions which is 32 bits
so specific fields are being tapped out of"
567.1,1.01,this.
568.11,9.68,"From bit number 21 to 25 this is rs the source
register and that goes to one address; bit"
577.79,7.849,"number 16 to 20 forms a field which defines
rt or the third register, this goes and addresses"
585.639,3.13,rad2 or the second read address.
588.769,12.04,"So, out of these 32 bits we are taking two
groups of 5 bits and connecting it to the"
600.809,1.08,register file.
601.889,8.591,"Now, once addresses are given this register
file will respond with data here and the operand"
610.48,2.26,"which will come out of this will need to be
passed on to the ALU."
612.74,9.499,"So we have an ALU; imagine the same design
which we did couple of lectures back where,"
622.239,4.171,"by specifying some control signal you could
perform addition, subtraction, AND operation,"
626.41,7.289,"OR operation you could do comparison for equality,
you could do comparison for less than for"
633.699,7.241,"the purpose of slt so same ALU we are putting
now as a block box, we are not looking into"
640.94,4.73,"details of what is inside, we understand that
design and we are simply using it to build"
645.67,4.05,a larger circuit now.
649.72,10.969,"So these two outputs are forming two inputs
or two operands for the ALU and next the result"
660.689,10.861,"which is produced by ALU would be ha[ve] would
be sent to register file for storage and that"
671.55,6.209,"is where the cycle of flow of data or cycle
of instruction would be complete."
677.759,7.041,"So now, at the moment I am not worrying about
how to control ALU to do the right function."
684.8,5.33,"Now we are looking at those five instructions
together and ALU would need to be told which"
690.13,1.189,of these instructions is.
691.319,5.92,"So we will, eventually when we talk of control
we will look at bit number 26 to 31 the opcode"
697.239,6.65,"field and bit number 0 to 5 bit number 0 to
5 the function field we will look at those"
703.889,4.8,"fields and then pass on some signals to ALU
so that it does the right operation."
708.689,7.671,"Right now we are not distinguishing between
those files but just looking at the overall"
716.36,1.0,flow of the data.
717.36,8.839,"The output of the ALU goes back to this register
file to the right port."
726.199,7.39,"Let me just emphasis the terminology; these
are called ports for the register file; port"
733.589,4.761,"meaning there is something like a gateway
so there are two read ports in this and then"
738.35,5.109,"one write port and this is going back to the
write port."
743.459,7.81,"Therefore, now when we are writing we also
need to arrange for the address where it has"
751.269,6.11,"to be written so we need to look at another
field from here and make sure that the address"
757.379,3.51,"is also delivered correctly to the register
file."
760.889,9.91,"So, bit number 11 to 15 are the destination
address and that connects to the third address"
770.799,1.5,input.
772.299,3.741,So now with this the cycle is complete.
776.04,6.64,"So basically starting with PC we have a sequential
element here so at the edge of the clock a"
782.68,6.519,"new value is available at the output of PC
which defines address of a new instruction"
789.199,4.79,"and as a function of that we get the instruction,
as a function of that we get these operand,"
793.989,4.511,"as a function of that we get the result and
finally the result is available at the input"
798.5,1.239,of the register file.
799.739,6.72,"Therefore, now at this point when a clock
edge comes to the register file this information"
806.459,1.511,will get stored at that instant.
807.97,5.169,"So we are assuming that transition in the
state of register file would be edge triggered."
813.139,8.22,"So you have one clock at which PC gets the
value and at the next edge of the clock the"
821.359,5.611,"result of this instruction will get stored
in the register file and at the same time"
826.97,6.489,"we will arrange we will see in the next slide
that PC will have to get a new value and be"
833.459,2.16,ready for the next instruction.
835.619,6.331,"So let us a complete that part and see how
PC is to be incremented."
841.95,6.609,"So all we need to do is have a 4 added to
the PC contents and connect the result back"
848.559,2.371,to the input of PC.
850.93,8.149,"This is an adder with one input as 4, one
input as PC and output of this is going back"
859.079,1.57,to PC.
860.649,10.74,"So you give, let us say, at time t the output
of PC was available for a new instruction"
871.389,4.79,"and then at time t plus 1 I am counting time
in terms of clock cycles not in nanoseconds"
876.179,1.0,alone.
877.179,8.95,"So at time t plus 1 which is the next clock
you get a trigger here and trigger there so"
