second,duration,transcript
0.6,6.199,[Music]
8.16,2.88,hello
8.8,3.28,and welcome to pseudocode today we are
11.04,3.599,going to talk about
12.08,4.48,databases in this video we are going to
14.639,3.841,cover different types of databases what
16.56,4.0,are the use case and examples
18.48,3.2,the pros and cons of the same so let's
20.56,3.44,get started
21.68,4.08,if we go back to the visual metaphor of
24.0,3.76,buildings that we have talked about
25.76,3.439,and in the previous video we discussed
27.76,4.72,how we can compare
29.199,5.441,people to data if people are like data
32.48,4.079,in terms of buildings then what could be
34.64,4.88,databases
36.559,3.84,the way those buildings house people for
39.52,3.039,example
40.399,3.761,rooms in a hospital look different from
42.559,3.601,rooms in a hotel
44.16,3.6,in a movie theater there are chairs
46.16,3.04,lined up in front of the screen so that
47.76,3.68,people can sit and watch a movie
49.2,3.519,in malls there are big large spaces so
51.44,4.4,that people can move around
52.719,3.52,similarly different databases depending
55.84,3.359,on
56.239,3.441,the property of data and the volume of
59.199,3.2,data
59.68,4.559,querying requirements provide different
62.399,4.161,features and the way to store
64.239,3.92,data so in this video we are going to
66.56,2.16,see how those different types of
68.159,2.561,database
68.72,3.6,provide and fulfill such requirements
70.72,4.24,some popular type of databases
72.32,4.799,are relational non-relational file type
74.96,4.56,dbs network dbs etc
77.119,3.281,in this video we are going to focus on
79.52,3.44,relational
80.4,3.2,and non-relational dbs non-relational
82.96,2.56,db's
83.6,3.28,are again divided into multiple types
85.52,4.32,like key value stores
86.88,4.32,column based dbs document based db's
89.84,3.04,search db's etc
91.2,3.76,so we will look into those examples as
92.88,2.8,well relational dbs are the most popular
94.96,3.519,ones
95.68,3.6,and here are the two factors that help
98.479,2.481,you decide
99.28,3.519,whether you have to select a relational
100.96,4.56,db for your use case or not
102.799,3.841,schema and asset properties let's talk
105.52,3.84,about schema
106.64,4.479,schema in relational dbs refers to how
109.36,6.399,your data is going to be structured
111.119,8.721,so in relational dbs you have tables
115.759,6.801,and rows which store the data
119.84,4.72,so if your data can be represented in
122.56,3.68,the form of tables and rows
124.56,3.52,while satisfying the property of
126.24,3.519,relational db's like if your data is
128.08,3.2,complex and it could be represented
129.759,3.84,using relational tables
131.28,3.84,easily then you select uh relational
133.599,3.28,labels a classic example
135.12,3.199,is employees data so you have an
136.879,6.161,employees table
138.319,6.801,a department table an account table
143.04,4.48,so employees table is going to store the
145.12,5.68,data of employees like name
147.52,6.719,age phone number uh city
150.8,7.36,department id account id etc
154.239,6.241,now this id refers to the primary key or
158.16,5.04,the unique id which identifies
160.48,4.399,every employee and department id and
163.2,4.64,account id are foreign keys
164.879,4.161,which identifies which department this
167.84,3.039,employee belongs to
169.04,4.08,and what is the account id of this
170.879,4.161,employee so these are called foreign
173.12,4.16,keys the department table will have
175.04,4.64,details like the name of the department
177.28,4.16,when it was a started and other details
179.68,2.639,an account id will have other details
181.44,4.159,like balance
182.319,4.161,and so on now how schema constraints
185.599,2.72,come into the picture
186.48,3.44,employee data will have requirement that
188.319,2.64,one employee has to belong to a
189.92,2.959,department
190.959,3.041,and that employee has to have an account
192.879,2.961,as well so
194.0,3.599,department and account cannot be null
195.84,2.64,that is a schema constraint and if your
197.599,2.72,data
198.48,3.119,can satisfy that and you know that that
200.319,2.081,this is going to be the structure of
201.599,2.481,your data
202.4,3.759,we make the decision of selecting
204.08,4.799,relation dbs what are the benefits
