second,duration,transcript
9.89,2.57,"- Hello everyone, my name's
Nathan Earnest-Noble."
12.46,2.3,"I'm a quantum computing
applications researcher"
14.76,1.16,at IBM Quantum.
15.92,1.87,"And today I'm gonna be
giving two lectures,"
17.79,1.85,"the first of which is this,"
19.64,2.74,the quantum hardware introduction.
22.38,3.09,"So in this talk, I really am
hoping to give you a sense"
25.47,2.9,"of some of the details
behind quantum hardware,"
28.37,3.117,"and how one can generally
design quantum hardware,"
31.487,1.203,and a few other things.
32.69,4.02,"So jumping into the details
of the overview of my talk,"
36.71,1.73,we're going to start off first by giving
38.44,2.157,a brief review of superconducting qubits
40.597,2.673,"and this idea of circuit
quantum electrodynamics,"
43.27,1.53,which is the paradigm that we use
44.8,2.46,to realize quantum computers at IBM.
47.26,3.38,I'm then going to discuss an overview
50.64,1.53,of some typical device errors
52.17,3.88,"and within a few of these,
highlight the details on them,"
56.05,3.12,"as well as some error mitigation
strategies that you can use"
59.17,2.81,"to sort of reduce the
impact that these will have"
61.98,2.89,"on whatever quantum circuit
you're trying to run."
64.87,1.8,"And then I'll finish
off discussing this idea"
66.67,2.31,"of quantum process
tomography, which is a way"
68.98,3.52,"in which you can sort of measure
the quality of your gates"
72.5,1.64,specifically trying to point out how
74.14,1.93,"this might be relevant
to some of the things"
76.07,3.07,"that we have for the
quantum lab coming up."
79.14,2.2,"I just wanted to say, trying to give"
81.34,4.39,"a quantum hardware introduction
in one hour is quite a feat."
85.73,3.24,"One that I don't really intend
to do in the utmost detail."
88.97,2.14,So really what I hope to do in this talk
91.11,3.577,"is give you a sense of the
forest of quantum hardware."
94.687,2.953,"And so you can sort of see
all the different varieties"
97.64,2.16,"of things that exist out there,"
99.8,2.43,"and then hopefully point
you in the right direction"
102.23,2.4,"for resources, if you care really dive in"
104.63,2.31,and understand the details of it more.
106.94,4.0,"So, to that end in our global
summer school from last year,"
110.94,3.7,"Zlatko Minev gave a
fantastic set of lectures"
114.64,3.73,consisting of six hours of material.
118.37,2.93,"And so much of what I'll
be talking was touched on"
121.3,1.44,in some of his lectures.
122.74,2.32,So I will try and point you to them
125.06,2.07,whenever it is appropriate.
127.13,1.48,"So with that said, let's go ahead"
128.61,1.88,and jump into this first thing
130.49,1.807,of reviewing superconducting qubits
132.297,1.75,and this idea of circuit computing.
135.04,3.97,So superconducting qubits are made
139.01,2.033,from superconducting circuits.
141.88,1.01,"Of these circuits,"
142.89,2.17,"there are sort of three
essential components"
145.06,1.84,that really we use to build up
146.9,1.45,a variety of different flavors
148.35,1.95,of superconducting qubits.
150.3,3.38,The first is just going to be a capacitor.
153.68,2.64,"So how the capacitor
ends up being realized"
156.32,2.1,"can be done in a variety
of different ways."
158.42,2.61,"Here on the figure, I've
shown one such realization"
161.03,1.62,where it's a coplanar capacitor.
162.65,1.57,"So you'd have two metal plates,"
164.22,2.21,that sort of exist next to each other.
166.43,2.25,And it's the dimensions of these plates
168.68,2.74,and the material that they're sitting on
171.42,1.89,that will ultimately dictate
173.31,2.35,what amount of capacitance they have.
175.66,0.92,"Then at the bottom here,"
176.58,3.75,"I have some mathematical
description of the Hamiltonian."
180.33,2.58,"So namely the number of
charge on these plates,"
182.91,2.85,"Q squared divided by two
times the capacitance"
185.76,2.26,will give you a sense of the Hamiltonian
188.02,2.38,or the energy of the system.
190.4,2.14,"Moving on to the next element
that we're going to want"
192.54,5.0,"in our superconducting qubits
is this idea of an inductor."
197.67,2.19,Inductors generally are realized
