second,duration,transcript
0.0,3.84,hi this is inval innovation youtube
1.839,4.161,channel welcome to the brand new series
3.84,4.48,on git in this video we are going to see
6.0,4.719,why we need version control key benefits
8.32,4.399,of using version control two major
10.719,4.641,divisions of version control one based
12.719,5.041,on topology of the project and another
15.36,4.8,how we represent the versions so based
17.76,4.56,on the topology we have centralized
20.16,4.24,version control and decentralized
22.32,4.799,version control centralized version
24.4,5.36,control example is svnda centralized
27.119,5.041,version control is git based on how we
29.76,4.72,represent version it is classified into
32.16,4.72,snapshot based version control and delta
34.48,4.72,based version control and we will also
36.88,5.12,see what is good and benefits of using
39.2,5.519,git and introduction to key terminology
42.0,4.64,in git this is part one of this series
44.719,4.32,we will cover a lot about git in the
46.64,4.64,coming videos if you haven't subscribed
49.039,4.881,till now try subscribing this channel
51.28,4.08,that will motivate me to put more videos
53.92,2.799,and thanks if you have already
55.36,3.44,subscribed
56.719,3.84,this video is divided into chapters so
58.8,3.919,that you can navigate to any particular
60.559,4.481,chapters with the timestamp we are going
62.719,4.561,to see why we need version control in
65.04,4.0,the first place and why it is mandatory
67.28,2.879,for a developer to work with version
69.04,3.119,control
70.159,4.64,version control is a system that
72.159,5.361,requires changes to a file or a setup
74.799,5.36,file over time so that you can recall
77.52,5.12,specific questions later version control
80.159,4.481,is also called as revision controller
82.64,4.72,source control for example you are
84.64,5.68,editing image today and opening it
87.36,4.799,tomorrow and making some more changes
90.32,3.759,then you feel like you messed up
92.159,3.521,something today and we want to go back
94.079,4.481,to the previous version which you have
95.68,5.439,saved yesterday one way to handle this
98.56,4.96,without version control is save each
101.119,4.561,version daily make a copy of yesterday's
103.52,4.959,version and work on it this will work
105.68,4.88,well if you have minimal change and what
108.479,4.881,happens if you are working on a very big
110.56,4.48,project which spans over a year and
113.36,4.719,daily you want to create multiple
115.04,4.88,versions on one biggest problem is it
118.079,3.441,will become clumsy and data size
119.92,3.76,increases
121.52,4.48,what if multiple people want to
123.68,4.559,contribute to the same project this is
126.0,4.8,where we need version control and
128.239,5.441,provided we are working remote now the
130.8,4.96,version control tool is mandatory if you
133.68,4.88,are a graphic or web designer or a
135.76,5.68,software engineer and want to keep every
138.56,5.28,version of image or layout or code base
141.44,4.0,which you would most certainly want to a
143.84,4.08,version control is very wise thing to
145.44,5.12,use it allows you to revert selected
147.92,4.88,files back to a previous state revert
150.56,5.2,the entire project back to the previous
152.8,5.84,state compare changes over time compare
155.76,5.36,between different branches and see who
158.64,4.959,last modified something and that might
161.12,5.36,be causing a problem who introduced the
163.599,5.441,issue win and more using a version
166.48,5.68,control also means if you screw things
169.04,5.68,up or lose files you can easily recover
172.16,4.96,in addition you will get all this with a
174.72,4.48,very little overhead there are lots of
177.12,4.64,benefit if you use version control
179.2,5.679,system now we will discuss about some of
181.76,6.08,the key important benefits first thing
184.879,4.961,is code together now in current world
187.84,4.399,code together is very essential because
189.84,4.479,you are from any part in the world
192.239,3.92,version control synchronizes versions
194.319,4.64,and make sure that your changes don't
196.159,4.16,conflict with other changes from your
198.959,3.601,team members
200.319,5.361,your team relies on version control to
202.56,6.0,help resolve and prevent conflicts even
205.68,5.199,when people changes at the same time so
208.56,4.399,developers can work remotely and still
210.879,4.321,make sure that the changes are not
212.959,4.241,conflicting with each other and they can
215.2,4.64,work on same feature parallely if
217.2,5.119,there's a conflict they can resolve at
219.84,4.479,the earliest stage possible for example
222.319,4.161,there are two developers who are working
224.319,4.081,on the same project one developer commit
226.48,4.479,the initial version to the remote
228.4,4.64,repository and another developer who can
230.959,4.801,be working from a different geographical
233.04,5.04,area can take this file and modify this
235.76,5.199,file and push it back to the same remote
238.08,5.519,repository by this way they can code
240.959,4.721,together on the same code base using
243.599,4.56,this version control tool
245.68,4.32,next is versioning think the software
248.159,4.481,which you are creating as different
250.0,4.72,versions in this case you can easily
252.64,4.4,create multiple branches and that
254.72,4.56,multiple branches can support different
257.04,4.319,versions so version control allows you
259.28,4.72,to save changes to each version
261.359,4.961,individually and without affecting other
264.0,4.72,version and you will also work on
266.32,4.319,multiple versions parallelly you no need
268.72,4.0,to wait for one version to go to
270.639,3.041,production to work on the different
272.72,2.96,version
273.68,3.04,next important thing is keeping a
275.68,3.2,history
276.72,5.12,version control tags the history of
278.88,5.92,changes as your team saves new version
281.84,5.919,of code this history can be used to find
284.8,5.2,who when and why changes are made and
287.759,4.241,even what changes are made history gives
290.0,3.919,you the confidence to experiment since
292.0,3.68,you can roll back to any previous good
293.919,4.481,version at any time
295.68,5.519,history lets your base work from any
298.4,5.2,version of code such as to fix a bug in
301.199,4.481,the previous release for example here
303.6,4.879,there are two developers who are working
305.68,5.04,remotely each commit made by a developer
308.479,4.641,has the information such as when the
310.72,4.8,commit is made who did the commit and
313.12,5.12,descriptive message developer added to
315.52,4.399,the commit change history and unique
318.24,4.0,commit hash
319.919,5.441,we also have some of the very important
322.24,5.36,benefits in today's world that is cicd
325.36,4.399,version control automation features it
327.6,5.28,saves your team time and generate
329.759,5.041,consistent results ultimate unit testing
332.88,4.08,static code analysis security
334.8,4.16,vulnerabilities at the earlier stage
336.96,4.4,possible and deploy when the versions
338.96,4.56,are saved to version control and you can
341.36,4.32,even set up your own continuous
343.52,4.16,integration continuous deployment to a
345.68,3.6,code base so that whenever user commits
347.68,4.16,to a particular branch it will be
349.28,4.8,deployed to any environment possible and
351.84,5.52,you can also automate different tasks
354.08,5.52,whenever a user commits to the repo
357.36,4.08,workflow version control workflows
359.6,3.68,prevent the chaos of everyone using
361.44,4.64,their own development process with
363.28,4.639,different and incompatible tools version
366.08,4.8,control system provides process
367.919,5.28,enforcement and permissions so everyone
370.88,4.319,stays on the same page for example let's
373.199,4.241,consider two developers working on a
375.199,4.881,javascript project for which they are
377.44,4.96,not using version control let's take one
380.08,4.239,using gulp js to automate time consuming
382.4,4.639,task and another one using grunt to
384.319,5.041,automate time consuming task now when
387.039,3.361,they want to merge their code they need
389.36,4.0,to use
390.4,5.28,not two but one so it requires
