second,duration,transcript
8.8,5.759,hello and welcome to this session on sql
12.16,4.64,server tutorial
14.559,5.601,today we are going to talk about
16.8,5.76,sql server what benefit it provides
20.16,5.119,and some queries and some
22.56,7.76,sql syntaxes which will help you
25.279,7.761,understand how to use sql queries
30.32,5.52,now let's see what's in it for us today
33.04,5.039,we will discuss what is sql server
35.84,4.64,the usage of sql server
38.079,4.081,different sql server editions and the
40.48,4.399,differences between them
42.16,4.48,and then what are the advantages of sql
44.879,4.401,server instances
46.64,4.079,and after that i'll show you execution
49.28,4.24,of some queries
50.719,5.201,some insert statements on the sql server
53.52,5.359,instance which i have installed
55.92,5.279,now what is sql server in any
58.879,4.48,application development today in any
61.199,5.28,computer application which we develop
63.359,5.281,database sql server plays a very
66.479,5.041,important and pivotal role
68.64,4.24,sql servers are used for persistence of
71.52,4.48,information
72.88,4.16,in your database which can be retrieved
76.0,3.36,mined
77.04,4.56,data mined or you can query it at a
79.36,5.92,later point of time
81.6,4.879,the benefit of having any sql server is
85.28,3.76,that data
86.479,3.841,is persisted in a structured
89.04,4.96,efficient
90.32,6.4,manner so that it can be retrieved later
94.0,5.6,quickly and meaningfully
96.72,5.359,so sql server is a relational database
99.6,5.76,management system in which you can
102.079,5.921,create tables two-dimensional tables
105.36,5.68,and connect them using referential
108.0,5.759,integrity like primary key foreign key
111.04,4.24,and other kind of integrity constraints
113.759,2.801,you can maintain in this relational
115.28,4.64,database
116.56,6.159,sql server is developed and marketed by
119.92,4.799,microsoft so this is a microsoft product
122.719,3.76,but it is compatible with all the
124.719,4.561,technologies which you want which you
126.479,6.241,might be using or you might want to use
129.28,5.52,like node.js java etc where you want to
132.72,5.2,connect your middleware
134.8,4.48,application server with microsoft sql
137.92,4.64,server
139.28,5.2,now what is the usage of sql server
142.56,3.84,apart from the
144.48,4.399,definition which i just shared with you
146.4,5.839,for maintaining and building databases
148.879,6.321,persistent databases there are other
152.239,6.08,usages also which i'll explain you
155.2,6.48,now the first one is sql server analysis
158.319,6.241,service which is used to analyze data
161.68,6.48,now the sql server analysis service or
164.56,4.48,ssas is a multi-dimensional analysis
168.16,3.12,tool
169.04,5.12,that features online analytical
171.28,6.0,processing provide powerful data mining
174.16,5.04,capabilities and deeper dimensions to
177.28,3.44,business information within a relational
179.2,5.2,database
180.72,6.239,multi-dimensional analysis is an online
184.4,3.6,analytical processing technique olap
186.959,3.601,technique
188.0,5.36,that produces the ability to analyze
190.56,5.92,large quantities of data by storing data
193.36,4.4,in access and cells instead of
196.48,3.92,traditional
197.76,4.24,relational two-dimensional view in rows
200.4,4.4,and columns
202.0,5.36,ssas places predictive analytic
204.8,5.12,capabilities in the hands of information
207.36,5.04,workers by creating an instant
209.92,4.56,connection to backend data using
212.4,5.68,familiar applications such as microsoft
214.48,7.28,excel sharepoint etc for analysis visual
218.08,5.04,representation and collaboration
221.76,3.839,the next is
223.12,4.56,sql server reporting services which is
225.599,5.36,used to generate reports
227.68,5.839,now ssrs is a framework of reporting
230.959,5.28,mechanisms such as the report builder
233.519,5.761,report designer report manager and
236.239,5.521,report server that work together through
239.28,5.2,a web interface to enable the
241.76,5.52,development of concise interactive
244.48,4.24,reporting solutions in print or web
247.28,4.159,format
248.72,5.36,report builder and report designer are
251.439,3.921,two ssrs components for generating
254.08,3.679,reports
255.36,4.879,report builder is a simple solution for
257.759,4.961,the information worker or business user
260.239,4.801,to create quick reports without the need
262.72,3.6,to understand the core structure of the
265.04,3.439,data
266.32,4.96,the report designer is a tool for
268.479,4.961,developers because it adds complexity to
271.28,4.16,custom reports development and you
273.44,3.68,create data models in it
275.44,3.039,using this tool requires an
277.12,4.079,understanding of the business
278.479,4.241,intelligence development studio shell in
281.199,3.44,visual studio
282.72,5.12,and the underlying structure of the data
284.639,5.84,so you have to be aware of it thoroughly
287.84,5.6,according to microsoft the report server
290.479,5.681,is the core process engine in ssrs that
293.44,5.6,manages the processing
296.16,5.44,and delivery of reports using processors
299.04,5.28,the report manager is an administrative
301.6,5.28,tool that controls reporting services
304.32,4.96,through a web interface
306.88,4.8,now let's talk about another important
309.28,5.759,component which is sql server
311.68,6.16,integration services ssis which is being
315.039,4.72,used to perform atl operations extract
317.84,4.88,transform load
319.759,4.801,now ssis is the data warehousing arm of
322.72,5.199,the sql server
324.56,6.0,equipped with superior extract transform
327.919,5.12,and load capabilities etl
330.56,4.88,it provides the vehicle for moving data
333.039,5.361,from different data sources to another
335.44,5.599,and changing the data if necessary the
338.4,4.16,three components in the ssis platform
341.039,2.481,for starting the data integration
342.56,4.639,process
343.52,7.36,are the import and export wizard ssis
347.199,5.921,designer and ssis api programming
350.88,4.8,the import and export wizard simply
353.12,4.639,transfer data from source to destination
355.68,5.28,but does not include data transformation
357.759,5.361,capabilities it's the ssis designer is
360.96,3.28,an integrated component of the business
363.12,3.68,intelligence
364.24,4.399,development studio used for the
366.8,4.48,development and maintenance of
368.639,5.921,integration service packages
371.28,6.08,ssis api programming module allows you
374.56,5.04,to code ssis packages using any number
377.36,3.839,of programming languages so there are a
379.6,3.68,lot of features which are available to
381.199,3.921,you in order to
383.28,4.0,manage your data create your data
385.12,4.4,pipeline structure it
387.28,5.039,build visualization reports
389.52,5.76,perform etl operations etc so it's an
392.319,4.401,entire solution enterprise solution
395.28,4.24,now let's see what are the different
396.72,4.96,kind of sql server editions microsoft
399.52,5.119,provides five additions with various
401.68,4.32,tools and services and pricing options
404.639,3.84,as per the needs
406.0,4.8,so enough two editions of sql server
408.479,5.681,which are free of charge are sql server
410.8,6.08,developer and sql server express
414.16,5.68,now the developer sql server edition
416.88,5.28,works and function exactly like an
419.84,4.16,enterprise sql edition the only
422.16,4.64,difference is the license is used for
424.0,4.639,testing and development purpose only
426.8,3.679,this addition is generally used by
428.639,4.161,developers to build and test
430.479,4.961,applications on top of the sql server
432.8,5.839,but they can't take it to the production
435.44,6.24,sql server express edition now is the
438.639,5.921,free entry level database version and is
441.68,4.72,ideal for learning and building desktop
444.56,4.56,and small server data driven
446.4,4.239,applications but not meant for any
449.12,4.0,serious computation
450.639,4.96,while also having incredibly limited
453.12,2.479,features
456.319,4.561,now the other additions are used for
458.88,5.439,commercial purposes
