second,duration,transcript
0.96,1.36,"Hey, I've got a question for you."
2.32,2.64,"What's the difference between a data
analyst and a data scientist?"
5.0,3.6,"Well, in this video,
we're going to give you the answers."
8.6,5.0,"From health care to ride hailing apps,
online shopping to streaming services -"
13.6,3.92,"big data has transformed applications and
the way in which we interact with them."
17.52,0.8,Underpinning all of
18.32,4.56,"this is the emergence of two key
fields: data analytics and data science."
22.96,1.92,"Before we get started,
I want to know any questions"
24.88,3.04,"that you have about data analytics
or data science in the comments below."
27.96,0.68,"In this video,"
28.64,3.52,"we'll cover what data science is,
what data analytics is, the key"
32.16,3.04,"differences between them and provide you
with some final key takeaways."
35.28,2.24,"Let's dive straight in
and look at data science first."
40.76,2.2,Data science is a multidisciplinary field.
43.04,3.04,"That, as the name suggests, focuses
primarily on data."
46.08,3.68,"As an area of scientific study,
it can be applied in numerous areas,"
49.76,3.84,"from finance to retail to e-commerce
to healthcare and much more."
53.6,3.88,"As a multi-disciplinary field,
data science brings together key skills"
57.48,0.92,ranging from data
58.4,3.88,"analytics and machine learning to computer
science and artificial intelligence."
62.32,4.12,"The aim of data science in a nutshell
is to research vast amounts of raw,"
66.44,1.24,unstructured data
67.68,3.4,"to devise strategic questions
which will push an organization forward."
71.24,2.2,"If this sounds a bit ambiguous, it's okay."
73.44,4.28,"Data science is a highly varied
and complex role, and a data scientist's"
77.72,3.28,"exact responsibilities
can vary between different organizations."
81.16,5.2,"As a rule, data science involves
many complicated and interlinked tasks."
86.48,3.84,"It could involve data modeling, building
algorithms from scratch, managing"
90.32,3.8,"large teams and stakeholders, building
and implementing new data structures,"
94.28,3.92,"and generally being the go-to data expert
in a given organization."
98.28,4.08,"The main takeaway, though, is a data
scientist focus is less on the micro"
102.36,6.04,"day-to-day concerns and more on asking
long term macro strategic questions."
108.6,4.76,"For this reason, data science or data
scientist is usually quite a senior role."
116.64,2.0,"Now, let's have a quick look at data
analytics."
118.64,3.84,"Data analytics is a single discipline
within the umbrella of data science,"
122.48,2.96,"as well as being a standalone field
in its own right."
125.6,3.88,"Whilst data science focused on answering
broad strategic questions,"
129.64,3.32,"data analysts usually have a more narrow
and specialized role"
133.0,2.2,"seeking out the answers
to specific questions."
135.36,2.92,"For instance, a data analyst's
job might involve identifying"
138.28,2.68,"which particular product
features users prefer."
141.04,1.0,They might have to uncover
142.04,4.2,"how marketing spend improves
conversion rates to help target it better."
146.24,3.16,"While data analysts require
fewer skills than a data scientist,"
149.4,3.12,"unlike data scientist,
they probably have a better niche"
152.52,3.12,"understanding of a particular area
in a particular business."
155.92,1.72,"Rather than having a total oversight,"
157.64,3.16,"they might work in a specific department
like sales or marketing."
160.92,3.72,"One of the reasons that data science
and data analytics is so confused"
164.84,2.24,is that they both work with big data.
167.24,2.68,"However, by the time that data analysts
use this data,"
169.92,3.12,"the data is usually organized
into a more structured format"
173.12,3.0,"suited to the specific question
that the analyst needs to answer."
176.32,0.76,"For this reason,"
177.08,3.68,"data analysts take a much more structured
approach for analyzing data."
180.88,1.04,Their process involves
181.92,3.76,"following a relatively strict
series of steps using tools and techniques"
185.68,3.28,"such as Python, SQL
and data visualization software"
188.96,3.24,"such as Tableau to collect,
clean and analyze the data set."
192.28,3.8,"This process and these data tools
helps data analysts provide"
196.08,2.36,"actionable insights
that a business can execute."
198.56,2.36,"These insights
commonly support decision making."
201.08,1.8,"Now that we can define
these two disciplines,"
202.88,3.4,"we can ask the big question
- data analytics versus data science."
206.36,0.84,What's the difference?
210.52,1.48,Many data experts
212.0,4.0,"start their career in data analytics
before proceeding into data science."
216.0,2.0,"While the line between them
is blurry at times,"
218.0,1.68,we can largely divide them as follows.
219.68,4.96,"Data science skills include data modeling,
predictive analytics, advanced knowledge"
224.64,3.24,"of math and statistics,
and a high level of expertize in software"
227.88,1.64,"engineering, and programing."
229.52,3.0,"Data analytics skills
include business intelligence tools,"
232.68,2.96,"solid statistics knowledge,
intermediate programing"
235.64,3.76,"skills, and the ability to explore data
using SQL and Python."
239.4,3.88,"Data science focuses on the macro
asking strategic level questions"
243.28,1.56,and driving innovation.
244.84,4.0,"Data analytics focuses on the micro
finding answers to specific questions"
249.0,2.76,"using data
to identify actionable insights."
251.96,4.44,"Data science explores unstructured data
using tools such as machine learning"
256.4,1.6,and artificial intelligence.
258.0,3.2,"Data analytics explore structured data
using tools such"
261.2,3.52,"as Microsoft
Excel and data visualization software."
264.92,1.84,"This can all be a little bit
hard to grasp."
266.76,1.52,So let's use an analogy.
268.28,4.12,"Use your imagination for a moment and
imagine that the business is a human body."
272.56,3.16,"In this case, a data scientist
will be a general practitioner,"
275.84,2.76,"whereas a data analyst
would be a specialist consultant."
278.84,3.2,"Both have crucial roles
in guaranteeing the health of the person."
282.12,1.76,"But in this case, the business."
283.88,3.72,"Firstly, the data scientist
or GP's job is to take a holistic"
287.6,1.8,understanding of the entire patient.
289.4,2.12,"Now broadly
they must know how different elements"
291.52,3.88,"interact and work whilst understanding
the impacts that external factors"
295.4,1.44,have on the patient's health.
296.84,3.84,"This knowledge allows data scientists
uncover illuminating questions"
300.68,3.64,"about patient or business's
well-being that others might not ask."
304.36,3.76,"Meanwhile, the data analyst or specialist
consultant in this analogy focuses"
308.12,2.24,"on a particular body part
or business area."
310.44,2.88,"The data analyst is capable
of answering specific questions"
313.32,2.96,"about their area of expertize
- say the heart of the brain"
316.28,1.48,using specialist knowledge.
317.76,2.36,"As such,
they can identify specific solutions"
320.12,2.96,"to specific problems,
such as heart palpitations, for example."
323.12,4.0,"However, the GP or data scientist
will still take oversight of the patient's"
327.12,0.96,overall health.
328.08,4.32,"In short, data scientists and data
analysts, both play vital roles"
332.4,3.36,"in the healthy running of a business
and both inform each other's work."
335.84,3.36,"However, despite overlapping skills
their overall objectives differ."
342.56,2.92,"Let's give you some final key takeaways
to round off this video."
