second,duration,transcript
0.44,6.27,"Your eyes see in 2D, the retina is a two dimensional
surface of cells that activate when photons"
6.71,5.24,"hit them. Whether those photons are bouncing
off of a physical object, or being produced"
11.95,5.18,"by your display there isn’t too much of
a difference to the neural circuitry that"
17.13,5.22,"makes up your vision system. So the brain
is already doing the hard part. It takes a"
22.35,5.58,"2 dimensional image as input, and on the other
end you somehow have a near instant understanding"
27.93,3.16,of the 3 dimensional objects you are seeing.
31.09,4.989,"We can create objects by constructing them
out of many triangles. To create an accurate"
36.079,5.471,"2d representation, we need to project each
of these triangles onto a flat plane from"
41.55,1.919,the perspective of a viewer.
43.469,6.901,"It can be helpful to think of a computer screen
as a window, where light bounces off an object,"
50.37,3.02,through the window and into your eye.
53.39,5.64,"So to generate an image it’s almost as if
we need to do the reverse operation. If you"
59.03,6.5,"shot a ray from your eye through each section
of the window, what color would you hit?"
65.53,6.45,"And this is the basic idea behind 3D graphics.
Each pixel of the display is like a little"
71.98,5.6,"window, and the more pixels the clearer the
image. And it is up to our graphics engine"
77.58,5.03,"to figure out what color of light would be
passing through that pixel as if the game"
82.61,3.09,world actually existed on the other side.
85.7,4.26,"The method I’ve explained, where rays are
projected into the world and collide with"
89.96,6.39,"objects, is the foundation behind ray tracing.
Ray tracing has only recently made its debut"
96.35,5.19,"into video games with the release of newer
graphics cards containing dedicated ray tracing"
101.54,1.28,hardware.
102.82,5.6,"On the other hand CPU-based ray tracing has
been around for a long time and has been used"
108.42,6.1,"extensively within the movie and animation
industries, but is much too slow to be used"
114.52,5.23,"in real-time applications.
A single frame in Toy story 4 could take anywhere"
119.75,6.27,"between 60 to 160 hours to render using CPU
based ray tracing."
126.02,5.97,"Ray tracing is known as image-order rendering,
since each pixel is first considered, and"
131.99,4.6,"then on a per pixel basis we find all the
objects that could influence it."
136.59,5.43,"The alternative is object-order rendering
which is much faster and what we have been"
142.02,5.62,"using. This is where we draw each object,
one after the other. This approach maps much"
147.64,5.4,"better to the gpu, since we can apply the
same instructions, but on different vertices"
153.04,1.28,in parallel.
154.32,6.23,"So we could find the location for each projected
position within a vertex shader by calculating"
160.55,5.56,"the line and plane intersection, and this
would work just fine! But a much more effective"
166.11,3.7,way to do this is with a matrix transformation!
169.81,4.23,"First though, I’ll start by explaining orthographic
projection."
174.04,5.74,"In the previous tutorial I talked about vulkan’s
canonical viewing volume. Only the objects"
179.78,4.93,"that are within this 2 by 2 by 1 region will
be displayed."
184.71,5.31,"Note that the positive y axis points down,
and positive z axis points into the screen."
190.02,1.0,"An orthographic projection is a generalization
of the view volume that keeps the view direction"
191.02,1.0,"and orientation fixed, but allows the view
volume to be an axis-aligned box with any"
192.02,1.0,dimensions and at any location we want.
193.02,3.7,"An orthographic projection is a generalization
of the view volume that allows us to specify"
196.72,5.81,"whatever dimensions and whatever location
we want, but maintains the overall shape of"
202.53,4.65,"the view volume, and keeps the view direction
and orientation fixed."
207.18,5.44,"The orthographic view volume is defined by
6 bounding planes, the left and right along"
212.62,8.6,"the x axis, the top and bottom along the y
axis, and the near and far along the z axis."
221.22,6.45,"So these 6 values, left bottom near, and right,
top, far, define the orthographic viewing"
227.67,1.31,volume
228.98,6.14,"So to construct an orthographic projection
matrix we need to solve the following problem:"
