second,duration,transcript
9.2,4.479,good day so welcome to our virtual class
12.4,3.84,week one
13.679,5.041,our top today is about
16.24,4.959,introduction to human computer
18.72,4.799,interaction
21.199,4.16,in everyday life or in every day we
23.519,2.721,interact with many things like cell
25.359,3.84,phone
26.24,5.199,tv remote easy remote keyboard mouse and
29.199,4.721,other devices like atm
31.439,5.041,web or mobile application which is part
33.92,4.72,of our life sometimes we take time to
36.48,4.96,understand the design and sometimes we
38.64,5.52,don't take time it to understand
41.44,4.639,so it's about poor and good design
44.16,5.28,interaction is the connection between
46.079,5.201,the user and the device or application
49.44,4.08,interaction design is concerned with
51.28,4.4,designing interactive products to
53.52,4.64,support people in their everyday and
55.68,4.32,working lives interaction design is a
58.16,5.28,big business
60.0,3.44,in every company
66.08,7.2,so what is a human computer interaction
70.479,4.401,hci is the study and the practice of
73.28,4.8,usability
74.88,8.16,hdi is the study of how people use
78.08,7.64,computer system to perform certain tasks
83.04,5.28,human computer interaction is a
85.72,4.52,multi-disciplinary field of study
88.32,4.159,focusing on the design of the computer
90.24,4.48,technology and in particular the
92.479,4.401,interaction between human
94.72,3.68,the user and the computer
96.88,4.64,while initially concerned with the
98.4,5.999,computers hci has since expanded to
101.52,4.8,cover almost all forms of information
104.399,4.561,technology design
106.32,4.88,human computer interaction is an area of
108.96,4.88,research and practice that emerged in
111.2,5.04,the early 1980s
113.84,4.959,initially as a specialty area in
116.24,5.36,computer science embracing cognitive
118.799,6.401,science and human factor engineering
121.6,5.28,hci has expanded rapidly and steadily
125.2,3.839,for three decades
126.88,4.4,attracting professionals from many other
129.039,4.241,disciplines and incorporating diverse
131.28,5.039,concepts and approaches
133.28,4.52,by considerable extent each cis now
136.319,4.081,aggregates a collection of
137.8,5.88,semi-autonomous field of research and
140.4,5.36,practice in human-centered informatics
143.68,4.16,however the continuing
145.76,4.24,synthesis
147.84,4.56,of display conception and approaches to
150.0,4.959,science and practice in hcis has
152.4,5.44,produced a dramatic example of how
154.959,5.521,different epistemologies and paradigms
157.84,5.2,can be concealed and integrated in a
160.48,4.96,vibrant and productive intellectual
163.04,2.4,project
166.48,4.72,again so what is human computer
168.0,5.68,interaction hci concerning
171.2,4.16,process which design evaluation and
173.68,4.559,implementation
175.36,4.48,process on interactive computing system
178.239,4.801,for human use
179.84,6.16,plus the study of major phenomena
183.04,2.96,surrounding them
192.72,4.56,so the goal of hci
195.12,4.8,are to produce usable
197.28,5.12,and safe system as well as functional
199.92,4.48,system in order
202.4,4.559,to produce a computer system with good
204.4,4.64,usability developer must attempt to
206.959,4.961,first understand the factors that
209.04,5.199,determine how people use technology
211.92,5.76,develop tools and techniques enable
214.239,5.521,building suitable system
217.68,3.52,achieve efficient and effective and safe
219.76,2.559,interaction
221.2,2.88,and put
222.319,4.56,people purse
224.08,4.879,so underlying the whole theme of hci is
226.879,5.041,the belief that people using computer
228.959,5.601,system should come first so their needs
231.92,5.039,capabilities and preference for
234.56,4.959,product uh conducting various styles
236.959,4.48,should direct developers in the way
239.519,4.401,that they design system
241.439,4.72,people should not have to change the way
243.92,4.8,that they use a system in order to fit
246.159,7.401,within it instead the system should be
248.72,4.84,designed to match their requirements
255.28,4.0,okay so the goal of hci ensuring
257.68,3.76,usability
