second,duration,transcript
0.03,4.68,we've seen sort of compositionality of
2.22,4.26,programming languages where terms are
4.71,3.51,made up from sub terms and maybe
6.48,5.76,semantics are defined by induction on
8.22,5.789,this subterms structure so so we've seen
12.24,3.689,this in you know Gordon Stark
14.009,3.061,Christine's talk many many talks okay
15.929,3.481,and then there's the other kind of
17.07,4.26,compositionality that we've seen mostly
19.41,4.289,for example from people who work in
21.33,5.31,string diagrams and categorical quantum
23.699,6.15,mechanics david Spivak stark was full of
26.64,6.029,stuff like God so is Jamie's and you
29.849,6.3,know John's and Brandon's and Ross isn't
32.669,5.851,a lot of lot of people so we've seen two
36.149,3.901,different kinds of compositionality they
38.52,5.07,have some things in common but they're
40.05,6.06,still somewhat different and what I will
43.59,4.98,tell you about is sort of one one
46.11,7.82,attempt to marry these two worlds
48.57,8.04,actually together so five years ago I
53.93,4.24,was part of a big project for the US
56.61,3.719,government and we were developing a
58.17,5.31,quantum programming language the purpose
60.329,4.83,was not to actually program a quantum
63.48,3.959,computer because they don't actually
65.159,5.28,have one we think but of course if they
67.439,5.101,did it would be classified but as I
70.439,4.621,understand it the main purpose was to do
72.54,4.259,resource estimate so implement some
75.06,3.629,actual quantum algorithms from the
76.799,3.96,literature and then figure out how many
78.689,4.711,what powers of ten you know like how
80.759,4.711,many gates or resources these algorithms
83.4,3.81,would actually consume so as part of
85.47,3.539,this project we developed the quantum
87.21,4.949,programming language quicker quicker
89.009,7.351,which I will talk more about and we also
92.159,7.551,had to it was sort of a given sort of
96.36,6.6,goal of the project to implement seven
99.71,5.619,quantum algorithms that they specified
102.96,4.38,okay so they were not trivial algorithms
105.329,4.021,like teleportation but they were really
107.34,4.169,complicated algorithms like estimating
109.35,4.049,the ground state of some molecule or
111.509,3.661,playing the game of hex one of the
113.399,4.231,algorithms played the game of hex was a
115.17,5.489,winning strategy for hex and it's faster
117.63,5.46,than the classical algorithm and one of
120.659,4.471,them was solving a linear system of
123.09,4.62,equations which everyone thinks it's
125.13,4.349,easy until the equations are until
127.71,4.32,they're exponentially many equations in
129.479,3.061,exponentially many variables then again
132.03,2.099,it's something
132.54,3.779,you can do on a quantum computer faster
134.129,4.83,and and there were several other things
