second,duration,transcript
0.6,67.649,[Music]
69.93,3.509,you
70.34,3.099,[Music]
79.03,9.33,[Music]
90.64,36.2,[Music]
129.91,5.259,[Music]
137.36,3.109,[Music]
144.0,36.94,[Music]
184.64,25.36,[Music]
207.94,2.06,you
211.89,5.13,[Music]
225.59,16.6,[Music]
248.62,7.579,[Music]
259.3,5.249,[Music]
267.61,13.63,[Music]
283.95,5.4,[Music]
292.08,18.879,[Music]
314.13,18.929,[Music]
335.78,58.4,[Music]
396.69,32.709,[Music]
431.4,15.009,[Music]
448.72,108.059,[Music]
558.78,108.039,[Music]
