second,duration,transcript
0.08,4.88,into this what is functional programming
2.56,3.839,so there's not going to be a lot of
4.96,2.959,code that i'm going to show it's mostly
6.399,2.561,going to be talking about concepts and
7.919,1.921,functional programming there'll be a
8.96,2.88,little bit of code
9.84,3.44,and talking about what people mean by
11.84,5.04,functional programming
13.28,4.64,and how we might uh want to broaden
16.88,2.399,what people mean by functional
17.92,3.04,programming to talk about some other
19.279,4.321,stuff in this meetup
20.96,3.84,so uh first of all if you're going to
23.6,2.64,talk about functional programming it's
24.8,3.92,going to talk about what a function is
26.24,3.84,right so at its base a function is a map
28.72,4.8,between inputs and outputs
30.08,7.84,specifically it's a map so that for any
33.52,6.24,set of inputs you get one output
37.92,3.28,of course you can define you can define
39.76,3.6,this in a lot of different ways
41.2,3.92,you can sometimes you'll see a table
43.36,3.359,like right here you'll have a table
45.12,3.36,where you have inputs on the left and
46.719,2.481,outputs on the right or you'll see it in
48.48,2.399,like a
49.2,3.039,more mathematical setting where you have
50.879,4.481,like f of x and then some
52.239,3.121,transformation on x
56.0,4.8,and then you know this this mathematical
59.44,1.919,definition of a function is a little bit
60.8,2.88,different
61.359,3.281,than the way we use the word function in
63.68,4.16,programming
64.64,5.839,which generally means procedure we mean
67.84,4.72,some place where we're going to run a
70.479,3.761,piece of computation and then bring the
72.56,3.199,results back to
74.24,3.04,the main loop or the main part of the
75.759,3.601,program so
77.28,3.36,when functional programmers say
79.36,3.68,functional programming
80.64,3.519,they mean viewing your computation
83.04,3.439,through this lens
84.159,4.32,through this idea of inputs and outputs
86.479,2.401,and the closer you can get to that the
88.479,3.6,more
88.88,5.12,like um functional programming
92.079,4.08,the more sorry the more functional
94.0,3.759,programming you're doing
96.159,3.521,yeah so like i said what is functional
97.759,3.601,programming common answer
99.68,4.079,the basic unit of computation is a
101.36,2.399,function
106.24,3.68,so that being said when you actually do
108.96,2.32,functional programming
109.92,3.519,a lot of times it doesn't really look
111.28,2.96,like what you're doing is writing down
113.439,3.121,functions
114.24,3.28,and then computing inputs and outputs
116.56,3.44,instead
117.52,4.239,things look pretty crazy and this is a
120.0,3.2,sample of reason
121.759,4.0,i could have just as easily put a sample
123.2,4.08,of haskell or scala or
125.759,3.041,really any functional programming
127.28,3.28,language i've ever used
128.8,3.28,while it's while i can understand how
130.56,3.28,i'm using functions
132.08,3.68,it oftentimes doesn't feel like that's
133.84,2.56,what i'm doing so i wanted to talk a
135.76,3.52,little bit
136.4,4.32,you know about what is it that we're
139.28,2.4,getting if it's not just about inputs
140.72,2.08,and outputs
141.68,3.84,what is it that we're getting out of
142.8,6.24,functional programming
145.52,5.04,but first i was really curious uh just
149.04,3.199,how many of you have actually written
150.56,2.319,programs in a functional setting before
152.239,2.08,i guess
152.879,4.481,raise your hand if you've written
154.319,4.64,functional programs before
157.36,3.76,okay pretty good probably about half the
158.959,5.761,group so
161.12,3.6,that's that's awesome and
165.28,3.12,i guess raise your hand if you'd like to
167.04,4.24,do it again
168.4,4.24,i guess judging from you know being here
171.28,2.88,that's really great
172.64,3.44,um you know a lot a lot of people
174.16,3.2,haven't a lot of people don't really
176.08,2.48,know what it is that
177.36,3.28,uh functional programmers are talking
178.56,4.399,about if they've ever heard of it at all
180.64,4.16,um so i'm gonna try and go through some
182.959,4.081,of what it is
184.8,3.2,so before i was talking about you know
187.04,2.24,what a definition of functional
188.0,4.319,programming is and i'd say it's
189.28,4.56,computation as a base unit of a function
192.319,4.081,but to try and be a little bit more
193.84,4.16,intuitive maybe it'd be better to stop
196.4,4.96,and think about like what do functional
198.0,5.92,programming languages have in common so
201.36,3.12,also what do people who do functional
203.92,2.56,programming
204.48,4.72,what do they seem to want out of the
206.48,4.24,languages they're using
209.2,3.2,and then if you're not a functional
210.72,2.239,programmer why might you want to learn
212.4,2.559,about it
212.959,3.601,whether you you know go and get a job as
214.959,3.041,a functional programmer or not
216.56,3.2,you know you might still want to know
218.0,4.159,about it for
219.76,5.28,for several reasons and then lastly you
222.159,6.561,know what kind of problems are really
225.04,3.68,does this stuff really work well for
230.239,5.36,all right so first what do functional
232.239,3.36,programming languages have in common
235.84,4.16,so i would say even above mapping inputs
239.28,2.8,to outputs
240.0,3.92,the idea that functional programming
242.08,2.56,languages really have in common is
243.92,2.72,separating
244.64,4.319,the transforms of data from the data
246.64,3.84,itself
248.959,3.2,compare that to an object-oriented
250.48,3.839,approach where you're
252.159,3.761,defining a class and then that class is
254.319,3.92,going to have methods
255.92,3.76,so in fact you define your data first
258.239,3.441,that's the class and then you define the
259.68,3.76,methods that operate on the data
261.68,3.6,in functional programming instead you're
263.44,5.44,going to define
265.28,5.12,a set of functions that take data
268.88,3.28,and then it's up to those functions to
270.4,2.239,define whether that data is acceptable
272.16,2.56,or not
272.639,3.84,either through a type system or through
274.72,4.479,a set of you know conditional checking
276.479,2.72,and contracts
279.28,3.199,but they the reason that you would want
281.36,3.04,to isolate
282.479,4.081,the transformations of data from the
284.4,4.48,objects is
286.56,4.4,maybe subtle does anybody maybe have a
288.88,5.039,thought of why you might want to split
290.96,6.88,your data from the objects transforming
293.919,3.921,the data
299.919,3.601,so yeah so he said you don't know what
301.68,4.079,data you have and um
303.52,3.84,i think that that's uh that's a really
305.759,3.28,good point and
307.36,3.04,what that might mean is you do know what
309.039,3.121,data you have right now but you don't
310.4,4.88,know what data you're going to have
312.16,4.8,so what
315.28,3.6,what you can do with a function if
316.96,2.72,you're if you're dealing with just a
318.88,3.039,transformation
319.68,3.519,you can extend that transformation in
321.919,2.72,the face of a lot of different data
323.199,4.801,without having to modify all the
324.639,3.361,different definitions of that data
329.52,6.16,so another reason that you might want to
332.88,5.2,separate data and transforms is it makes
335.68,4.48,it easier to write correct programs
338.08,3.76,so a lot of the rest of this is going to
340.16,3.599,be about program correctness
341.84,3.28,and at least when i was in school
343.759,3.44,learning about programming program
345.12,3.519,correctness was almost an afterthought
347.199,3.28,i felt like you know like there was
348.639,2.481,maybe you maybe had like one proof class
350.479,2.0,maybe had like
351.12,2.639,just a little bit of talk about it and
352.479,1.921,then the rest of time was hey go out and
353.759,1.841,write there
354.4,3.2,if your program does what it's supposed
355.6,3.599,to do it's correct right like what else
357.6,3.2,more do you need and
359.199,4.081,i think that that's i think that's a
360.8,5.36,pretty decent
363.28,3.28,way of thinking about programming until
366.16,2.159,you
366.56,3.12,hit more complicated systems and more
368.319,3.361,difficult problems
369.68,3.68,and then suddenly it starts to fall
371.68,3.44,apart and you really want to know that
373.36,5.52,your program is going to be robust
375.12,6.96,to varied inputs and is going to behave
378.88,4.319,in an expected manner and i think that
382.08,2.559,that more than anything is what
383.199,2.081,functional programming allows you to
384.639,2.4,have
385.28,5.039,is are programs that behave how you
387.039,3.28,would expect them to behave
391.68,3.6,yeah so what do programmers seem to want
393.68,3.92,so i'm going to answer
395.28,3.199,that for me at least the thing i care
397.6,4.08,most about
398.479,6.481,are programs being correct
401.68,3.92,obviously i need them to run fast but if
404.96,2.959,i wanted
405.6,3.12,just speed i'd be writing in c which
407.919,3.12,i've done and
408.72,3.919,didn't like so here i am writing
411.039,2.401,programs in languages much slower than
412.639,4.0,that
413.44,4.0,um what you know what are some other
416.639,2.321,things that
417.44,3.599,you guys think that you know functional
418.96,5.359,programmers like what do you care about
421.039,3.28,or what do you find valuable
428.24,4.399,yeah so he said transparency in your
430.08,5.04,code and i think that's a really big
432.639,4.161,big thing is being able not just to have
435.12,3.519,a correct program but to make it so that
436.8,4.0,everybody can tell that it is right like
438.639,6.081,those two things are very important
440.8,5.44,um so in fact like my next slide is
444.72,3.039,this is all very going very well
446.24,4.16,everybody's answers just lead me right
447.759,4.56,into the next thing so that's awesome um
450.4,3.44,yeah so like obviously functions make it
452.319,3.041,easier to determine inputs and outputs
453.84,2.799,that's actually in the definition of a
455.36,2.8,function right so it should
456.639,4.321,should at least be able to do that very
458.16,4.96,well and
460.96,3.04,in addition to that it makes it easy to
463.12,3.04,see what your code
464.0,3.44,is doing and i have an example coming up
466.16,4.479,to show that
467.44,6.08,so i say that functional programs
470.639,4.721,make it easier to write correct code
473.52,4.72,because it makes it easier to determine
475.36,4.8,what's coming into your program what's
478.24,3.76,going out of your program
480.16,3.599,it's easier to demonstrate that your
482.0,3.52,program is correct either in the form of
483.759,3.041,a proof or just casually just like
485.52,2.799,walking someone through it
486.8,4.959,because you have inputs and outputs it
488.319,19.521,becomes much easier yeah jordan another
491.759,16.081,reason is
512.959,3.921,because the function does exactly what
515.279,4.801,it does and it's not touching much of
