second,duration,transcript
4.66,8.859,[Music]
11.44,2.48,well congratulations you've almost made
13.519,3.84,it
13.92,6.56,almost welcome to our
17.359,4.961,last lecture lecture eight in which we
20.48,3.68,are going to talk about quantum error
22.32,3.279,correction how to deal with quantum
24.16,4.8,noise how to
25.599,6.241,recover quantum states and protect our
28.96,4.48,precious quantum computations or quantum
31.84,4.08,communication
33.44,4.4,it's been long journey we started with
35.92,5.04,four introductory lectures where i
37.84,5.36,introduced some basic stuff for
40.96,3.759,you to understand why quantum
43.2,4.32,information processing is
44.719,4.401,uh more powerful so we talk about
47.52,3.679,quantum interference we talk about
49.12,5.36,quantum entanglement
51.199,4.88,and then we we we could see how quantum
54.48,3.52,interference and quantum entanglement
56.079,6.561,play a significant role
58.0,8.159,in making quantum communication secure
62.64,7.04,or computation more powerful
66.159,6.0,but we also observed that the reason
69.68,5.04,we do not have for example quantum
72.159,4.64,computers yet is because
74.72,3.12,quantum systems or quantum interference
76.799,4.241,in particular is
77.84,6.319,is quite fragile right so you
81.04,4.96,expose it to any interaction with the
84.159,4.64,environment the environment may learn
86.0,5.2,about the state of the system and
88.799,6.0,quantum interference is gone
91.2,6.959,um so we took some time to describe
94.799,4.561,the system environment kind of
98.159,4.801,interaction so that
99.36,5.439,is the dynamics of open quantum systems
102.96,3.76,our quantum computers or quantum
104.799,3.36,communication devices are open quantum
106.72,3.2,system because
108.159,3.6,even though we can control them to some
109.92,3.839,extent they're embedded in
111.759,5.281,some sort of environment which upon
113.759,6.32,which we do not have complete control
117.04,4.56,so um it's it's not quite right to
120.079,5.201,describe the evolution of
121.6,5.76,open quantum system as a as a unitary
125.28,4.08,evolution we know that you can take two
127.36,3.92,approaches here right so you can
129.36,4.32,think about the unit evolution of the
131.28,4.88,whole when you include the environment
133.68,3.919,that's the so-called stein spring
136.16,3.2,representation
137.599,3.441,but you can also look at the system
139.36,4.4,alone and
141.04,4.0,analyze the evolution of of such system
143.76,3.36,in the presence of vine
145.04,3.6,of the environment but not necessarily
147.12,3.52,just including the environment
148.64,4.4,in in your equation so that's the
150.64,5.599,crowd's representation
153.04,3.52,now we have the tools so we can now move
156.239,3.841,on
156.56,6.8,and discuss how we can
160.08,6.48,deal with quantum errors so whenever
163.36,4.239,remember we call kraus operators quantum
166.56,4.72,errors
167.599,6.401,um but um
171.28,3.039,the question really is so given a system
174.0,3.599,that
174.319,5.521,undergoes some sort of
177.599,3.441,evolution described by a completely
179.84,4.72,positive map
181.04,5.76,is it possible to recover
184.56,3.759,the original state of the system so i
186.8,4.88,would like you to have
188.319,4.241,this kind of uh scenario in mind so
191.68,2.88,compare
192.56,4.0,the two cases the case where we have a
194.56,3.92,system let's say it's a cube it is
196.56,3.599,you can always choose the simplest
198.48,2.72,possible quantum system so we have a
200.159,4.64,qubit
201.2,5.84,this qubit undergoes the coherence so
204.799,5.041,interacts with the environment
207.04,4.72,and as a result the state of the qubit
209.84,6.479,is modified in
211.76,8.32,in some way now is there
216.319,6.961,a way to diminish the impact
220.08,6.96,of the environment and here we are
223.28,7.599,going to borrow ideas from classical
227.04,6.8,theory of information so we are going to
230.879,3.761,use the concept of error correcting
233.84,3.44,codes
234.64,3.679,so instead of this kind of scenario we
237.28,4.48,are going to
238.319,6.56,encode the state of the qubit
241.76,5.679,into a number of qubits so we are going
244.879,6.0,to bring a few more qubits
247.439,5.681,and take our original qubit
250.879,4.321,and we are going to perform a unitary
253.12,6.079,operation
255.2,7.999,maps unknown state of the qubit
259.199,9.521,into a set of
263.199,7.761,cubits that will form our encoded qubit
268.72,3.28,so this mathematically speaking we are
270.96,3.76,just going to
272.0,3.12,pick up a two-dimensional hilbert space
274.72,3.44,um
275.12,4.639,and we are going to embed it in a higher
278.16,4.72,dimensional hilbert space
