second,duration,transcript
3.92,7.839,[Music]
10.24,2.24,hello everyone welcome to another
11.759,3.281,episode
12.48,4.32,and today we have devon chatterjee a
15.04,3.04,predictive analytics consultant at
16.8,2.72,lasalle network
18.08,3.44,and today we're speaking more about the
19.52,3.36,topic of quantum computing and data
21.52,3.599,science for it
22.88,3.28,so welcome to the show devon i'm such a
25.119,2.721,pleasure to have you today
26.16,3.279,hi hi catherine and thanks for having me
27.84,3.279,on the program yeah absolutely
29.439,3.28,could you tell the audience just more
31.119,3.6,about where you're coming from
32.719,3.68,and your background and just what led
34.719,4.801,you to your role today
36.399,3.521,sure uh so i majored in physics and went
39.52,2.16,to
39.92,3.6,university of new mexico to study
41.68,3.68,quantum information processing that was
43.52,3.199,around 2000 2001
45.36,3.28,i studied under people like murray
46.719,4.801,gilman from there
48.64,4.8,i went to university of chicago to study
51.52,5.44,math and computer science
53.44,4.639,then on to iit to work on my phd in
56.96,3.36,analytics where
58.079,3.841,my dissertation topic was hedge fund
60.32,3.36,replication with deep neural networks
61.92,4.16,and generative adversarial networks
63.68,4.479,when i was in chicago i started working
66.08,3.92,in systems engineering
68.159,3.361,and because of my analytics background i
70.0,3.84,started doing analytics
71.52,4.639,within it and that was before data
73.84,4.72,science was even mainstream
76.159,4.721,so my last position was as a senior data
78.56,6.0,scientist in a cyber security group
80.88,4.08,now i'm consulting helping a company on
84.56,3.04,their
84.96,3.519,digital transformation journey to
87.6,3.28,improve their
88.479,3.841,quality and governance and expand their
90.88,3.76,analytics capabilities
92.32,3.759,in addition i've taught business
94.64,4.72,analytics and data science
96.079,6.08,at iit in northeastern illinois
99.36,5.119,university and i'm currently a course
102.159,4.481,developer and adjunct professor
104.479,3.761,in business analytics at indiana tech
106.64,3.04,yeah that's awesome so you're clearly
108.24,4.559,doing a lot of different things
109.68,4.399,in the data field right now yeah
112.799,3.041,and so what do you think are some
114.079,2.4,similarities and differences that you've
115.84,2.559,seen in
116.479,3.201,quantum computing and data science since
118.399,3.76,i'm sure there's a lot of
119.68,3.439,overlap between these two areas there's
122.159,4.32,actually
123.119,5.12,probably not um that's yeah people might
126.479,3.361,think that but there's actually mostly
128.239,3.681,differences between the two fields
129.84,4.479,as far as similarities i would say both
131.92,5.36,areas are you know expanding due to
134.319,5.041,advances in technology but there's also
137.28,3.44,like a prevalent lack of understanding
139.36,3.36,of both topics
140.72,3.68,mostly quantum computing since it's so
142.72,4.239,much newer than data science
144.4,4.64,but anyone experiencing the uses of you
146.959,5.36,know machine learning and ai
149.04,5.68,at mainly as like buzzwords for example
152.319,3.841,can fully appreciate that comment now
154.72,3.92,quantum computing
156.16,4.96,is one part of a broader quantum
158.64,4.16,technology umbrella similar to ai
161.12,3.199,being you know like under machine
162.8,3.76,learning but
164.319,3.521,in quantum computing there's things like
166.56,3.44,quantum key distribution
167.84,4.64,post quantum cryptography quantum
170.0,4.72,software quantum materials
172.48,3.039,one idea was to utilize quantum
174.72,3.2,mechanics
175.519,4.0,in a computer to speed up the
177.92,3.84,computation of complex
179.519,4.161,problems like those in optimization and
181.76,4.64,finance and biology
183.68,4.32,and eventually machine learning and ai
186.4,3.6,so there's currently some research in
188.0,4.879,the area of quantum machine learning
190.0,4.64,and ai now some of the differences are
192.879,3.28,that data science you know obviously
194.64,3.519,uses classical computers
