second,duration,transcript
7.44,4.74,alright so sounds like my mic is live so
10.74,4.71,thank you for sticking around this
12.18,4.89,afternoon again so I'm Harlan Harris my
15.45,3.87,day job is I work for the Education
17.07,4.08,Advisory Board we build enterprise
19.32,3.99,software and do best practices research
21.15,4.05,for colleges and universities and as
23.31,4.08,Jared mentioned I'm also co-founder of
25.2,4.11,data community DC and the data science
27.39,5.849,DC meet up if you are on town you should
29.31,5.88,definitely check us out my academic
33.239,3.66,background is in machine learning and in
35.19,3.36,cognitive science i'm not a software
36.899,3.331,architect by training but i have worked
38.55,4.109,closely with software architects and a
40.23,3.87,number of project projects and so i'm
42.659,4.141,going to talk today about some things
44.1,4.649,that I have learned so i'm going to talk
46.8,4.859,about architecture and i'm going to talk
48.749,4.68,about choices so first of all what is
51.659,4.56,software architecture what do I mean I'm
53.429,4.5,just going to steal from wikipedia it's
56.219,3.12,the high level structure of a software
57.929,4.171,system particularly a complicated
59.339,5.04,software system as well as the sort of
62.1,5.25,processes and things around it and in
64.379,5.491,terms of choices what I mean is what
67.35,4.11,technologies are you going to use what
69.87,4.38,are the boundaries between each of those
71.46,5.67,technologies what do the piece different
74.25,4.65,pieces do and also importantly who's
77.13,4.35,responsible for building each of the
78.9,5.31,pieces of these technologies and in
81.48,4.89,order to make good architectural choices
84.21,3.51,you have to ask good questions and so
86.37,2.64,I'm today going to walk through some
87.72,3.45,questions that I found to be helpful
89.01,4.74,when making choices about software
91.17,7.23,architecture and particularly when it
93.75,7.23,involves are so a bunch of questions
98.4,6.21,first question is is a data product at
100.98,6.36,all so some of you may have read this
104.61,4.8,book data jujitsu by DJ Patil who is now
107.34,3.57,a DC resident he also has the
109.41,3.96,second-rate title of chief data
110.91,3.9,scientist of the United States but
113.37,3.84,anyway he wrote this great little 18
114.81,4.86,page ebook about data products however
117.21,4.98,it doesn't really define a data product
119.67,5.43,to my mind and so particularly when
122.19,5.929,working in our not all of our work is
125.1,8.279,data products and so if you're do well
128.119,8.73,keynote quit unexpectedly I have never
133.379,3.47,seen that all right I'll be right back
140.14,15.79,hahahaha should have used PowerPoint our
146.45,14.069,mark down okay uh see where am I hey
155.93,6.15,we're back okay right so if you're doing
160.519,4.141,an analysis it doesn't have what an
162.08,4.29,architect architect might describe as a
164.66,3.12,maintenance phase that maybe you don't
166.37,3.03,have to worry about this stuff so if
167.78,3.84,you're writing a report in a suite or
169.4,5.85,something or a one-off shiny app then
171.62,5.459,you know tune out for the next 17
175.25,3.45,minutes but if you do have a maintenance
177.079,4.19,phase then I think you need to ask these
178.7,6.509,questions and make some of these choices
181.269,6.131,so next question is how many users are
185.209,4.14,you writing this application for so if
187.4,3.96,you have something small maybe used just
189.349,3.121,by a few or a few dozen people inside of
191.36,2.64,an organization you might make a
192.47,4.349,different choice there's some really
194.0,4.98,great options for this so half the
196.819,4.23,people in last two days have talked
198.98,4.68,about shiny killer tool for hosting
201.049,4.891,relatively simple reactive web apps it
203.66,5.1,does scale well particularly if you pay
205.94,4.799,our studio for their server product you
208.76,3.96,can also roll your own with our Apache
210.739,3.72,or some other things I've seen less
212.72,4.799,about our Apache and rook in recent
214.459,4.891,years I don't know sort of why that is
217.519,3.631,but it's definitely an option you can
219.35,6.59,also roll your own servers and Python
221.15,8.01,and so forth if you'd like next question
225.94,6.129,where does the model end and the rest of
229.16,4.53,the application begin so in some
232.069,3.361,circumstances your model might be the
233.69,3.12,entire application and again something
235.43,5.55,like shiny might be a really great
236.81,6.42,approach for solving that problem but on
240.98,4.159,other circumstances your model might
243.23,5.49,just be a small piece of a big system
245.139,5.41,and this brings to mind sort of a recent
248.72,3.84,trend in systems architecture called
250.549,3.78,micro services this is sort of an
252.56,4.56,updated take on the services oriented
254.329,5.611,architecture trend of about ten years or
257.12,4.229,so ago and the idea is pretty simple if
259.94,3.57,you're building a little piece of a big
261.349,3.901,system you think about building a little
263.51,3.81,standalone web service that interacts
265.25,5.73,with the other pieces in a sort of
267.32,6.06,well-defined well architected way and
270.98,4.77,other other pieces of the system then
273.38,4.38,end up rendering the web pages and the
275.75,3.93,charts and graphs and so forth so you
277.76,4.49,know sorry not ggplot it's going to be
279.68,7.92,JavaScript but the model itself might be
282.25,7.12,remain in our but not necessarily maybe
287.6,3.24,you don't actually need to have our in
289.37,3.39,the loop in in particular in the
290.84,3.57,prediction loop so if you're fitting a
292.76,3.63,regression model and your results is
294.41,3.54,just some coefficients or you're
296.39,3.39,building just a really simple decision
297.95,3.42,tree maybe you don't actually need to
299.78,3.6,bother somebody I can't remember who
301.37,3.87,said once that much of the time you can
303.38,4.17,turn your model into just a few lines of
305.24,5.1,sequel and be done with it right sequel
307.55,5.4,the logic is just a simple decision tree
310.34,4.86,and so maybe all you need to do is throw
312.95,3.48,your coefficients over the wall not
315.2,3.3,always a good idea but there are
316.43,4.17,exceptions a slightly more powerful
318.5,3.93,approach is p FML predictive model
320.6,3.3,markup language this gives you a little
322.43,3.18,more control over things like feature
323.9,5.49,engineering and there are some
325.61,6.21,interesting options there too next
329.39,4.56,question how often at what temp oh do
331.82,4.02,you need to make predictions do you need
333.95,3.33,to make predictions on a daily basis or
335.84,3.87,do you need to make predictions in the
337.28,3.66,next say 20 milliseconds and so
339.71,3.54,architectural you're going to make a
340.94,5.46,really different choice depending on
343.25,5.7,this so that is Anna batcher on-demand
346.4,5.16,process or equivalently how far in
348.95,7.56,advance do you know what entities you
351.56,9.65,need to predict a note on the sort of on
356.51,6.87,demand thing so the performance of
361.21,3.94,different algorithms varies a lot in
363.38,4.2,terms of how quickly the latency can be
365.15,3.78,if you have a new example so things like
367.58,3.33,k-nearest neighbor is really expensive
368.93,4.26,to make new predictions if you have to
370.91,3.78,do that really fast things like support
373.19,3.57,vector machines could be kind of slow as
374.69,3.36,well even random forests are doing a
376.76,3.39,really simple thing but a fair number of
378.05,4.05,times if this is really important to you
380.15,3.87,there's some interesting techniques that
382.1,3.78,I've learned about recently such as
384.02,3.45,lattice regression that actually turned
385.88,3.48,types of prediction model into like a
387.47,6.42,linear interpolation of look-up tables
389.36,6.84,and this can be incredibly fast so that
393.89,4.14,was prediction there the next question
396.2,4.98,is fitting how frequently do you need to
398.03,5.19,fit a model so you know if you're doing
401.18,3.72,this on an annual basis this is probably
403.22,3.03,somebody sitting down there
404.9,2.73,taking a week they're trying to figure
406.25,3.15,out what all the bit the best type of
407.63,3.3,parameters are and the best architecture
409.4,3.63,and everything else that's a very
410.93,3.0,different story from a daily fit this is
413.03,2.85,probably something you're doing
413.93,3.63,automatically but you can have
415.88,2.7,monitoring processes that are going to
417.56,2.639,tell you what your daily
418.58,3.54,cross-validation score is or something
420.199,4.321,and if you're doing this on an ongoing
422.12,3.93,basis so every time an input comes in
424.52,3.149,your shifting your coefficients or
426.05,3.209,something then you're probably using
427.669,3.991,some sort of specialized online
429.259,5.521,algorithm the architectural choices here
431.66,5.879,are depend a lot on the frequency of
434.78,4.919,fitting this of course is related to the
437.539,3.841,concept of concept rift or comeria drift
439.699,3.811,so how fast is the world that you care
441.38,4.53,about change if you're thinking about
443.51,5.1,quarterly retail sales that kind of
445.91,4.53,world changes pretty slowly and you're
448.61,3.809,maybe fitting on an annual basis if
450.44,3.36,you're doing high-frequency finance or
452.419,5.25,twitter trends or something then the
453.8,5.67,world is changing pretty quick next
457.669,6.331,question how many models are you
459.47,7.68,building are you building one model are
464.0,5.58,you building one per product line are
467.15,5.519,you building one per user so potentially
469.58,4.86,a very large number of models and so
472.669,4.051,these questions are actually sort of
474.44,4.8,begging the question of how much design
476.72,4.77,or how much feature engineering are you
479.24,4.56,actually doing for the models that your
481.49,4.77,building or equivalently at what
483.8,4.77,granularity do you need to apply domain
486.26,4.98,knowledge to be effective so recall that
488.57,4.529,substantive expertise in a domain is a
491.24,3.63,critical part at being effective in data
493.099,3.511,science and so having an architecture
494.87,3.269,that lets you apply your domain
496.61,3.6,knowledge at the right times and the
498.139,4.56,right level of granularity is really
500.21,7.23,critical to building a good model in
502.699,8.161,production there's also all the
507.44,5.13,nitty-gritty of writing software so you
510.86,3.96,know what happens if you have a model
512.57,4.019,and it breaks so stops making
514.82,4.56,predictions you definitely need to know
516.589,4.711,about that you know even worse what
519.38,3.599,happens if it starts only making stupid
521.3,3.6,predictions and you don't find out for a
522.979,4.071,month what happens to you if that's the
524.9,2.15,case
530.72,7.45,so this is a quote from Russell belkin
534.42,5.159,in a recent talk about building data
538.17,3.63,products stuff they've known you should
539.579,3.45,definitely read this blog post so the
541.8,3.659,quote is there's only one right answer
543.029,3.99,and starting point for a data product
