second,duration,transcript
7.919,3.921,hey everyone my name is ishaan and i
10.08,3.519,welcome you all to the session
11.84,4.64,in this session we shall learn the
13.599,4.561,concept of version control in general
16.48,4.4,we shall learn the basics of version
18.16,5.359,control system followed by the benefits
20.88,4.399,of the system and finally we shall have
23.519,4.0,a look at some of the best version
25.279,4.801,control systems in the market
27.519,4.401,but before we begin make sure you're
30.08,3.92,subscribed to our youtube channel and
31.92,4.08,don't forget to click on the bell icon
34.0,4.16,so you never miss an update from simply
36.0,4.8,learn to start learning about the
38.16,4.559,version control system let's begin by
40.8,4.16,talking about a use case
42.719,4.481,imagine there's a multinational company
44.96,4.96,that has offices spread over several
47.2,4.879,countries with thousands of employees
49.92,4.56,so when it is such a big company there
52.079,3.761,might be a set of issues and challenges
54.48,2.88,it would face
55.84,4.48,what could be the possible set of
57.36,5.12,challenges the company faces
60.32,3.36,the company faces the challenge to
62.48,3.36,collaborate
63.68,4.479,there are so many people located at
65.84,5.04,different places there may be a need to
68.159,4.561,communicate for a particular reason or a
70.88,5.36,set of people who are working on the
72.72,6.079,same project but from different regions
76.24,5.04,second challenge is related to storing
78.799,2.481,versions
81.36,4.24,the project is not completed in a single
83.439,3.04,version there may be n number of
85.6,3.44,versions
86.479,4.96,in that situation the problem of storing
89.04,4.079,all such commits in a single place is a
91.439,4.081,huge challenge
93.119,3.841,then another problem is restoring
95.52,4.16,previous versions
96.96,5.04,sometimes it is important to go back to
99.68,5.28,the previous versions to find the root
102.0,5.119,cause of any bug
104.96,3.92,one more common challenge is to figure
107.119,4.561,out what happened
108.88,4.48,at times it is critical to know
111.68,3.6,what changes are made to the previous
113.36,4.079,version of the source code
115.28,4.64,or where exactly has the changes been
117.439,5.441,made in a file
119.92,5.36,then comes the problem of backup in case
122.88,5.04,the system or the disk of the user
125.28,5.84,breaks down and there is no backup then
127.92,5.2,all the efforts will go in vain
131.12,4.56,these are some of the basic problems
133.12,3.759,that any small or big company might
135.68,3.44,encounter
136.879,5.281,now the question arises what could be a
139.12,5.119,possible solution to all such problems
142.16,5.04,and this is when the version control
144.239,5.121,system comes into picture
147.2,4.08,the version control system will take
149.36,4.48,care of the collaboration between
151.28,4.72,employees storing different versions
153.84,4.96,will help in having backups on the
156.0,5.28,remote repository it will also help in
158.8,5.519,rolling back to the previous commits and
161.28,5.599,to the last version of the source code
164.319,5.041,we will talk about each of these reasons
166.879,4.481,in detail when we learn the benefits of
169.36,4.239,the version control system
171.36,5.12,let's first have a look at what is
173.599,2.881,version control
176.64,4.8,as the name version control suggests it
179.12,4.32,refers to the category of software tools
181.44,4.24,that make it possible for the software
183.44,5.12,team to look after the changes made to
185.68,4.8,the source code the system records all
188.56,4.72,the mail changes to a file
190.48,4.399,so a specific version may be rolled if
193.28,3.28,needed in future
194.879,4.161,it is the responsibility of the version
196.56,4.319,control system to keep all the team
199.04,4.32,members on the same page
