second,duration,transcript
2.08,6.4,"Hey guys, I'm Venkat and in this video, we'll 
discuss how indexes actually work and help  "
8.48,6.88,"improve the performance of our sql queries. We'll 
discuss how both the index types work - clustered  "
15.36,6.4,"and non-clustered. If you're new to indexes, we've 
already covered all the basics you need in this  "
21.76,6.88,"sql server tutorial for beginners course. Please 
check out the videos from parts 35 to 38. I'll  "
28.64,6.88,"include the link in the description of this video. 
Now, consider this Employees table. EmployeeId is  "
35.52,6.48,"the primary key, so by default a clustered index 
on the EmployeeId column is created. This means,  "
42.0,6.32,"employee data is sorted by EmployeeId column 
and physically stored in a series of data pages  "
48.32,4.8,"in a tree-like structure that looks like 
the following. The nodes at the bottom of  "
53.12,6.96,"the tree are called data pages or leaf nodes 
and contains the actual data rows in our case  "
60.08,6.72,"employee rows. These employee rows are sorted 
by EmployeeId column because EmployeeId  "
66.8,6.56,"is the primary key and by default, a clustered 
index on this column is created. For our example,  "
73.36,6.8,"let's say in this Employees table we have 
1200 rows and let's assume in each data page  "
80.16,8.4,"we have 200 rows. So, in the first data page we 
have 1 to 100 rows, in the second 201 to 400,  "
88.56,8.56,"in the third 401 to 600, so on and so forth. The 
node at the top of the tree is called root node.  "
97.12,6.4,"The nodes between the root node and the leaf 
nodes are called intermediate levels. The root  "
103.52,6.32,"and the intermediate level nodes contain index 
rows. Each index row contains a key value,  "
109.84,6.32,"in our case EmployeeId and a pointer to either 
an intermediate level page in the B-Tree  "
116.16,7.12,"or a data row in the leaf node. So, this tree-like 
structure has a series of pointers that helps the  "
123.28,7.52,"query engine find data quickly. For example, let's 
say we want to find employee row with employee id  "
130.8,8.08,"1120. So, the database engine starts at the root 
node and it picks the index node on the right  "
138.88,8.48,"because the database engine knows it is this node 
that contains employee ids from 801 to 1200. From  "
147.36,6.64,"there, it picks the leaf node that is present 
on the extreme right because employee data rows  "
154.0,7.92,"from 1001 to 1200 are present in this leaf node. 
The data rows in the leaf node are sorted by  "
161.92,6.96,"employee id so it's easy for the database engine 
to find the employee row with id equals 1120.  "
169.52,6.24,"Notice, in just 3 operations sql server is able to 
find the data we are looking for. It's making use  "
175.76,6.16,"of the clustered index we have on the table. Let's 
look at this in action. This piece of sql script  "
181.92,5.6,"at the top creates Employees table with these four 
columns - Id, Name, Email and Department. First,  "
187.52,7.12,"let's create the table. This second block of code 
here inserts test data into Employees table. Let's  "
194.64,5.44,"actually execute the script. It's going to take 
a few seconds to complete and that's because,  "
200.08,6.0,"if you take a look at this code, notice we're 
using while loop to insert one million rows  "
206.08,5.04,"into this table and if we click on the messages 
tab, in a few seconds we should see a message  "
211.12,5.28,"saying 100,000 rows inserted, that's because 
for every hundred thousand rows that we insert,  "
216.4,9.44,"we are logging the message. Let's 
give it a few seconds to complete."
228.32,5.04,"There we go, all the 1 million rows are 
inserted. Now, let's execute this select  "
233.36,8.0,"query. We are trying to find employee whose id is 
932 000 and before we execute this query, click  "
241.36,5.84,"on this icon right here which includes the actual 
execution plan. You can also use the keyboard  "
247.2,7.84,"shortcut CTRL + M. There we go, we got the one 
row that we expected and when I click on the  "
255.04,8.0,"execution plan and when I hover over this, notice 
the operation is clustered index seek, meaning the  "
263.04,5.44,"database engine is using the clustered index 
on the EmployeeId column to find the employee  "
268.48,7.68,"row we want. Number of rows read is 1, Actual 
number of rows for all executions is also 1. Now,  "
276.8,5.6,"number of rows read is the number of rows 
sql server has to read to produce the query  "
282.4,6.64,"result. In our case EmployeeId is unique, so 
we expect one row and that is represented by  "
