second,duration,transcript
3.36,5.159,hello everyone this is vishali in
6.42,4.679,previous session we discuss about risk
8.519,4.321,management topic with example I have
11.099,3.301,mentioned complete software engineering
12.84,2.94,subject playlist Link in below
14.4,3.6,description box
15.78,4.259,now in today's session we will discuss
18.0,4.8,the next important topic that is
20.039,4.861,software configuration management as per
22.8,4.739,your exam point of view this is one of
24.9,4.16,the most important topic let's start the
27.539,3.841,session
29.06,5.74,in this session we will discuss about
31.38,6.48,sem their importance process repository
34.8,4.439,their functions and tools at the end we
37.86,3.12,will discuss some important questions
39.239,3.061,that have asked in previous year
40.98,5.22,question paper
42.3,7.62,let's see all these points one by one
46.2,6.06,now the first thing is what exactly SCM
49.92,5.279,SCM stands for software configuration
52.26,5.52,management C while developing a
55.199,5.461,particular software project you must use
57.78,4.86,software development life cycle there
60.66,4.819,are various phases like requirement
62.64,6.12,Gathering and planning analysis design
65.479,4.0,implementation testing maintenance
68.76,2.82,Etc
69.479,4.621,now while developing a particular
71.58,6.48,project there are various changes that
74.1,5.82,occur at each phase of sdlc the changes
78.06,4.02,related to the customer requirements
79.92,4.14,changes in software team or the
82.08,4.679,organization changes in government
84.06,4.14,policies and roles or sometimes changes
86.759,4.441,in Project schedule
88.2,5.279,now to handle and monitor all these
91.2,5.64,changes for that purpose software
93.479,6.661,configuration management process is used
96.84,6.48,as per the definition SCM is processed
100.14,5.46,for systematically manage organize and
103.32,6.119,control all the changes in documents
105.6,5.76,codes and other entities in sdlc to
109.439,5.04,monitor all these changes are necessary
111.36,5.88,because it affect on your programming
114.479,6.061,code your project planning then your
117.24,5.94,testing data and other database
120.54,4.679,to handle all these configuration items
123.18,5.579,there are different SCM tools are
125.219,6.781,available like puppet config Hub then
128.759,5.101,solstack ansible git bitbucket Docker
132.0,4.5,these tools are used by the
133.86,4.44,configuration manager to handling all
136.5,4.14,the configuration data
138.3,6.18,the primary goal of SCM is to increase
140.64,7.08,productivity with minimal mistakes
144.48,6.0,now the next topic is importance of SCM
147.72,5.34,and the main importance is configuration
150.48,5.16,manager ensure that all the changes
153.06,5.64,occur in software project are properly
155.64,4.44,planned tested and integrated into the
158.7,4.44,final product
160.08,4.98,it also helps software team members to
163.14,5.879,collaborate and coordinated their work
165.06,6.959,let's take one example Suppose there are
169.019,5.281,new WhatsApp updates are available so at
172.019,4.321,that time you update your WhatsApp from
174.3,4.14,the Google Play Store
176.34,5.399,so at that time there are new features
178.44,6.24,are available right so this SCM process
181.739,5.701,manage and track different versions of
184.68,5.279,particular software system
187.44,6.74,they also ensure that everyone working
189.959,4.221,from the same version of software system
194.239,5.321,also help in deployment phase of
197.099,4.621,software development life cycle they
199.56,5.28,maintain environment on the client side
201.72,5.7,while developing a particular product
204.84,5.399,basically it improve quality and
207.42,5.22,reliability of Software System it also
210.239,4.441,increase efficiency and reduce the risk
212.64,4.86,of errors in particular software project
214.68,5.839,so this is the importance of SCM in
217.5,3.019,software engineering
220.56,5.64,now the next topic is SCM process as per
224.28,4.5,your exam point of view this is one of
226.2,4.56,the most important topic there are total
228.78,4.679,value steps in SCM process like
230.76,5.039,identification Version Control Change
233.459,5.221,Control configuration audit and
235.799,4.86,Reporting this sem processor handled by
238.68,5.639,the project manager configuration
240.659,7.8,manager developer and the end user
244.319,6.961,now let's discuss SCM process in detail
248.459,5.161,now the first step of sem process is
251.28,5.22,planning and identification here
253.62,5.339,configuration manager identify the scope
256.5,3.479,and objective of particular software
258.959,2.941,project
259.979,4.861,for that purpose they arrange meeting
261.9,5.46,group discussion brainstorming session
264.84,4.079,with your software team and different
267.36,3.839,stakeholders
268.919,5.521,configuration manager identify different
271.199,5.541,test cases requirements different models
274.44,4.86,and schedule time of particular project
276.74,5.62,they also identify software
279.3,6.06,configuration items means which type of
282.36,5.52,Hardware resources software resources
285.36,3.899,and human resources are used in
287.88,4.98,particular project
289.259,6.781,basically they maintain a details of why
292.86,6.119,when and what changes will be occur in
296.04,6.06,particular project and by whom this all
298.979,5.881,changes are performed they identify and
302.1,4.92,analyze all these details they also
304.86,5.16,mention proper naming convention to each
307.02,6.899,and every file see here instead of
