second,duration,transcript
0.37,9.23,[Music]
7.49,3.94,hello guys and welcome today I want to
9.6,3.93,talk about quantum computers and how
11.43,4.98,they can be practically applied to solve
13.53,4.889,our most everyday problems especially I
16.41,3.9,will talk about the latest developments
18.419,4.2,and the latest machines that were built
20.31,3.869,by now on top of that I will talk how
22.619,3.601,they can be applied in the fields of
24.179,4.11,biology and medicine in the fields of
26.22,4.979,logistics in a field of cryptology and
28.289,6.09,protecting our data as well as in fields
31.199,5.91,of finance which will go from banks do
34.379,4.561,optimizing the work of stock market and
37.109,3.57,stock exchange which there's a really
38.94,2.959,large topic and I will especially
40.679,3.45,develop on it
41.899,4.271,first of all let's briefly go over what
44.129,3.811,quantum computers are the basis of it
46.17,3.84,lies in a completely new approach to the
47.94,4.669,computing instead of relying on the
50.01,5.279,classical bits that are either 1 or 0
52.609,4.901,the qubits combine both since themselves
55.289,4.89,the salaah seems to exist in multiple
57.51,4.619,states at once enabling them to conduct
60.179,4.141,a large multitude of computations at the
62.129,4.711,same time this is comparable to a
64.32,5.01,Schrodinger's cat 2 can exist in two
66.84,4.73,states at once qubits can be made of
69.33,6.36,anything that exhibits quantum behavior
71.57,6.28,molecules atoms electrons etc there
75.69,4.62,would be even more accurate than the
77.85,5.67,classical sodium based computers that
80.31,6.12,have 70 to 200 percent error chance in
83.52,4.65,their computation due to it not to
86.43,4.41,mention that the more electrons in a
88.17,4.95,molecule are used for such purpose the
90.84,4.98,more possible states for it sir would be
93.12,6.48,for example a molecule with 10 electrons
95.82,5.52,will have 1000 possible States while a
99.6,4.68,molecule with 20 electrons will have
101.34,4.98,over 1 million of possible States there
104.28,3.72,is also quantum entanglements it must be
106.32,4.1,mentioned it interlinks all of the
108.0,4.74,qubits allowing them to operate together
110.42,4.39,together with superposition it allows
112.74,4.05,quantum computers to process large
114.81,4.5,quantities of information in far greater
116.79,4.89,amounts than what classical computers
119.31,4.35,can process quantum computers can
121.68,4.41,calculate infinite possibilities for
123.66,4.5,their inputs they can model more complex
126.09,4.35,algorithms and develop far more
128.16,3.78,intricate and sophisticated models the
130.44,3.6,most practical application of it would
131.94,3.0,be processing vast amounts of market
134.04,3.12,data
134.94,4.89,stock-exchange modeling molecules was
137.16,5.34,all over details and intricacies for
139.83,4.61,pharmacological purposes and calculating
142.5,5.58,the most optimal logistical routes and
144.44,5.14,those are just the name of you there are
148.08,3.81,two most common types of quantum
149.58,5.19,computers first is based on the quantum
151.89,4.71,gate model and quantum circuits in a way
154.77,4.71,it resembles the current classical
156.6,5.49,computers IBM Q system one would be is a
159.48,4.26,perfect example of such it is a first
162.09,4.08,full-fledged commercially available
163.74,4.8,quantum computer it was introduced
166.17,4.83,earlier this year second type are the
168.54,4.29,superconducting quantum computers the
171.0,3.57,largest ones have over two thousand
172.83,4.17,cubits and are produced by d-wave
174.57,4.2,systems those rely on quantum annealing
177.0,4.02,which is global minimum of a given
178.77,4.95,function over given set of candidate
181.02,4.77,solutions to get a better practical
183.72,4.14,understanding and how those computers to
185.79,5.01,work on practice let's take a look at
187.86,4.68,IBM Q there are two main conditions that
190.8,4.05,have to be met in order for the quantum
192.54,4.05,computer to work first is achieving near
194.85,6.06,absolute zero temperature which is
196.59,7.2,around - 237 degrees Celsius second is
200.91,4.95,the absolute vacuum those are no easy to
203.79,3.3,achieve and maintain but they have been
205.86,4.05,attained
207.09,5.369,in IBM Q system one and its previous
209.91,4.5,iteration on top of that there is a good
212.459,4.321,reason for the entire computer to be
214.41,5.46,encased in protective metal cylinder and
216.78,5.7,placed in a hardened glass box Quantum
219.87,4.5,chips are extremely fragile and even the
222.48,5.729,slightest interference will be damaging
224.37,6.66,present the prototype has managed to get
228.209,5.25,twenty cubits working and operational it
231.03,4.739,has also doubled its QV network volume
233.459,4.921,from eight to sixteen in comparison to
235.769,4.141,the last iteration such computing power
238.38,4.5,opens a great potential for the
239.91,4.98,practical applications in addition the
242.88,4.74,considerable computing power it has the
244.89,5.94,lowest error rates which are around one
247.62,5.91,or two percent that are some of the
250.83,4.77,lowest what IBM has ever measured this
253.53,3.84,is the quantum rated computer meanings
255.6,4.02,it is on par with the current classical
257.37,4.5,ones the future plans involve creating a
259.62,4.799,computer with a quantum supremacy or a
261.87,5.07,quantum ready computer in IBM's terms
264.419,3.621,that it will have a greater computing
266.94,2.66,power than
268.04,3.57,classical computers this should be
269.6,4.89,achieved in around three to five years
271.61,4.47,if everything goes to schedule as the
274.49,4.98,most advanced quantum computer is the
276.08,5.22,one used by Google it has 72 qubits and
279.47,4.38,Google has already claimed that it has
281.3,5.34,reached quantum superiority not so long
283.85,5.34,ago which is a considerable milestone in
286.64,4.89,quantum computing another interesting
289.19,5.82,device is being developed by the Rosetta
291.53,5.16,computing they aim to build 128 qubit
295.01,4.26,computers that will be unveiled this
296.69,4.53,year it has developed under a new form
299.27,4.2,factor as the Klan's itself to rapid
301.22,4.5,scaling because of their in-house design
303.47,4.14,with all of the teams working close
305.72,4.59,together they should be able to develop
