second,duration,transcript
0.03,5.13,hey everyone this is my introduction to
2.76,4.47,their analysis slash data visualization
5.16,3.99,with Python in this video I'm gonna
7.23,4.44,cover why you might want to use data
9.15,4.83,visualization and why you might want to
11.67,4.29,use Python and map lot live for it and
13.98,4.32,then we're gonna go over some simple
15.96,5.31,examples of how to actually use these
18.3,5.37,tools and then using these tools we're
21.27,4.769,gonna do sort of a real analysis with a
23.67,4.56,real data set at the end and in this
26.039,4.74,video I'm only gonna cover line charts
28.23,4.739,just to keep everything simple I'm also
30.779,3.69,gonna put a more detailed version of
32.969,2.881,this outline in the comment section
34.469,1.77,below so you don't have to watch the
35.85,2.729,whole thing
36.239,4.41,if you don't want to okay so why should
38.579,4.471,you use data visualization in the first
40.649,5.011,place well error visualization is
43.05,4.86,actually often the first step of any
45.66,4.44,type of data analysis work whether it's
47.91,4.379,simple there analysis or statistical
50.1,4.34,analysis or machine learning analysis
52.289,4.561,and the reason for that is because
54.44,4.419,visualizing data often gives you an
56.85,4.38,intuitive understanding of the data and
58.859,4.561,it often helps you see patterns that are
61.23,4.65,otherwise hard to see and we're gonna
63.42,5.04,see an example of that later okay and
65.88,5.25,why should you use Python for this well
68.46,5.04,python is not the only good choice but I
71.13,3.96,would say it's one of the best and the
73.5,3.33,reason is first of all it's a
75.09,4.41,general-purpose language that's pretty
76.83,4.62,easy to use and learn and it also has
79.5,5.52,many libraries for scientific computing
81.45,6.0,and data science including Mapple lib
85.02,4.08,and if you work at a company your
87.45,4.11,company might already use Python for
89.1,5.01,something else and if that's the case
91.56,4.44,that's really nice because then you and
94.11,4.259,your team are not gonna have to learn a
96.0,5.04,totally new language to do some data
98.369,3.421,analysis and why are we using Mapple
101.04,3.359,live for this
101.79,5.189,well Mapple live is not the only good
104.399,4.11,visualization library for python but
106.979,3.631,it's still one of the most popular
108.509,5.07,choices and there are actually other
110.61,4.049,libraries that are based on MATLAB so if
113.579,2.79,you learn MATLAB
114.659,3.39,it's gonna help you learn these you know
116.369,3.54,other libraries for example this one
118.049,4.92,called C born later on if you want to
119.909,5.521,and Mapple lib is also pretty easy to
122.969,4.921,get started with anyway let's dive into
125.43,4.38,a demo for this demo we're gonna use
127.89,4.17,something called Jupiter notebook and a
129.81,3.38,few other Python libraries and we're
132.06,3.02,gonna use anaconda
133.19,4.59,to install them if you're not familiar
135.08,4.77,with JIRA notebook and anaconda I have
137.78,4.5,an explanation about them in my Python
139.85,4.38,tutorial video so I'm gonna leave a link
142.28,4.31,to that in the description anyway to
144.23,6.15,install anaconda just search for
146.59,7.27,anaconda Python or directly go to
150.38,6.33,anaconda org and there find the button
153.86,5.25,that says download anaconda and select
156.71,5.43,whatever OS you are using I'm using Mac
159.11,4.86,here and click download under Python
162.14,4.2,three-point-something version instead of
163.97,5.28,python 2 point something because we're
166.34,5.16,gonna use python 3 here and select where
169.25,5.16,you want to download this package save
171.5,4.5,it and once it's downloaded open up the
174.41,4.35,package that you just download it and
176.0,6.48,then just click continue continue
178.76,5.67,continue continue agree install for me
