second,duration,transcript
2.621,1.53,All right.
4.151,2.112,Good afternoon.
6.263,2.003,"Come on, guys."
8.266,1.019,I need some energy.
9.285,2.44,I know this is before the break.
11.725,2.731,All right.
14.456,1.566,Much better. Much better.
16.022,2.804,"Hope you're having a great time
here."
18.826,3.35,This summit.
22.249,2.731,"Yes, yes,"
24.98,0.765,"yes, you are."
25.745,1.784,I know you are.
27.529,3.896,"Anyway, you've heard that we have launched"
31.498,3.023,"the era of quantum utility, right?"
34.521,4.114,"So in addition to bringing useful quantum
computing to the world,"
38.745,4.078,"we are committed to, focused on,
and have also made"
42.823,3.896,"great progress
in making the world quantum safe."
46.792,4.552,"So what does making the world
quantum safe really mean?"
51.417,2.658,What it means is that we are going to work
54.075,4.334,"collaboratively
with our clients across industries"
58.481,2.695,and partners across the ecosystem
61.176,3.969,to chart a course for the development
65.291,6.045,"and deployment of quantum
technologies in a responsible manner."
71.409,0.473,What does
71.882,4.115,"then, therefore responsible
quantum computing mean?"
76.07,4.624,It is simply expressed as
80.767,2.549,having an intention
83.316,3.387,to develop and deploy
86.775,7.32,quantum technologies in the most
94.168,1.82,inclusive
95.988,3.86,"as well as accountable
and transparent manner."
99.921,4.297,"That's what responsible quantum computing
really means."
104.291,2.658,"Now, in order to guide us through this,"
106.949,2.986,we have come up with five principles
109.972,4.988,"that we wish apply to see
whether anyone is following"
115.07,2.221,responsible quantum computing or not.
117.291,4.552,The first is you choose your use cases in
121.843,4.333,"such a way that they do create
positive societal impact."
126.285,4.625,"The second: anticipate
potential side effects,"
130.91,3.095,"if you will, unanticipated side effects"
134.005,3.023,of even these positive use cases.
137.173,5.608,The third is represent the
142.854,5.207,"capabilities as well as the limitations
of quantum computing."
148.134,2.695,"In other words, don't overhype. Right?"
150.829,3.678,"And the fourth is
we want to be intentional"
154.507,4.406,"about being consistent and transparent
in making decisions."
158.986,4.333,"And finally,
we want to build an inclusive ecosystem"
163.574,4.224,"that represents
the diversity of the world at large."
167.871,0.619,All right.
168.49,2.84,"Now, while we believe
in these principles,"
171.33,2.476,"and we are committed to doing this,"
173.806,3.423,we fully recognize that others outside
177.229,4.152,may not be. One such classical case
181.49,1.639,where this may happen
183.129,5.535,"is with the application of quantum
computing to break encryption."
188.736,0.401,"Now, let"
189.137,2.986,"me double click into that
and talk a little bit more."
192.232,3.569,"As quantum technology advances,"
195.874,2.403,we find that
198.277,4.443,"the standard problem
of prime factorization,"
202.792,3.205,"which is what modern day
cryptography depends"
205.997,5.171,"upon, becomes a solvable problem
with a quantum computer."
211.277,3.204,"So when a cryptographically relevant
quantum"
214.481,3.314,"computer becomes available in the future,"
217.904,4.698,"one can apply Shor's algorithm
to solve the problem"
222.602,3.751,"of prime factorization
in a matter of hours."
226.425,4.662,"What that means is
there are two key things that it leads to."
231.159,4.152,One is that the cryptography
235.311,4.333,"that we rely on
for all our digital communications, right,"
239.717,3.35,"including the cell phone,
including the WhatsApp that you have"
243.14,2.549,"and text messages you send,"
245.689,4.661,"is all likely to be vulnerable
or even be broken."
250.459,3.751,"That is a reality
of the existential threat."
254.283,4.297,"The second is even more concerning,
if you will, in that"
258.58,3.35,"there is this notion of harvest
now and decrypt later."
262.003,3.131,What that means is bad actors
265.134,3.023,can exfiltrate data today
268.157,3.022,"with absolutely no means of decryption,"
271.252,3.022,but they'll sit on it for several years.
274.384,4.296,"And then when your quantum computer
of sufficient scale and capacity"
278.753,5.353,"available, they can apply that to decrypt
the data that they exfiltrated today."
284.179,3.896,"Both of these are problems
that need to be solved."
288.148,2.549,So what is being done to solve them?
290.697,1.639,"In 2016, NIST"
292.336,4.006,"announced a competition
inviting submission of algorithms"
296.596,4.443,"that cannot be broken by quantum computer
as well as classical computers."
301.112,3.787,"We submitted a set of algorithms
for that, along with others,"
304.899,3.86,"and there were 80 plus submissions.
Fast forward to last July."
308.832,3.423,"Four algorithms were selected around
which standards"
312.255,3.568,"are going to be built,
and three of them came from IBM."
315.896,1.238,We didn't stop there.
317.134,3.715,"We continue to come up with new algorithms
that are somewhat"
320.849,4.296,"special purpose
and submitted three more for consideration"
325.218,4.661,"called Oil
and Vinegar, Mayo and SQI Sign."
329.952,0.255,Right?
330.207,3.678,"So we have continued
our work in that progress."
333.958,3.423,"Now, while we have been doing this,"
337.49,1.93,the US Federal government
339.42,4.916,"and some key agencies have continued
to publish certain guidelines."
344.591,2.003,So NSA published the
346.594,4.406,CNSA 2.0 guidelines that called for
