second,duration,transcript
0.64,4.4,hello everybody and welcome to another
2.96,3.839,lecture on computer architecture
5.04,3.28,today i want to talk to you about
6.799,4.001,quantum computing
8.32,4.399,something that is well not state of the
10.8,2.32,art it is more like beyond state of the
12.719,4.32,art
13.12,6.319,it is into still in the development
17.039,3.601,phase so it's not even clear if it's
19.439,3.281,going to work
20.64,4.559,but let me try to explain to you what is
22.72,6.08,going on and why it would be phenomenal
25.199,6.4,if it really works
28.8,4.32,so the first thing i want to actually uh
31.599,5.441,i want to tell you what it is
33.12,6.959,actually based on what do we have
37.04,4.96,is um that
40.079,4.48,in a normal computer we have let's say
42.0,5.12,an and gate in which every bit
44.559,4.801,there it enters and it has the bit can
47.12,4.88,have two values it's either
49.36,4.719,one or it is zero and that is then
52.0,4.239,linked to a physical property so for
54.079,5.441,instance the zero is zero volts
56.239,6.0,and the one is five volts or maybe
59.52,3.6,uh the zero is that the capacitor is
62.239,3.521,charged
63.12,4.64,and uh one is that the capacitor is
65.76,4.24,empty or the other way around
67.76,3.12,whatever but with quantum computing
70.0,4.24,there is something
70.88,7.44,strange going on because the bits
74.24,6.48,that we put at the input cannot have
78.32,3.839,either one of the two values but it can
80.72,3.6,have two values
82.159,4.96,at the same time and that is something
84.32,6.4,very strange but that comes from
87.119,5.281,quantum mechanics so the idea is
90.72,3.68,that you have an object of physical
92.4,5.2,property that can have
94.4,4.56,various states so we can for instance
97.6,3.44,take here
98.96,3.6,the classic example is that you can have
101.04,3.92,here an electron spin
102.56,4.559,and as you know well maybe not but the
104.96,4.08,electron spin it can either rotate in
107.119,4.161,one direction let's say here
109.04,3.2,counterclockwise or this is this is
111.28,2.0,clockwise
112.24,3.36,and the other one would be
113.28,3.519,counterclockwise and we could for
115.6,4.32,instance say well
116.799,5.761,we can just say that counterclockwise
119.92,4.32,would be zero and clockwise would be one
122.56,2.64,so maybe we call this one here on the
124.24,3.44,left we call it
125.2,3.36,uh then one and the other one on the
127.68,2.24,right
128.56,3.679,and we call it a zero and then we're
129.92,4.319,going to make some kind of they arrive
132.239,3.601,at our end gate and we're going to do
134.239,4.401,some kind of
135.84,3.92,well boolean logic with that but the
138.64,4.16,thing is
139.76,6.72,that in quantum mechanics
142.8,6.32,the electron state is not defined
146.48,4.16,spin up or spin down is not defined
149.12,4.88,until it is measured
150.64,6.08,and it is not so that the
154.0,4.239,state of the spin is not known to us but
156.72,4.32,it is a certain state it
158.239,4.161,is up or down but only it's not observed
161.04,3.76,by me
162.4,4.88,no that would be classical mechanics
164.8,5.6,classical physics but in quantum physics
167.28,5.76,it is like this that no the state
170.4,4.24,is not defined until it is measured
173.04,5.199,until it is so-called
174.64,6.72,observed so then before you observe it
178.239,3.761,it is like you know mr schroedinger's
181.36,3.68,cat
182.0,5.36,it is both the cat of mr uh
185.04,4.72,both that that and the life at the same
