second,duration,transcript
0.0,3.899,people often say you don't need to know
1.86,4.14,any math to program a computer and
3.899,3.96,that's truthy however any sufficiently
6.0,4.32,advanced technology is indistinguishable
7.859,4.501,from Magic but magic isn't real math
10.32,3.84,Explains It All developers often avoid
12.36,3.72,learning math because it looks scary but
14.16,3.66,it actually makes complicated magic like
16.08,3.72,computer graphics and neural networks
17.82,3.84,easier to understand and not just that
19.8,3.96,but it unlocks the secrets of the entire
21.66,4.08,physical Universe there's a few abstract
23.76,3.72,math concepts for programmers that you
25.74,3.18,just can't ignore and understanding them
27.48,3.78,will make you think more like a true
28.92,3.9,engineer I'm no math genius in fact I'm
31.26,3.18,the opposite which makes me uniquely
32.82,3.48,qualified to teach 10 essential math
34.44,3.48,concepts using memes and other visual
36.3,3.66,aids that almost anybody can understand
37.92,3.479,the first person who survives until the
39.96,3.72,end and cracks the code will win this
41.399,4.081,one of a kind Balenciaga fireship hoodie
43.68,4.08,let's jump right into topic number one
45.48,4.559,Boolean algebra which is used almost
47.76,3.9,every time you write code a Boolean is a
50.039,4.321,binary variable that can have two
51.66,4.44,possible values true or false now there
54.36,3.839,are three operators that you can use to
56.1,4.439,work with them and or in not or
58.199,3.721,conjunction disjunction and negation if
60.539,2.761,you want to be fancy imagine you're
61.92,3.419,trying to get a girlfriend we can use
63.3,3.78,the Boolean variables of rich and
65.339,3.6,handsome to describe you if you're both
67.08,3.719,rich and handsome you'll definitely get
68.939,3.54,a girlfriend but if you're not rich and
70.799,3.481,not handsome you'll have to pay for an
72.479,3.18,only Fan's girlfriend if you're rich or
74.28,3.6,handsome you can still get a girlfriend
75.659,3.96,but your selection is more limited we
77.88,3.54,can represent this logic and code with
79.619,3.721,things like if statements but we can
81.42,3.059,also do it visually with Venn diagrams
83.34,2.639,like you've been doing since grade
84.479,3.301,school and you can also create truth
85.979,3.421,tables like this one here which comes in
87.78,3.479,handy in zombie apocalypse type
89.4,4.62,situations but that brings us to concept
91.259,4.081,2 numeral systems like base 2 throughout
94.02,3.0,history humans have come up with all
95.34,3.54,kinds of clever ways to count things but
97.02,3.599,almost all of them use base 10 like the
98.88,4.14,10 fingers on your hands like in the
100.619,4.261,number 423 the four is in the hundreds
103.02,3.54,place which represents four times one
104.88,3.54,hundred the two is in the tens place or
106.56,3.9,two times ten then the final number is
108.42,4.26,multiplied by one but computers work off
110.46,3.96,of a base 2 numeral system in base 2
112.68,3.42,things work the exact same way but
114.42,3.659,because we only have two symbols to work
116.1,4.92,with each place is multiplied by two
118.079,5.04,like two four eight sixteen Thirty 32 64
121.02,4.44,128 and so on now that you understand
123.119,4.92,that you also understand how other bases
125.46,4.92,work like base 16 or hexadecimal which
128.039,3.78,uses the digits 0 through 9 along with a
130.38,2.999,through F and is commonly used to
131.819,3.601,represent binary values in a more
133.379,4.141,concise way because each hexadecimal
135.42,4.319,digit can translate into four bits and
137.52,4.079,you also have base64 which introduces
139.739,3.841,even more letters and symbols to encode
141.599,4.381,binary values allowing developers to
143.58,4.379,represent binary data like an image as a
145.98,3.6,string of text while computers use base
147.959,3.721,2 under the hood they still need to
149.58,3.54,represent base 10 numbers for humans and
151.68,3.0,the most common way to do that is with
153.12,4.08,floating Point numbers go ahead and
154.68,4.26,execute 0.1 plus 0.2 in your favorite
157.2,3.92,programming language the result should
158.94,2.18,be
161.3,3.659,0.30004 How could a computer make such a
163.68,3.839,silly mistake
164.959,4.42,well in science numbers can get very big
167.519,3.781,when talking about space and very small
169.379,3.181,when talking about things like atoms we
171.3,3.06,don't write these numbers out completely
172.56,3.539,and instead use scientific notation
174.36,3.239,where an exponent raises it to an
176.099,3.481,approximate value making the number
177.599,3.42,appear far more concise computers use a
179.58,3.239,similar approach with floating Point
181.019,3.661,numbers because they only have a limited
182.819,3.901,amount of space either 32 bits for
184.68,3.6,single Precision or 64 for double
186.72,3.12,Precision which is the default in
188.28,3.12,languages like Python and JavaScript
189.84,3.179,it's called a floating point because
191.4,3.419,there's no fixed number of digits before
193.019,3.3,or after the decimal point allowing
194.819,3.541,developers to make a trade-off between
196.319,4.681,range and precision some numbers like
198.36,4.14,.01 can't be represented perfectly as a
201.0,3.18,binary floating point which is the
202.5,3.3,reason we get those tiny rounding errors
204.18,3.18,now that you know how numbers work we
