second,duration,transcript
0.0,5.04,quantum computers Quantum technology
2.04,6.0,what on Earth is a quantum computer it's
5.04,4.86,qubit try all the codes at once
8.04,3.66,whichever Nation first developed a
9.9,4.619,practical quantum computer will have a
11.7,5.04,tremendous Advantage Quantum Supremacy
14.519,4.741,imagine a world where unsolvable
16.74,4.619,problems are solved in seconds where
19.26,4.32,complex calculations that would take us
21.359,4.621,supercomputer years to compute are done
23.58,4.619,in a blink of an eye welcome to the
25.98,4.44,Future a future powered by Quantum
28.199,4.56,Computing and artificial intelligence
30.42,5.22,this is not just a technological
32.759,5.221,Revolution it's a Quantum Leap into a
35.64,3.78,new era of human Innovation here is
37.98,5.099,everything you need to know about
39.42,6.84,Quantum Computing and AI what is quantum
43.079,5.541,Computing in simple terms Quantum
46.26,4.319,Computing is an area of computer science
48.62,4.06,focused on the development of
50.579,4.8,Technologies based on the principles of
52.68,4.859,quantum theory Quantum Computing uses
55.379,4.2,the unique behaviors of quantum physics
57.539,4.02,to solve problems that are too complex
59.579,5.04,for classical computing
61.559,6.721,let's play a game I want you to imagine
64.619,6.54,a coin in the classical world this coin
68.28,4.74,can either be heads or tails but what if
71.159,3.841,I told you there's a universe where this
73.02,4.38,coin could be both heads and tails at
75.0,5.939,the same time welcome to the world of
77.4,6.06,quantum Computing in this realm our coin
80.939,5.341,is a qubit the fundamental unit of
83.46,5.64,quantum information unlike the bit in
86.28,5.82,classical Computing which can be a zero
89.1,6.059,or a one a cubit can exist in a state
92.1,5.519,that is a superposition of both thanks
95.159,5.761,to a Quantum Quirk called superposition
97.619,6.721,it's like Schrodinger's cat both alive
100.92,6.059,and dead until observed now imagine a
104.34,5.459,hundred coins or qubits each
106.979,4.381,representing multiple States at once the
109.799,4.561,number of possibilities grows
111.36,5.759,exponentially not linearly like in
114.36,5.28,classical Computing that's the raw
117.119,5.101,mind-boggling power of quantum Computing
119.64,5.4,but you might be thinking
122.22,4.56,that's great in theory but how does it
125.04,5.279,translate to the real world
126.78,6.12,well consider this today's encryption
130.319,4.981,systems the ones that secure your online
132.9,4.979,transactions are based on complex
135.3,4.98,mathematical problems that even the
137.879,3.601,fastest supercomputers can't crack in a
140.28,3.599,reasonable time
141.48,5.7,but a sufficiently powerful quantum
143.879,5.22,computer could scary isn't it we're not
147.18,4.5,just talking about faster computers
149.099,4.621,we're talking about a paradigm shift in
151.68,4.139,computational power that could unlock
153.72,4.98,answers to questions we haven't even
155.819,5.401,thought of asking Quantum Computing
158.7,5.64,versus classical computing
161.22,5.94,cure yourself in a grand Music Hall on
164.34,5.82,stage a lone pianist plays a captivating
167.16,5.579,Melody on a traditional piano each note
170.16,5.28,resonating beautifully that pianist
172.739,4.981,represents classical Computing where
175.44,3.72,each key pressed can only produce one
177.72,3.42,note at a time
179.16,3.359,but what if I told you there's an
181.14,3.599,instrument that could play multiple
182.519,5.58,notes simultaneously with just one key
184.739,5.461,enter the world of quantum Computing in
188.099,4.5,this analogy the quantum computer is
190.2,5.22,like a futuristic piano with keys that
192.599,5.581,play not just one but several notes at
195.42,5.22,the same time it harnesses The Peculiar
198.18,4.979,properties of quantum mechanics like
200.64,4.26,superposition and entanglement to
203.159,4.141,process information in ways the
204.9,4.14,classical computers simply cannot but
207.3,4.92,what does that mean for us in Practical
209.04,5.699,terms consider a maze the classical
212.22,5.7,computer would methodically explore each
214.739,6.06,path one at a time taking ages to find
217.92,5.539,the exit a quantum computer on the other
220.799,5.401,hand could explore all paths
223.459,5.081,simultaneously reaching the exit in a
226.2,4.319,fraction of the time this ability to
